"MTurkCode","goal","status","listNum","time_point","affordance","approach_avoidance","attainability","attainment_maintenance","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commitment","commonality","conflict","connectedness","construal_level","control","difficulty","effort","end_state_specificity","external_importance","external_motivation","failure","frequency","ideal_motivation","identified_motivation","implementation_intention","importance","initial_time","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","other_resources","ought_motivation","procrastination","regret","self_resources","social_desirability","specificity","temporal_duration","urgency","visibility"
"A3NKNOE5HIXXL","3","adjusted",3,"F1",5,1,8,7,7,6,6,5,5,7,3,5,6,5,5,4,2,4,1,2,2,6,7,3,7,6,7,2,2,5,7,4,2,5,5,5,6,5,3,4,2
"A3OLRWACCCCUTU","1","adjusted",5,"F1",5,1,9,1,7,7,5,7,7,1,3,6,3,3,4,6,1,6,2,1,1,5,7,7,7,5,6,4,1,5,7,7,4,1,7,7,6,7,3,6,7
"A3OLRWACCCCUTU","5","adjusted",5,"F1",5,1,11,1,7,7,5,7,7,1,1,7,5,3,4,5,1,7,2,1,1,6,7,7,7,4,6,3,1,4,7,7,2,1,7,7,7,7,2,6,7
"A49CVVOWN4D6Y","1","adjusted",5,"F1",5,5,7,1,7,6,4,5,7,7,4,5,4,7,4,4,3,2,4,2,1,7,7,5,7,6,7,1,1,7,4,1,1,1,4,4,6,7,3,5,1
"A11F3MA5FWH6SJ","1","adjusted",3,"F2",4,4,11,4,7,7,7,7,7,7,1,7,7,7,4,7,1,7,7,3,2,7,7,7,7,1,7,7,7,7,7,4,7,5,7,6,7,7,4,7,1
"A132GRVDGXPJGY","3","adjusted",3,"F2",2,1,8,1,7,7,6,6,6,1,5,6,7,7,6,4,1,5,1,3,1,7,7,5,7,1,7,7,7,7,7,6,1,3,7,5,7,7,3,7,7
"A19YQU3ZZ8USPO","1","adjusted",3,"F2",6,1,8,3,6,6,6,6,6,7,2,2,4,6,3,6,3,4,2,3,2,5,6,6,5,1,3,2,6,6,4,6,4,4,6,6,6,3,4,4,5
"A1ABL45KAK12A5","3","adjusted",5,"F2",5,1,10,6,7,7,7,7,7,7,2,3,4,7,6,7,2,7,1,3,2,7,7,7,7,2,6,2,1,6,7,7,1,3,7,7,7,6,4,7,7
"A1BWS5AD2T4NIR","1","adjusted",5,"F2",3,1,8,1,6,4,4,7,6,7,5,3,8,6,6,4,2,2,4,2,1,7,7,5,7,1,5,2,5,7,4,1,4,5,6,6,6,7,3,5,4
"A1G5EPLJEGL381","1","adjusted",2,"F2",7,3,9,7,6,6,7,7,7,5,1,6,6,6,3,6,1,6,6,1,1,6,7,7,6,5,7,7,7,7,6,2,6,1,5,7,7,7,3,5,1
"A1G5EPLJEGL381","2","adjusted",2,"F2",7,2,10,2,5,6,6,7,7,5,1,4,5,5,4,7,1,3,7,1,1,7,7,6,7,3,6,4,7,7,7,1,6,1,6,6,6,7,3,4,2
"A1R5W4RQZTROD8","4","adjusted",4,"F2",3,2,6,1,4,4,6,6,3,6,2,1,2,5,4,3,2,2,1,3,2,4,4,4,3,5,3,1,2,3,5,1,1,4,3,5,5,5,3,3,1
"A1X388C6SDCDEY","2","adjusted",4,"F2",5,2,3,1,6,7,1,4,4,6,5,2,4,7,6,4,3,4,1,3,3,6,7,4,6,1,1,3,2,4,4,4,2,7,7,5,7,4,3,3,4
"A1XRWOK00HK1J4","2","adjusted",4,"F2",6,1,9,7,6,6,7,6,7,4,2,3,7,7,4,4,1,1,1,1,2,7,7,5,6,3,7,6,1,7,7,1,1,3,5,7,5,7,3,4,1
"A1Z2ZGPJRGG0G3","1","adjusted",3,"F2",5,4,10,8,7,7,7,7,6,5,1,4,4,6,7,4,1,1,1,1,3,4,6,5,6,3,4,2,1,4,7,4,1,1,1,5,4,4,3,1,1
"A1Z2ZGPJRGG0G3","2","adjusted",3,"F2",1,1,6,5,5,2,3,1,4,4,1,1,4,2,2,1,4,1,1,1,1,4,1,5,2,3,1,1,1,4,4,1,1,1,2,2,2,1,3,1,1
"A2IJEKMVEHQ90W","3","adjusted",5,"F2",5,4,2,5,3,3,5,5,5,6,5,7,4,5,6,6,1,5,6,3,2,5,6,5,5,2,4,5,7,4,6,6,5,2,4,5,6,5,4,4,4
"A2O2Q0LVWOWJ1G","3","adjusted",4,"F2",3,1,5,1,7,7,7,5,6,7,1,2,5,6,6,6,3,7,5,3,2,7,7,2,7,1,6,1,2,6,7,1,1,5,7,5,7,2,2,7,1
"A2YVAWO75X8R78","5","adjusted",5,"F2",6,1,6,8,5,4,3,5,4,2,2,1,1,7,4,3,1,4,2,3,2,1,5,2,4,7,2,2,5,2,7,2,2,6,5,7,4,7,5,3,1
"A351LMMMFYPM7U","4","adjusted",5,"F2",4,1,8,2,4,5,6,5,5,5,2,3,4,6,4,4,1,3,2,1,1,5,5,5,4,3,3,2,2,2,6,4,4,3,3,5,6,5,3,3,1
"A37PUSY6CJ7TQ0","1","adjusted",5,"F2",5,1,8,6,5,6,7,5,5,5,1,3,2,7,3,5,1,1,1,2,2,6,7,5,4,3,4,4,1,5,5,4,1,4,4,6,4,3,3,4,2
"A37PUSY6CJ7TQ0","4","adjusted",5,"F2",6,1,8,3,5,6,6,3,4,1,3,4,3,6,4,6,3,1,1,1,2,3,6,3,4,3,5,7,1,5,4,2,1,5,4,5,5,2,3,3,1
"A3GZXU4FUJTKZD","2","adjusted",5,"F2",2,1,8,2,6,6,5,4,5,7,4,4,4,6,3,3,1,5,2,3,1,5,6,4,7,3,3,7,6,7,7,4,2,6,7,5,5,5,3,5,6
"A3GZXU4FUJTKZD","3","adjusted",5,"F2",1,1,6,1,5,5,1,4,5,2,1,6,2,6,4,1,1,1,3,3,1,4,5,2,5,1,6,2,5,3,7,2,3,7,6,5,5,7,3,5,4
"A3GZXU4FUJTKZD","4","adjusted",5,"F2",4,1,8,2,5,5,2,6,4,4,2,4,3,7,3,2,2,2,2,3,2,5,5,4,4,3,4,5,3,5,5,4,2,6,4,5,6,5,3,4,4
"A3GZXU4FUJTKZD","5","adjusted",5,"F2",3,1,4,1,5,5,4,5,3,6,2,3,2,7,4,2,4,2,4,2,1,4,5,1,4,1,4,1,5,3,7,1,5,7,2,5,6,6,3,2,1
"A3KIDRWRKC7RI5","3","adjusted",5,"F2",4,1,8,6,5,5,6,6,6,5,2,2,4,6,4,5,2,4,5,1,2,6,4,6,6,3,3,2,4,3,7,5,3,4,6,6,5,6,3,5,5
"A3NKNOE5HIXXL","1","adjusted",3,"F2",5,1,11,1,7,6,6,6,7,6,1,3,7,7,5,6,3,2,5,2,1,6,7,7,7,1,6,7,7,7,7,5,7,5,7,7,7,7,3,6,7
"A3OAXRZT3MVJML","2","adjusted",3,"F2",1,1,3,2,5,6,2,3,3,4,4,3,7,6,7,4,4,3,5,1,1,2,5,2,4,5,2,1,4,1,5,2,2,3,3,2,4,3,5,2,2
"AFMAFX0P2YRRV","1","adjusted",1,"F2",3,4,6,7,4,4,7,4,4,7,7,1,4,1,4,4,4,1,6,2,1,4,7,4,4,3,4,1,1,4,4,4,1,4,4,2,4,7,2,4,4
"AQMLJYUQCSG22","3","adjusted",3,"F2",NA,1,5,1,3,4,3,5,4,4,3,2,2,7,3,2,1,1,1,2,1,2,2,3,3,3,2,4,1,3,7,1,1,4,3,6,3,6,3,2,4
"AWVLT2L5AP873","2","adjusted",3,"F2",7,1,10,7,6,6,7,7,7,1,2,1,5,7,4,5,3,7,7,2,2,5,7,7,7,4,6,5,5,3,7,6,2,2,7,7,7,6,3,7,7
"AWVLT2L5AP873","3","adjusted",3,"F2",7,1,11,7,4,4,7,7,7,5,4,2,4,7,1,3,3,2,5,1,2,7,6,7,7,5,5,6,4,4,7,3,2,2,5,7,7,7,4,4,3
"AY4E4CDN0J6JL","2","adjusted",4,"F2",6,1,7,7,6,6,7,5,5,6,1,1,6,7,6,4,1,4,2,1,2,7,7,5,7,2,6,1,7,2,7,6,5,3,6,6,7,7,3,6,7
"AYNDATHZBJZ6E","1","adjusted",3,"F2",2,1,6,4,7,7,4,2,7,2,3,4,4,7,4,3,2,7,2,3,2,7,7,4,7,1,4,7,5,7,4,6,1,5,7,5,7,4,5,7,7
"A110BZSDZN7E16","2","adjusted",3,"F3",7,1,11,1,7,7,7,7,7,4,1,4,5,7,7,7,1,7,1,2,1,7,7,7,7,3,7,4,1,6,7,6,1,1,7,7,7,7,2,7,7
"A13WTEQ06V3B6D","2","adjusted",3,"F3",4,1,8,1,7,7,7,6,7,7,4,4,1,7,7,6,2,6,5,2,2,7,7,6,7,5,7,1,7,7,7,7,6,2,7,6,7,5,5,6,7
"A169WH54HMYS5Z","1","adjusted",3,"F3",7,1,9,7,7,7,7,6,6,6,1,4,7,7,4,4,2,7,7,3,2,7,7,7,7,2,7,5,5,6,7,6,5,4,7,7,7,7,4,7,6
"A18JNQE5GZQIX5","3","adjusted",3,"F3",6,1,10,7,6,5,7,6,6,6,2,6,3,7,1,5,1,2,5,1,2,5,6,5,5,5,6,6,6,6,7,5,2,3,5,6,6,7,4,5,6
"A1ADAWW4IHPCQ7","2","adjusted",3,"F3",3,8,6,2,6,6,7,6,4,4,4,6,4,7,6,4,1,3,4,1,1,6,7,5,6,3,6,1,2,3,7,4,2,5,6,6,7,7,2,3,4
"A1AZLJ3R5FQ9B7","1","adjusted",3,"F3",7,1,8,1,6,6,7,6,7,6,1,1,7,7,7,6,1,4,4,1,1,4,7,6,7,6,2,4,5,4,7,4,4,1,6,6,4,7,3,7,4
"A1B5SSGMTAQ9B5","1","adjusted",2,"F3",5,5,4,3,4,2,3,4,3,5,5,5,2,5,3,4,3,5,4,3,2,4,3,5,4,2,4,6,5,4,4,4,3,5,4,2,2,3,3,4,6
"A1D7IULWFI8PB1","3","adjusted",3,"F3",7,3,11,3,4,4,7,6,6,4,1,1,4,6,1,3,1,5,5,1,1,2,5,6,4,3,2,2,2,2,5,4,2,3,7,7,3,4,3,3,7
"A1IL81UMEC9OJI","1","adjusted",5,"F3",7,6,10,2,7,5,7,6,6,2,1,5,2,7,6,3,2,7,6,3,2,7,7,5,7,3,6,2,6,4,7,5,1,5,6,7,7,4,4,5,6
"A1IL81UMEC9OJI","3","adjusted",5,"F3",6,2,10,3,6,5,3,6,7,5,1,4,5,6,2,4,1,6,2,3,2,5,7,3,7,3,6,6,3,4,7,5,1,4,5,7,7,4,3,4,3
"A1R5W4RQZTROD8","4","adjusted",4,"F3",4,1,9,5,4,5,5,4,5,5,3,1,3,4,4,4,1,4,1,3,2,5,4,4,4,5,5,1,3,4,7,3,1,2,3,6,6,6,3,2,4
"A1SISJL5ST2PWH","1","adjusted",3,"F3",4,2,6,6,5,5,5,5,4,5,2,5,2,6,4,4,2,3,3,1,2,4,4,5,4,5,4,4,2,3,5,5,3,2,2,5,4,5,2,2,2
"A1SISJL5ST2PWH","3","adjusted",3,"F3",4,2,4,2,5,5,2,5,4,4,2,4,3,4,5,4,2,3,2,1,2,3,5,4,4,6,4,4,2,2,5,4,2,1,1,4,5,6,3,2,2
"A1WS9UHL45VZ0X","1","adjusted",3,"F3",5,1,10,1,4,4,1,6,5,6,5,6,1,6,4,4,1,6,5,1,1,7,7,3,7,5,7,1,5,7,5,5,3,2,7,5,4,7,2,6,5
"A1YPOIURXB6ESR","3","adjusted",4,"F3",3,3,9,7,5,5,7,4,7,6,4,4,2,6,4,4,1,7,7,2,2,7,7,5,7,3,7,1,6,7,7,4,7,1,7,3,7,7,3,7,3
"A1YPOIURXB6ESR","4","adjusted",4,"F3",3,1,6,4,5,5,6,5,6,4,4,5,2,5,4,4,1,3,1,2,2,6,7,5,7,5,6,1,4,5,7,3,2,2,6,3,6,7,3,6,2
"A2ASTDMWBCFIP0","1","adjusted",2,"F3",6,1,8,3,7,7,6,5,6,7,4,4,6,6,6,6,1,4,4,3,2,7,6,6,7,3,6,6,6,4,6,6,5,4,4,5,7,6,3,5,6
"A2ESBX4C2Q6TQY","1","adjusted",5,"F3",4,7,10,1,7,7,7,5,6,7,1,1,6,7,7,2,4,7,7,3,2,7,7,4,7,1,6,1,6,6,7,3,7,7,7,5,7,2,4,7,7
"A2ESBX4C2Q6TQY","3","adjusted",5,"F3",6,1,10,6,7,7,6,5,5,7,1,1,3,2,6,3,2,7,6,2,2,6,7,1,7,3,4,2,7,5,7,7,6,7,5,6,7,7,4,4,7
"A2HQMB1GSEADL","4","adjusted",5,"F3",7,1,9,6,5,4,1,7,4,5,3,2,1,7,2,5,1,3,1,1,2,5,3,5,4,1,3,5,2,2,7,5,3,2,3,5,4,6,3,2,5
"A2VNSNAN1LZBAM","1","adjusted",3,"F3",4,3,10,5,7,7,7,6,6,6,1,1,4,6,6,5,2,7,6,1,1,5,7,5,7,6,4,1,3,4,4,6,2,4,7,6,5,4,2,6,4
"A3BE3KXD518TZ4","3","adjusted",3,"F3",6,1,4,1,6,6,5,NA,5,1,3,4,5,7,7,3,2,5,2,1,2,6,7,4,7,2,7,5,2,5,4,4,1,6,5,5,2,4,4,4,4
"A3KIDRWRKC7RI5","2","adjusted",5,"F3",4,3,7,1,5,5,1,6,6,4,4,3,3,6,5,5,1,4,3,1,1,4,5,6,6,2,4,2,1,1,5,4,1,3,5,6,5,7,3,5,4
"A3OPRR8AXT6OSJ","1","adjusted",3,"F3",7,1,9,7,6,6,7,7,7,5,1,6,6,7,6,6,1,4,1,2,2,7,7,7,7,3,6,5,3,6,7,3,1,3,5,6,5,7,3,6,4
"A3ROYUO9LWA22S","2","adjusted",5,"F3",5,1,11,7,7,7,5,7,7,7,3,5,4,7,1,7,1,5,2,2,2,7,7,7,7,3,7,5,7,7,7,7,3,1,7,7,7,7,2,7,7
"A5A14MTB35J23","1","adjusted",5,"F3",7,3,6,4,6,6,4,6,5,1,1,3,1,7,4,6,1,3,1,1,2,1,5,6,5,5,1,2,1,1,7,5,1,3,4,7,5,7,5,4,1
"A7P3R1AIA4TVV","2","adjusted",3,"F3",3,1,4,1,6,6,5,4,4,7,2,4,8,6,7,3,1,3,2,3,1,7,7,4,7,2,4,1,4,4,7,2,2,5,6,4,7,7,3,2,2
"AJDHPRCJ985C7","2","adjusted",5,"F3",6,2,7,7,5,5,7,5,6,2,1,4,1,7,3,1,2,6,7,3,2,1,7,5,7,5,6,1,2,1,6,6,4,2,4,5,2,7,4,7,6
"AKX5RHHO8BIUX","3","adjusted",5,"F3",5,1,9,1,6,6,3,7,5,3,2,5,1,7,3,2,1,2,7,1,1,6,7,3,7,2,5,1,7,5,7,2,2,6,7,6,5,7,3,3,3
"ALAOEYIYW0CW7","3","adjusted",5,"F3",5,5,9,4,6,5,5,5,7,3,5,7,5,7,7,7,3,5,5,3,2,4,6,4,6,1,7,6,6,7,4,1,4,4,6,5,5,5,4,4,3
"AQMLJYUQCSG22","1","adjusted",3,"F3",5,1,9,5,6,5,5,7,5,7,1,2,3,7,4,6,2,3,1,2,2,7,6,5,4,2,1,4,3,5,6,4,1,3,5,7,6,4,2,4,5
"AU34T9OMHN4Z4","2","adjusted",3,"F3",4,1,8,1,6,6,5,5,4,7,1,5,4,7,4,2,2,4,1,3,2,5,7,5,7,3,5,1,7,4,7,7,4,6,7,7,7,7,3,5,1
"AU34T9OMHN4Z4","3","adjusted",3,"F3",4,1,8,1,5,5,7,5,5,7,1,4,8,7,4,3,1,7,1,3,2,5,7,5,7,3,3,1,7,1,7,7,1,5,7,5,7,5,3,4,7
"AVKMFV9CZ0MLR","1","adjusted",5,"F3",7,1,9,1,7,7,7,6,6,4,1,7,7,7,7,7,1,1,7,3,2,7,7,6,7,5,7,6,7,7,6,4,1,2,7,6,4,7,3,6,1
"AVKMFV9CZ0MLR","2","adjusted",5,"F3",7,1,11,1,7,6,7,7,7,4,1,7,7,7,6,7,1,1,7,3,2,7,7,7,7,5,7,6,7,7,7,4,1,2,7,7,4,7,2,7,1
