"MTurkCode","listNum","goal","goalType","variable","rating","timeStamp","terminate_time"
"A1G5EPLJEGL381",2,1,"long-term","endTime",NA,"baseline",NA
"A1G5EPLJEGL381",2,2,"long-term","endTime",NA,"baseline",NA
"A1H5Q9HRH4RPZU",3,1,"recurrance","endTime",NA,"baseline",NA
"A1H5Q9HRH4RPZU",3,2,"long-term","endTime",NA,"baseline",NA
"A1H5Q9HRH4RPZU",3,3,"short-term","endTime",NA,"baseline",NA
"A1IBLFQ2E6VA2J",5,1,"short-term","endTime",NA,"baseline",NA
"A1IBLFQ2E6VA2J",5,2,"recurrance","endTime",NA,"baseline",NA
"A1IBLFQ2E6VA2J",5,3,"short-term","endTime",NA,"baseline",NA
"A1IBLFQ2E6VA2J",5,4,"recurrance","endTime",NA,"baseline",NA
"A1IBLFQ2E6VA2J",5,5,"long-term","endTime",NA,"baseline",NA
"A1IJ56N5Z4TT46",5,1,"recurrance","endTime",NA,"baseline",NA
"A1IJ56N5Z4TT46",5,2,"recurrance","endTime",NA,"baseline",NA
"A1IJ56N5Z4TT46",5,3,"short-term","endTime",NA,"baseline",NA
"A1IJ56N5Z4TT46",5,4,"short-term","endTime",NA,"baseline",NA
"A1IJ56N5Z4TT46",5,5,"recurrance","endTime",NA,"baseline",NA
"A1IL81UMEC9OJI",5,1,"long-term","endTime",NA,"baseline",NA
"A1IL81UMEC9OJI",5,2,"short-term","endTime",NA,"baseline",NA
"A1IL81UMEC9OJI",5,3,"short-term","endTime",NA,"baseline",NA
"A1IL81UMEC9OJI",5,4,"long-term","endTime",NA,"baseline",NA
"A1IL81UMEC9OJI",5,5,"long-term","endTime",NA,"baseline",NA
"A1J8TVICSRC70W",5,1,"short-term","endTime",NA,"baseline",NA
"A1J8TVICSRC70W",5,2,"recurrance","endTime",NA,"baseline",NA
"A1J8TVICSRC70W",5,3,"short-term","endTime",NA,"baseline",NA
"A1J8TVICSRC70W",5,4,"short-term","endTime",NA,"baseline",NA
"A1J8TVICSRC70W",5,5,"recurrance","endTime",NA,"baseline",NA
"A1J9Z2VOHTT1UZ",3,1,"recurrance","endTime",NA,"baseline",NA
"A1J9Z2VOHTT1UZ",3,2,"recurrance","endTime",NA,"baseline",NA
"A1J9Z2VOHTT1UZ",3,3,"recurrance","endTime",NA,"baseline",NA
"A1K8VUKRL53OX",5,1,"short-term","endTime",NA,"baseline",NA
"A1K8VUKRL53OX",5,2,"short-term","endTime",NA,"baseline",NA
"A1K8VUKRL53OX",5,3,"recurrance","endTime",NA,"baseline",NA
"A1K8VUKRL53OX",5,4,"long-term","endTime",NA,"baseline",NA
"A1K8VUKRL53OX",5,5,"short-term","endTime",NA,"baseline",NA
"A1KC342L9WAQ2",3,1,"short-term","endTime",NA,"baseline",NA
"A1KC342L9WAQ2",3,2,"short-term","endTime",NA,"baseline",NA
"A1KC342L9WAQ2",3,3,"recurrance","endTime",NA,"baseline",NA
"A1LJNQX4KBUXNP",3,1,"recurrance","endTime",NA,"baseline",NA
"A1LJNQX4KBUXNP",3,2,"recurrance","endTime",NA,"baseline",NA
"A1LJNQX4KBUXNP",3,3,"short-term","endTime",NA,"baseline",NA
"A1LS7GARU7CD08",3,1,"recurrance","endTime",NA,"baseline",NA
"A1LS7GARU7CD08",3,2,"recurrance","endTime",NA,"baseline",NA
"A1LS7GARU7CD08",3,3,"long-term","endTime",NA,"baseline",NA
"A1M8BYIP0KZJZX",5,1,"short-term","endTime",NA,"baseline",NA
"A1M8BYIP0KZJZX",5,2,"long-term","endTime",NA,"baseline",NA
"A1M8BYIP0KZJZX",5,3,"short-term","endTime",NA,"baseline",NA
"A1M8BYIP0KZJZX",5,4,"short-term","endTime",NA,"baseline",NA
"A1M8BYIP0KZJZX",5,5,"long-term","endTime",NA,"baseline",NA
"A1MJWY7UO3CDSM",2,1,"short-term","endTime",NA,"baseline",NA
"A1MJWY7UO3CDSM",2,2,"short-term","endTime",NA,"baseline",NA
"A1NVF1YLDLF563",3,1,"recurrance","endTime",NA,"baseline",NA
"A1NVF1YLDLF563",3,2,"recurrance","endTime",NA,"baseline",NA
"A1NVF1YLDLF563",3,3,"recurrance","endTime",NA,"baseline",NA
"A1O9PAK6THJ9Y7",2,1,"long-term","endTime",NA,"baseline",NA
"A1O9PAK6THJ9Y7",2,2,"long-term","endTime",NA,"baseline",NA
"A1OJV3R8BH73BD",3,1,"short-term","endTime",NA,"baseline",NA
"A1OJV3R8BH73BD",3,2,"short-term","endTime",NA,"baseline",NA
"A1OJV3R8BH73BD",3,3,"short-term","endTime",NA,"baseline",NA
"A1OR82RF1ZFWP",3,1,"recurrance","endTime",NA,"baseline",NA
"A1OR82RF1ZFWP",3,2,"short-term","endTime",NA,"baseline",NA
"A1OR82RF1ZFWP",3,3,"recurrance","endTime",NA,"baseline",NA
"A1P3I7YCWXF9YG",2,1,"long-term","endTime",NA,"baseline",NA
"A1P3I7YCWXF9YG",2,2,"recurrance","endTime",NA,"baseline",NA
"A1QT7BQZVOBSY0",4,1,"recurrance","endTime",NA,"baseline",NA
"A1QT7BQZVOBSY0",4,2,"short-term","endTime",NA,"baseline",NA
"A1QT7BQZVOBSY0",4,3,"recurrance","endTime",NA,"baseline",NA
"A1QT7BQZVOBSY0",4,4,"recurrance","endTime",NA,"baseline",NA
"A1R5W4RQZTROD8",4,1,"long-term","endTime",NA,"baseline",NA
"A1R5W4RQZTROD8",4,2,"recurrance","endTime",NA,"baseline",NA
"A1R5W4RQZTROD8",4,3,"recurrance","endTime",NA,"baseline",NA
"A1R5W4RQZTROD8",4,4,"recurrance","endTime",NA,"baseline",NA
"A1ROEDVMTO9Y3X",2,1,"short-term","endTime",NA,"baseline",NA
"A1ROEDVMTO9Y3X",2,2,"short-term","endTime",NA,"baseline",NA
"A1RQUOVV8PCXBM",5,1,"long-term","endTime",NA,"baseline",NA
"A1RQUOVV8PCXBM",5,2,"recurrance","endTime",NA,"baseline",NA
"A1RQUOVV8PCXBM",5,3,"short-term","endTime",NA,"baseline",NA
"A1RQUOVV8PCXBM",5,4,"recurrance","endTime",NA,"baseline",NA
"A1RQUOVV8PCXBM",5,5,"recurrance","endTime",NA,"baseline",NA
"A1RWNYJA5X25YH",5,1,"recurrance","endTime",NA,"baseline",NA
"A1RWNYJA5X25YH",5,2,"long-term","endTime",NA,"baseline",NA
"A1RWNYJA5X25YH",5,3,"recurrance","endTime",NA,"baseline",NA
"A1RWNYJA5X25YH",5,4,"short-term","endTime",NA,"baseline",NA
"A1RWNYJA5X25YH",5,5,"recurrance","endTime",NA,"baseline",NA
"A1SISJL5ST2PWH",3,1,"recurrance","endTime",NA,"baseline",NA
"A1SISJL5ST2PWH",3,2,"short-term","endTime",NA,"baseline",NA
"A1SISJL5ST2PWH",3,3,"short-term","endTime",NA,"baseline",NA
"A1SL72YBUW8Q8K",4,1,"recurrance","endTime",NA,"baseline",NA
"A1SL72YBUW8Q8K",4,2,"recurrance","endTime",NA,"baseline",NA
"A1SL72YBUW8Q8K",4,3,"short-term","endTime",NA,"baseline",NA
"A1SL72YBUW8Q8K",4,4,"recurrance","endTime",NA,"baseline",NA
"A1T83SZBP2DN65",2,1,"short-term","endTime",NA,"baseline",NA
"A1T83SZBP2DN65",2,2,"long-term","endTime",NA,"baseline",NA
"A1TPGXT718D68E",3,1,"short-term","endTime",NA,"baseline",NA
"A1TPGXT718D68E",3,2,"short-term","endTime",NA,"baseline",NA
"A1TPGXT718D68E",3,3,"short-term","endTime",NA,"baseline",NA
"A1U8LTCX5XYJ45",3,1,"long-term","endTime",NA,"baseline",NA
"A1U8LTCX5XYJ45",3,2,"long-term","endTime",NA,"baseline",NA
"A1U8LTCX5XYJ45",3,3,"long-term","endTime",NA,"baseline",NA
"A1VFRCYMWGWWCZ",5,1,"recurrance","endTime",NA,"baseline",NA
"A1VFRCYMWGWWCZ",5,2,"long-term","endTime",NA,"baseline",NA
"A1VFRCYMWGWWCZ",5,3,"recurrance","endTime",NA,"baseline",NA
"A1VFRCYMWGWWCZ",5,4,"recurrance","endTime",NA,"baseline",NA
"A1VFRCYMWGWWCZ",5,5,"long-term","endTime",NA,"baseline",NA
"A1VRG5HKZC0H0C",5,1,"short-term","endTime",NA,"baseline",NA
"A1VRG5HKZC0H0C",5,2,"short-term","endTime",NA,"baseline",NA
"A1VRG5HKZC0H0C",5,3,"short-term","endTime",NA,"baseline",NA
"A1VRG5HKZC0H0C",5,4,"recurrance","endTime",NA,"baseline",NA
"A1VRG5HKZC0H0C",5,5,"recurrance","endTime",NA,"baseline",NA
"A1W7I6FN183I8F",5,1,"recurrance","endTime",NA,"baseline",NA
"A1W7I6FN183I8F",5,2,"recurrance","endTime",NA,"baseline",NA
"A1W7I6FN183I8F",5,3,"short-term","endTime",NA,"baseline",NA
"A1W7I6FN183I8F",5,4,"recurrance","endTime",NA,"baseline",NA
"A1W7I6FN183I8F",5,5,"recurrance","endTime",NA,"baseline",NA
"A1W850QN9RK019",5,1,"long-term","endTime",NA,"baseline",NA
"A1W850QN9RK019",5,2,"short-term","endTime",NA,"baseline",NA
"A1W850QN9RK019",5,3,"long-term","endTime",NA,"baseline",NA
"A1W850QN9RK019",5,4,"short-term","endTime",NA,"baseline",NA
"A1W850QN9RK019",5,5,"recurrance","endTime",NA,"baseline",NA
"A1WJYF201K77BI",5,1,"recurrance","endTime",NA,"baseline",NA
"A1WJYF201K77BI",5,2,"recurrance","endTime",NA,"baseline",NA
"A1WJYF201K77BI",5,3,"recurrance","endTime",NA,"baseline",NA
"A1WJYF201K77BI",5,4,"recurrance","endTime",NA,"baseline",NA
"A1WJYF201K77BI",5,5,"recurrance","endTime",NA,"baseline",NA
"A1WQACYPLESVGL",5,1,"short-term","endTime",NA,"baseline",NA
"A1WQACYPLESVGL",5,2,"short-term","endTime",NA,"baseline",NA
"A1WQACYPLESVGL",5,3,"recurrance","endTime",NA,"baseline",NA
"A1WQACYPLESVGL",5,4,"recurrance","endTime",NA,"baseline",NA
"A1WQACYPLESVGL",5,5,"short-term","endTime",NA,"baseline",NA
"A1WS9UHL45VZ0X",3,1,"short-term","endTime",NA,"baseline",NA
"A1WS9UHL45VZ0X",3,2,"recurrance","endTime",NA,"baseline",NA
"A1WS9UHL45VZ0X",3,3,"recurrance","endTime",NA,"baseline",NA
"A1WZY0K6IE3ASG",5,1,"recurrance","endTime",NA,"baseline",NA
"A1WZY0K6IE3ASG",5,2,"recurrance","endTime",NA,"baseline",NA
"A1WZY0K6IE3ASG",5,3,"recurrance","endTime",NA,"baseline",NA
"A1WZY0K6IE3ASG",5,4,"recurrance","endTime",NA,"baseline",NA
"A1WZY0K6IE3ASG",5,5,"recurrance","endTime",NA,"baseline",NA
"A1X388C6SDCDEY",4,1,"recurrance","endTime",NA,"baseline",NA
"A1X388C6SDCDEY",4,2,"recurrance","endTime",NA,"baseline",NA
"A1X388C6SDCDEY",4,3,"recurrance","endTime",NA,"baseline",NA
"A1X388C6SDCDEY",4,4,"recurrance","endTime",NA,"baseline",NA
"A1XRWOK00HK1J4",4,1,"recurrance","endTime",NA,"baseline",NA
"A1XRWOK00HK1J4",4,2,"recurrance","endTime",NA,"baseline",NA
"A1XRWOK00HK1J4",4,3,"recurrance","endTime",NA,"baseline",NA
"A1XRWOK00HK1J4",4,4,"recurrance","endTime",NA,"baseline",NA
"A1XUZFDVKP95VC",2,1,"long-term","endTime",NA,"baseline",NA
"A1XUZFDVKP95VC",2,2,"short-term","endTime",NA,"baseline",NA
"A1YPOIURXB6ESR",4,1,"short-term","endTime",NA,"baseline",NA
"A1YPOIURXB6ESR",4,2,"recurrance","endTime",NA,"baseline",NA
"A1YPOIURXB6ESR",4,3,"short-term","endTime",NA,"baseline",NA
"A1YPOIURXB6ESR",4,4,"short-term","endTime",NA,"baseline",NA
"A1Z2ZGPJRGG0G3",3,1,"recurrance","endTime",NA,"baseline",NA
"A1Z2ZGPJRGG0G3",3,2,"recurrance","endTime",NA,"baseline",NA
"A1Z2ZGPJRGG0G3",3,3,"short-term","endTime",NA,"baseline",NA
"A1ZT0TLZZTT47M",5,1,"recurrance","endTime",NA,"baseline",NA
"A1ZT0TLZZTT47M",5,2,"recurrance","endTime",NA,"baseline",NA
"A1ZT0TLZZTT47M",5,3,"short-term","endTime",NA,"baseline",NA
"A1ZT0TLZZTT47M",5,4,"recurrance","endTime",NA,"baseline",NA
"A1ZT0TLZZTT47M",5,5,"recurrance","endTime",NA,"baseline",NA
"A1ZT30BGR3266K",2,1,"recurrance","endTime",NA,"baseline",NA
"A1ZT30BGR3266K",2,2,"recurrance","endTime",NA,"baseline",NA
"A207IHY6GERCFO",3,1,"recurrance","endTime",NA,"baseline",NA
"A207IHY6GERCFO",3,2,"short-term","endTime",NA,"baseline",NA
"A207IHY6GERCFO",3,3,"recurrance","endTime",NA,"baseline",NA
"A2196WCNDZULFS",3,1,"long-term","endTime",NA,"baseline",NA
"A2196WCNDZULFS",3,2,"long-term","endTime",NA,"baseline",NA
"A2196WCNDZULFS",3,3,"long-term","endTime",NA,"baseline",NA
"A21BXRUD15TQL8",3,1,"long-term","endTime",NA,"baseline",NA
"A21BXRUD15TQL8",3,2,"short-term","endTime",NA,"baseline",NA
"A21BXRUD15TQL8",3,3,"recurrance","endTime",NA,"baseline",NA
"A21ZYTE6WOKUA",4,1,"long-term","endTime",NA,"baseline",NA
"A21ZYTE6WOKUA",4,2,"long-term","endTime",NA,"baseline",NA
"A21ZYTE6WOKUA",4,3,"long-term","endTime",NA,"baseline",NA
"A21ZYTE6WOKUA",4,4,"short-term","endTime",NA,"baseline",NA
"A225BMTMXUR5F4",5,1,"short-term","endTime",NA,"baseline",NA
"A225BMTMXUR5F4",5,2,"recurrance","endTime",NA,"baseline",NA
"A225BMTMXUR5F4",5,3,"long-term","endTime",NA,"baseline",NA
"A225BMTMXUR5F4",5,4,"recurrance","endTime",NA,"baseline",NA
"A225BMTMXUR5F4",5,5,"recurrance","endTime",NA,"baseline",NA
"A22DDO8NILSX6O",4,1,"recurrance","endTime",NA,"baseline",NA
"A22DDO8NILSX6O",4,2,"recurrance","endTime",NA,"baseline",NA
"A22DDO8NILSX6O",4,3,"recurrance","endTime",NA,"baseline",NA
"A22DDO8NILSX6O",4,4,"recurrance","endTime",NA,"baseline",NA
"A22SZHZTF72TRM",4,1,"short-term","endTime",NA,"baseline",NA
"A22SZHZTF72TRM",4,2,"short-term","endTime",NA,"baseline",NA
"A22SZHZTF72TRM",4,3,"recurrance","endTime",NA,"baseline",NA
"A22SZHZTF72TRM",4,4,"recurrance","endTime",NA,"baseline",NA
"A248PLZABUKB62",5,1,"short-term","endTime",NA,"baseline",NA
"A248PLZABUKB62",5,2,"short-term","endTime",NA,"baseline",NA
"A248PLZABUKB62",5,3,"short-term","endTime",NA,"baseline",NA
"A248PLZABUKB62",5,4,"short-term","endTime",NA,"baseline",NA
"A248PLZABUKB62",5,5,"short-term","endTime",NA,"baseline",NA
"A255RBA8P0K0XV",5,1,"recurrance","endTime",NA,"baseline",NA
"A255RBA8P0K0XV",5,2,"long-term","endTime",NA,"baseline",NA
"A255RBA8P0K0XV",5,3,"recurrance","endTime",NA,"baseline",NA
"A255RBA8P0K0XV",5,4,"recurrance","endTime",NA,"baseline",NA
"A255RBA8P0K0XV",5,5,"long-term","endTime",NA,"baseline",NA
"A2615YW1YERQBO",3,1,"long-term","endTime",NA,"baseline",NA
"A2615YW1YERQBO",3,2,"long-term","endTime",NA,"baseline",NA
"A2615YW1YERQBO",3,3,"long-term","endTime",NA,"baseline",NA
"A26NGLGGFTATVN",2,1,"recurrance","endTime",NA,"baseline",NA
"A26NGLGGFTATVN",2,2,"recurrance","endTime",NA,"baseline",NA
"A26UAJWMMNN351",3,1,"short-term","endTime",NA,"baseline",NA
"A26UAJWMMNN351",3,2,"long-term","endTime",NA,"baseline",NA
"A26UAJWMMNN351",3,3,"short-term","endTime",NA,"baseline",NA
"A27INSDNTACWAM",4,1,"recurrance","endTime",NA,"baseline",NA
"A27INSDNTACWAM",4,2,"recurrance","endTime",NA,"baseline",NA
"A27INSDNTACWAM",4,3,"long-term","endTime",NA,"baseline",NA
"A27INSDNTACWAM",4,4,"long-term","endTime",NA,"baseline",NA
"A286W816CMIZL9",3,1,"long-term","endTime",NA,"baseline",NA
"A286W816CMIZL9",3,2,"recurrance","endTime",NA,"baseline",NA
"A286W816CMIZL9",3,3,"recurrance","endTime",NA,"baseline",NA
"A28J7H4TH29DC3",3,1,"short-term","endTime",NA,"baseline",NA
"A28J7H4TH29DC3",3,2,"recurrance","endTime",NA,"baseline",NA
"A28J7H4TH29DC3",3,3,"recurrance","endTime",NA,"baseline",NA
"A2ASTDMWBCFIP0",2,1,"short-term","endTime",NA,"baseline",NA
"A2ASTDMWBCFIP0",2,2,"short-term","endTime",NA,"baseline",NA
"A2AT6TSPPCR106",4,1,"recurrance","endTime",NA,"baseline",NA
"A2AT6TSPPCR106",4,2,"recurrance","endTime",NA,"baseline",NA
"A2AT6TSPPCR106",4,3,"long-term","endTime",NA,"baseline",NA
"A2AT6TSPPCR106",4,4,"recurrance","endTime",NA,"baseline",NA
"A2AZYU1CT24O0K",5,1,"short-term","endTime",NA,"baseline",NA
"A2AZYU1CT24O0K",5,2,"recurrance","endTime",NA,"baseline",NA
"A2AZYU1CT24O0K",5,3,"recurrance","endTime",NA,"baseline",NA
"A2AZYU1CT24O0K",5,4,"long-term","endTime",NA,"baseline",NA
"A2AZYU1CT24O0K",5,5,"recurrance","endTime",NA,"baseline",NA
"A2B0FLA55RH047",4,1,"long-term","endTime",NA,"baseline",NA
"A2B0FLA55RH047",4,2,"recurrance","endTime",NA,"baseline",NA
"A2B0FLA55RH047",4,3,"short-term","endTime",NA,"baseline",NA
"A2B0FLA55RH047",4,4,"recurrance","endTime",NA,"baseline",NA
"A2BEBDMQ7SI4IY",5,1,"short-term","endTime",NA,"baseline",NA
"A2BEBDMQ7SI4IY",5,2,"short-term","endTime",NA,"baseline",NA
"A2BEBDMQ7SI4IY",5,3,"recurrance","endTime",NA,"baseline",NA
"A2BEBDMQ7SI4IY",5,4,"long-term","endTime",NA,"baseline",NA
