"MTurkCode","goal","status","listNum","terminate_time","time_point","variable","post_rating"
"AYA1LRB27KSR1","1","abandoned",5,"F1","F1","affordance",5
"A10LHWALI4BZPC","2","completed",4,"F1","F1","approach_avoidance",2
"A11F3MA5FWH6SJ","3","completed",3,"F1","F1","approach_avoidance",1
"A13FUEPWBCLBUY","2","abandoned",2,"F1","F1","approach_avoidance",1
"A1561P9VVA3C1C","2","completed",3,"F1","F1","approach_avoidance",2
"A16Z9FSSF1X74O","3","abandoned",5,"F1","F1","approach_avoidance",4
"A1720HSKGQ41VJ","1","completed",4,"F1","F1","approach_avoidance",1
"A198MSVO1VTAT5","1","completed",4,"F1","F1","approach_avoidance",1
"A198MSVO1VTAT5","2","completed",4,"F1","F1","approach_avoidance",1
"A19YQU3ZZ8USPO","2","completed",3,"F1","F1","approach_avoidance",1
"A1BIJGB7XA0GME","1","completed",3,"F1","F1","approach_avoidance",1
"A1BSVEBYDZ0AAU","3","abandoned",3,"F1","F1","approach_avoidance",2
"A1G187YBG0DVMQ","3","abandoned",3,"F1","F1","approach_avoidance",2
"A1J8TVICSRC70W","1","abandoned",5,"F1","F1","approach_avoidance",1
"A1J8TVICSRC70W","3","abandoned",5,"F1","F1","approach_avoidance",1
"A1J8TVICSRC70W","5","abandoned",5,"F1","F1","approach_avoidance",7
"A1K8VUKRL53OX","1","completed",5,"F1","F1","approach_avoidance",1
"A1KC342L9WAQ2","1","completed",3,"F1","F1","approach_avoidance",1
"A1QT7BQZVOBSY0","2","completed",4,"F1","F1","approach_avoidance",1
"A1R5W4RQZTROD8","2","abandoned",4,"F1","F1","approach_avoidance",1
"A1SL72YBUW8Q8K","4","abandoned",4,"F1","F1","approach_avoidance",1
"A1TPGXT718D68E","2","completed",3,"F1","F1","approach_avoidance",1
"A1VRG5HKZC0H0C","1","completed",5,"F1","F1","approach_avoidance",1
"A1WJYF201K77BI","4","abandoned",5,"F1","F1","approach_avoidance",1
"A1WJYF201K77BI","5","completed",5,"F1","F1","approach_avoidance",1
"A1WQACYPLESVGL","4","completed",5,"F1","F1","approach_avoidance",1
"A21ZYTE6WOKUA","1","abandoned",4,"F1","F1","approach_avoidance",7
"A21ZYTE6WOKUA","2","completed",4,"F1","F1","approach_avoidance",6
"A225BMTMXUR5F4","1","completed",5,"F1","F1","approach_avoidance",1
"A22SZHZTF72TRM","1","completed",4,"F1","F1","approach_avoidance",7
"A26UAJWMMNN351","2","abandoned",3,"F1","F1","approach_avoidance",1
"A2FP41BSPG0Y4A","4","abandoned",5,"F1","F1","approach_avoidance",5
"A2FP41BSPG0Y4A","5","completed",5,"F1","F1","approach_avoidance",1
"A2H0VR477QHYO7","1","completed",4,"F1","F1","approach_avoidance",1
"A2H0VR477QHYO7","3","abandoned",4,"F1","F1","approach_avoidance",1
"A2IJEKMVEHQ90W","5","completed",5,"F1","F1","approach_avoidance",1
"A2R9OK4M877ZCC","2","completed",3,"F1","F1","approach_avoidance",1
"A2W0G89O7E9EFO","2","completed",5,"F1","F1","approach_avoidance",1
"A2Y0WNHMT4PZ4C","2","abandoned",3,"F1","F1","approach_avoidance",1
"A30FIPRPFQRBO6","2","abandoned",3,"F1","F1","approach_avoidance",1
"A30FIPRPFQRBO6","3","completed",3,"F1","F1","approach_avoidance",4
"A36ZURENFWTYOZ","2","abandoned",5,"F1","F1","approach_avoidance",1
"A36ZURENFWTYOZ","5","completed",5,"F1","F1","approach_avoidance",1
"A39H9RIYRB5ZYV","5","completed",5,"F1","F1","approach_avoidance",4
"A3GI28OVLDI9ST","1","completed",5,"F1","F1","approach_avoidance",1
"A3GZXU4FUJTKZD","1","completed",5,"F1","F1","approach_avoidance",7
"A3KFFIBJZVM0J2","1","completed",4,"F1","F1","approach_avoidance",1
"A3KFFIBJZVM0J2","4","completed",4,"F1","F1","approach_avoidance",1
"A3KIZLHCD945UK","2","completed",3,"F1","F1","approach_avoidance",1
"A3KNLR8H286IHT","2","completed",3,"F1","F1","approach_avoidance",2
"A3KNLR8H286IHT","3","completed",3,"F1","F1","approach_avoidance",1
"A3LL096CAY5WHB","1","abandoned",2,"F1","F1","approach_avoidance",2
"A3LL096CAY5WHB","2","abandoned",2,"F1","F1","approach_avoidance",2
"A3M81P9BEVE1GD","2","completed",5,"F1","F1","approach_avoidance",7
"A3M81P9BEVE1GD","3","completed",5,"F1","F1","approach_avoidance",5
"A3NLSGHK6RFXA8","2","completed",4,"F1","F1","approach_avoidance",6
"A3OPRR8AXT6OSJ","3","completed",3,"F1","F1","approach_avoidance",1
"A3ROYUO9LWA22S","1","completed",5,"F1","F1","approach_avoidance",1
"A3VYBAO7UQQHGC","2","completed",3,"F1","F1","approach_avoidance",1
"A5A14MTB35J23","4","abandoned",5,"F1","F1","approach_avoidance",4
"AHGDYNKOKJWFJ","2","completed",3,"F1","F1","approach_avoidance",1
"AHKRGPN5D3I2G","3","completed",5,"F1","F1","approach_avoidance",1
"AJ4T7PTRYNSUW","2","abandoned",3,"F1","F1","approach_avoidance",1
"AJDHPRCJ985C7","4","completed",5,"F1","F1","approach_avoidance",1
"AL7UTA8J27TFK","3","completed",4,"F1","F1","approach_avoidance",1
"AMTTB8JUWRRM7","2","abandoned",2,"F1","F1","approach_avoidance",7
"ASY5W2HJPIPF4","1","completed",2,"F1","F1","approach_avoidance",1
"AUQTHU5AOZVQC","1","completed",5,"F1","F1","approach_avoidance",2
"AUQTHU5AOZVQC","5","completed",5,"F1","F1","approach_avoidance",2
"AWTGJ45ZWUCHH","4","completed",5,"F1","F1","approach_avoidance",1
"AWTGJ45ZWUCHH","5","completed",5,"F1","F1","approach_avoidance",1
"AY4E4CDN0J6JL","4","abandoned",4,"F1","F1","approach_avoidance",1
"AY5QPUSEADPBG","2","abandoned",2,"F1","F1","approach_avoidance",1
"AYA1LRB27KSR1","1","abandoned",5,"F1","F1","approach_avoidance",1
"A10LHWALI4BZPC","2","completed",4,"F1","F1","attainability",11
"A11F3MA5FWH6SJ","3","completed",3,"F1","F1","attainability",11
"A13FUEPWBCLBUY","2","abandoned",2,"F1","F1","attainability",2
"A1561P9VVA3C1C","2","completed",3,"F1","F1","attainability",11
"A16Z9FSSF1X74O","3","abandoned",5,"F1","F1","attainability",2
"A1720HSKGQ41VJ","1","completed",4,"F1","F1","attainability",11
"A198MSVO1VTAT5","1","completed",4,"F1","F1","attainability",11
"A198MSVO1VTAT5","2","completed",4,"F1","F1","attainability",11
"A19YQU3ZZ8USPO","2","completed",3,"F1","F1","attainability",11
"A1BIJGB7XA0GME","1","completed",3,"F1","F1","attainability",11
"A1BSVEBYDZ0AAU","3","abandoned",3,"F1","F1","attainability",2
"A1G187YBG0DVMQ","3","abandoned",3,"F1","F1","attainability",2
"A1J8TVICSRC70W","1","abandoned",5,"F1","F1","attainability",3
"A1J8TVICSRC70W","3","abandoned",5,"F1","F1","attainability",4
"A1J8TVICSRC70W","5","abandoned",5,"F1","F1","attainability",2
"A1K8VUKRL53OX","1","completed",5,"F1","F1","attainability",8
"A1KC342L9WAQ2","1","completed",3,"F1","F1","attainability",11
"A1QT7BQZVOBSY0","2","completed",4,"F1","F1","attainability",11
"A1R5W4RQZTROD8","2","abandoned",4,"F1","F1","attainability",2
"A1SL72YBUW8Q8K","4","abandoned",4,"F1","F1","attainability",3
"A1TPGXT718D68E","2","completed",3,"F1","F1","attainability",11
"A1VRG5HKZC0H0C","1","completed",5,"F1","F1","attainability",11
"A1WJYF201K77BI","4","abandoned",5,"F1","F1","attainability",3
"A1WJYF201K77BI","5","completed",5,"F1","F1","attainability",10
"A1WQACYPLESVGL","4","completed",5,"F1","F1","attainability",10
"A21ZYTE6WOKUA","1","abandoned",4,"F1","F1","attainability",11
"A21ZYTE6WOKUA","2","completed",4,"F1","F1","attainability",11
"A225BMTMXUR5F4","1","completed",5,"F1","F1","attainability",11
"A22SZHZTF72TRM","1","completed",4,"F1","F1","attainability",11
"A26UAJWMMNN351","2","abandoned",3,"F1","F1","attainability",1
"A2FP41BSPG0Y4A","4","abandoned",5,"F1","F1","attainability",4
"A2FP41BSPG0Y4A","5","completed",5,"F1","F1","attainability",11
"A2H0VR477QHYO7","1","completed",4,"F1","F1","attainability",11
"A2H0VR477QHYO7","3","abandoned",4,"F1","F1","attainability",5
"A2IJEKMVEHQ90W","5","completed",5,"F1","F1","attainability",11
"A2R9OK4M877ZCC","2","completed",3,"F1","F1","attainability",11
"A2W0G89O7E9EFO","2","completed",5,"F1","F1","attainability",11
"A2Y0WNHMT4PZ4C","2","abandoned",3,"F1","F1","attainability",6
"A30FIPRPFQRBO6","2","abandoned",3,"F1","F1","attainability",4
"A30FIPRPFQRBO6","3","completed",3,"F1","F1","attainability",10
"A36ZURENFWTYOZ","2","abandoned",5,"F1","F1","attainability",2
"A36ZURENFWTYOZ","5","completed",5,"F1","F1","attainability",11
"A39H9RIYRB5ZYV","5","completed",5,"F1","F1","attainability",10
"A3GI28OVLDI9ST","1","completed",5,"F1","F1","attainability",11
"A3GZXU4FUJTKZD","1","completed",5,"F1","F1","attainability",11
"A3KFFIBJZVM0J2","1","completed",4,"F1","F1","attainability",11
"A3KFFIBJZVM0J2","4","completed",4,"F1","F1","attainability",11
"A3KIZLHCD945UK","2","completed",3,"F1","F1","attainability",11
"A3KNLR8H286IHT","2","completed",3,"F1","F1","attainability",11
"A3KNLR8H286IHT","3","completed",3,"F1","F1","attainability",11
"A3LL096CAY5WHB","1","abandoned",2,"F1","F1","attainability",4
"A3LL096CAY5WHB","2","abandoned",2,"F1","F1","attainability",2
"A3M81P9BEVE1GD","2","completed",5,"F1","F1","attainability",9
"A3M81P9BEVE1GD","3","completed",5,"F1","F1","attainability",7
"A3NLSGHK6RFXA8","2","completed",4,"F1","F1","attainability",9
"A3OPRR8AXT6OSJ","3","completed",3,"F1","F1","attainability",11
"A3ROYUO9LWA22S","1","completed",5,"F1","F1","attainability",11
"A3VYBAO7UQQHGC","2","completed",3,"F1","F1","attainability",11
"A5A14MTB35J23","4","abandoned",5,"F1","F1","attainability",6
"AHGDYNKOKJWFJ","2","completed",3,"F1","F1","attainability",10
"AHKRGPN5D3I2G","3","completed",5,"F1","F1","attainability",10
"AJ4T7PTRYNSUW","2","abandoned",3,"F1","F1","attainability",6
"AJDHPRCJ985C7","4","completed",5,"F1","F1","attainability",11
"AL7UTA8J27TFK","3","completed",4,"F1","F1","attainability",11
"AMTTB8JUWRRM7","2","abandoned",2,"F1","F1","attainability",3
"ASY5W2HJPIPF4","1","completed",2,"F1","F1","attainability",11
"AUQTHU5AOZVQC","1","completed",5,"F1","F1","attainability",11
"AUQTHU5AOZVQC","5","completed",5,"F1","F1","attainability",11
"AWTGJ45ZWUCHH","4","completed",5,"F1","F1","attainability",11
"AWTGJ45ZWUCHH","5","completed",5,"F1","F1","attainability",11
"AY4E4CDN0J6JL","4","abandoned",4,"F1","F1","attainability",3
"AY5QPUSEADPBG","2","abandoned",2,"F1","F1","attainability",2
"AYA1LRB27KSR1","1","abandoned",5,"F1","F1","attainability",2
"A10LHWALI4BZPC","2","completed",4,"F1","F1","attainment_maintenance",1
"A11F3MA5FWH6SJ","3","completed",3,"F1","F1","attainment_maintenance",8
"A13FUEPWBCLBUY","2","abandoned",2,"F1","F1","attainment_maintenance",7
"A1561P9VVA3C1C","2","completed",3,"F1","F1","attainment_maintenance",1
"A16Z9FSSF1X74O","3","abandoned",5,"F1","F1","attainment_maintenance",1
"A1720HSKGQ41VJ","1","completed",4,"F1","F1","attainment_maintenance",1
"A198MSVO1VTAT5","1","completed",4,"F1","F1","attainment_maintenance",1
"A198MSVO1VTAT5","2","completed",4,"F1","F1","attainment_maintenance",1
"A19YQU3ZZ8USPO","2","completed",3,"F1","F1","attainment_maintenance",1
"A1BIJGB7XA0GME","1","completed",3,"F1","F1","attainment_maintenance",7
"A1BSVEBYDZ0AAU","3","abandoned",3,"F1","F1","attainment_maintenance",7
"A1G187YBG0DVMQ","3","abandoned",3,"F1","F1","attainment_maintenance",1
"A1J8TVICSRC70W","1","abandoned",5,"F1","F1","attainment_maintenance",2
"A1J8TVICSRC70W","3","abandoned",5,"F1","F1","attainment_maintenance",1
"A1J8TVICSRC70W","5","abandoned",5,"F1","F1","attainment_maintenance",7
"A1K8VUKRL53OX","1","completed",5,"F1","F1","attainment_maintenance",7
"A1KC342L9WAQ2","1","completed",3,"F1","F1","attainment_maintenance",3
"A1QT7BQZVOBSY0","2","completed",4,"F1","F1","attainment_maintenance",1
"A1R5W4RQZTROD8","2","abandoned",4,"F1","F1","attainment_maintenance",5
"A1SL72YBUW8Q8K","4","abandoned",4,"F1","F1","attainment_maintenance",1
"A1TPGXT718D68E","2","completed",3,"F1","F1","attainment_maintenance",1
"A1VRG5HKZC0H0C","1","completed",5,"F1","F1","attainment_maintenance",1
"A1WJYF201K77BI","4","abandoned",5,"F1","F1","attainment_maintenance",2
"A1WJYF201K77BI","5","completed",5,"F1","F1","attainment_maintenance",7
"A1WQACYPLESVGL","4","completed",5,"F1","F1","attainment_maintenance",6
"A21ZYTE6WOKUA","1","abandoned",4,"F1","F1","attainment_maintenance",5
"A21ZYTE6WOKUA","2","completed",4,"F1","F1","attainment_maintenance",7
"A225BMTMXUR5F4","1","completed",5,"F1","F1","attainment_maintenance",1
"A22SZHZTF72TRM","1","completed",4,"F1","F1","attainment_maintenance",6
"A26UAJWMMNN351","2","abandoned",3,"F1","F1","attainment_maintenance",4
"A2FP41BSPG0Y4A","4","abandoned",5,"F1","F1","attainment_maintenance",6
"A2FP41BSPG0Y4A","5","completed",5,"F1","F1","attainment_maintenance",2
"A2H0VR477QHYO7","1","completed",4,"F1","F1","attainment_maintenance",7
"A2H0VR477QHYO7","3","abandoned",4,"F1","F1","attainment_maintenance",1
"A2IJEKMVEHQ90W","5","completed",5,"F1","F1","attainment_maintenance",1
"A2R9OK4M877ZCC","2","completed",3,"F1","F1","attainment_maintenance",7
"A2W0G89O7E9EFO","2","completed",5,"F1","F1","attainment_maintenance",2
"A2Y0WNHMT4PZ4C","2","abandoned",3,"F1","F1","attainment_maintenance",3
"A30FIPRPFQRBO6","2","abandoned",3,"F1","F1","attainment_maintenance",4
"A30FIPRPFQRBO6","3","completed",3,"F1","F1","attainment_maintenance",1
"A36ZURENFWTYOZ","2","abandoned",5,"F1","F1","attainment_maintenance",1
"A36ZURENFWTYOZ","5","completed",5,"F1","F1","attainment_maintenance",1
"A39H9RIYRB5ZYV","5","completed",5,"F1","F1","attainment_maintenance",4
"A3GI28OVLDI9ST","1","completed",5,"F1","F1","attainment_maintenance",1
"A3GZXU4FUJTKZD","1","completed",5,"F1","F1","attainment_maintenance",1
"A3KFFIBJZVM0J2","1","completed",4,"F1","F1","attainment_maintenance",1
"A3KFFIBJZVM0J2","4","completed",4,"F1","F1","attainment_maintenance",1
"A3KIZLHCD945UK","2","completed",3,"F1","F1","attainment_maintenance",7
"A3KNLR8H286IHT","2","completed",3,"F1","F1","attainment_maintenance",NA
"A3KNLR8H286IHT","3","completed",3,"F1","F1","attainment_maintenance",1
"A3LL096CAY5WHB","1","abandoned",2,"F1","F1","attainment_maintenance",6
"A3LL096CAY5WHB","2","abandoned",2,"F1","F1","attainment_maintenance",6
"A3M81P9BEVE1GD","2","completed",5,"F1","F1","attainment_maintenance",6
"A3M81P9BEVE1GD","3","completed",5,"F1","F1","attainment_maintenance",7
"A3NLSGHK6RFXA8","2","completed",4,"F1","F1","attainment_maintenance",7
"A3OPRR8AXT6OSJ","3","completed",3,"F1","F1","attainment_maintenance",7
"A3ROYUO9LWA22S","1","completed",5,"F1","F1","attainment_maintenance",1
"A3VYBAO7UQQHGC","2","completed",3,"F1","F1","attainment_maintenance",7
"A5A14MTB35J23","4","abandoned",5,"F1","F1","attainment_maintenance",6
"AHGDYNKOKJWFJ","2","completed",3,"F1","F1","attainment_maintenance",2
"AHKRGPN5D3I2G","3","completed",5,"F1","F1","attainment_maintenance",6
"AJ4T7PTRYNSUW","2","abandoned",3,"F1","F1","attainment_maintenance",1
"AJDHPRCJ985C7","4","completed",5,"F1","F1","attainment_maintenance",7
"AL7UTA8J27TFK","3","completed",4,"F1","F1","attainment_maintenance",2
"AMTTB8JUWRRM7","2","abandoned",2,"F1","F1","attainment_maintenance",1
"ASY5W2HJPIPF4","1","completed",2,"F1","F1","attainment_maintenance",3
"AUQTHU5AOZVQC","1","completed",5,"F1","F1","attainment_maintenance",2
"AUQTHU5AOZVQC","5","completed",5,"F1","F1","attainment_maintenance",6
"AWTGJ45ZWUCHH","4","completed",5,"F1","F1","attainment_maintenance",1
"AWTGJ45ZWUCHH","5","completed",5,"F1","F1","attainment_maintenance",7
"AY4E4CDN0J6JL","4","abandoned",4,"F1","F1","attainment_maintenance",1
"AY5QPUSEADPBG","2","abandoned",2,"F1","F1","attainment_maintenance",1
"AYA1LRB27KSR1","1","abandoned",5,"F1","F1","attainment_maintenance",1
"A10LHWALI4BZPC","2","completed",4,"F1","F1","attractiveness_achievement",4
"A11F3MA5FWH6SJ","3","completed",3,"F1","F1","attractiveness_achievement",7
"A13FUEPWBCLBUY","2","abandoned",2,"F1","F1","attractiveness_achievement",7
"A1561P9VVA3C1C","2","completed",3,"F1","F1","attractiveness_achievement",5
"A16Z9FSSF1X74O","3","abandoned",5,"F1","F1","attractiveness_achievement",7
"A1720HSKGQ41VJ","1","completed",4,"F1","F1","attractiveness_achievement",7
"A198MSVO1VTAT5","1","completed",4,"F1","F1","attractiveness_achievement",5
"A198MSVO1VTAT5","2","completed",4,"F1","F1","attractiveness_achievement",5
"A19YQU3ZZ8USPO","2","completed",3,"F1","F1","attractiveness_achievement",6
"A1BIJGB7XA0GME","1","completed",3,"F1","F1","attractiveness_achievement",6
"A1BSVEBYDZ0AAU","3","abandoned",3,"F1","F1","attractiveness_achievement",4
"A1G187YBG0DVMQ","3","abandoned",3,"F1","F1","attractiveness_achievement",2
"A1J8TVICSRC70W","1","abandoned",5,"F1","F1","attractiveness_achievement",5
"A1J8TVICSRC70W","3","abandoned",5,"F1","F1","attractiveness_achievement",4
"A1J8TVICSRC70W","5","abandoned",5,"F1","F1","attractiveness_achievement",4
"A1K8VUKRL53OX","1","completed",5,"F1","F1","attractiveness_achievement",6
"A1KC342L9WAQ2","1","completed",3,"F1","F1","attractiveness_achievement",7
"A1QT7BQZVOBSY0","2","completed",4,"F1","F1","attractiveness_achievement",6
"A1R5W4RQZTROD8","2","abandoned",4,"F1","F1","attractiveness_achievement",5
"A1SL72YBUW8Q8K","4","abandoned",4,"F1","F1","attractiveness_achievement",6
"A1TPGXT718D68E","2","completed",3,"F1","F1","attractiveness_achievement",6
"A1VRG5HKZC0H0C","1","completed",5,"F1","F1","attractiveness_achievement",6
"A1WJYF201K77BI","4","abandoned",5,"F1","F1","attractiveness_achievement",5
"A1WJYF201K77BI","5","completed",5,"F1","F1","attractiveness_achievement",6
"A1WQACYPLESVGL","4","completed",5,"F1","F1","attractiveness_achievement",7
"A21ZYTE6WOKUA","1","abandoned",4,"F1","F1","attractiveness_achievement",7
"A21ZYTE6WOKUA","2","completed",4,"F1","F1","attractiveness_achievement",7
"A225BMTMXUR5F4","1","completed",5,"F1","F1","attractiveness_achievement",7
"A22SZHZTF72TRM","1","completed",4,"F1","F1","attractiveness_achievement",7
"A26UAJWMMNN351","2","abandoned",3,"F1","F1","attractiveness_achievement",4
"A2FP41BSPG0Y4A","4","abandoned",5,"F1","F1","attractiveness_achievement",4
"A2FP41BSPG0Y4A","5","completed",5,"F1","F1","attractiveness_achievement",7
"A2H0VR477QHYO7","1","completed",4,"F1","F1","attractiveness_achievement",7
"A2H0VR477QHYO7","3","abandoned",4,"F1","F1","attractiveness_achievement",7
"A2IJEKMVEHQ90W","5","completed",5,"F1","F1","attractiveness_achievement",6
"A2R9OK4M877ZCC","2","completed",3,"F1","F1","attractiveness_achievement",7
"A2W0G89O7E9EFO","2","completed",5,"F1","F1","attractiveness_achievement",5
"A2Y0WNHMT4PZ4C","2","abandoned",3,"F1","F1","attractiveness_achievement",6
"A30FIPRPFQRBO6","2","abandoned",3,"F1","F1","attractiveness_achievement",7
"A30FIPRPFQRBO6","3","completed",3,"F1","F1","attractiveness_achievement",7
"A36ZURENFWTYOZ","2","abandoned",5,"F1","F1","attractiveness_achievement",3
"A36ZURENFWTYOZ","5","completed",5,"F1","F1","attractiveness_achievement",6
"A39H9RIYRB5ZYV","5","completed",5,"F1","F1","attractiveness_achievement",6
"A3GI28OVLDI9ST","1","completed",5,"F1","F1","attractiveness_achievement",7
"A3GZXU4FUJTKZD","1","completed",5,"F1","F1","attractiveness_achievement",4
"A3KFFIBJZVM0J2","1","completed",4,"F1","F1","attractiveness_achievement",6
"A3KFFIBJZVM0J2","4","completed",4,"F1","F1","attractiveness_achievement",5
"A3KIZLHCD945UK","2","completed",3,"F1","F1","attractiveness_achievement",6
"A3KNLR8H286IHT","2","completed",3,"F1","F1","attractiveness_achievement",5
"A3KNLR8H286IHT","3","completed",3,"F1","F1","attractiveness_achievement",7
"A3LL096CAY5WHB","1","abandoned",2,"F1","F1","attractiveness_achievement",4
"A3LL096CAY5WHB","2","abandoned",2,"F1","F1","attractiveness_achievement",6
"A3M81P9BEVE1GD","2","completed",5,"F1","F1","attractiveness_achievement",6
"A3M81P9BEVE1GD","3","completed",5,"F1","F1","attractiveness_achievement",6
"A3NLSGHK6RFXA8","2","completed",4,"F1","F1","attractiveness_achievement",6
"A3OPRR8AXT6OSJ","3","completed",3,"F1","F1","attractiveness_achievement",6
"A3ROYUO9LWA22S","1","completed",5,"F1","F1","attractiveness_achievement",7
"A3VYBAO7UQQHGC","2","completed",3,"F1","F1","attractiveness_achievement",7
"A5A14MTB35J23","4","abandoned",5,"F1","F1","attractiveness_achievement",5
"AHGDYNKOKJWFJ","2","completed",3,"F1","F1","attractiveness_achievement",5
"AHKRGPN5D3I2G","3","completed",5,"F1","F1","attractiveness_achievement",7
"AJ4T7PTRYNSUW","2","abandoned",3,"F1","F1","attractiveness_achievement",4
"AJDHPRCJ985C7","4","completed",5,"F1","F1","attractiveness_achievement",6
"AL7UTA8J27TFK","3","completed",4,"F1","F1","attractiveness_achievement",6
"AMTTB8JUWRRM7","2","abandoned",2,"F1","F1","attractiveness_achievement",6
"ASY5W2HJPIPF4","1","completed",2,"F1","F1","attractiveness_achievement",6
"AUQTHU5AOZVQC","1","completed",5,"F1","F1","attractiveness_achievement",7
"AUQTHU5AOZVQC","5","completed",5,"F1","F1","attractiveness_achievement",7
"AWTGJ45ZWUCHH","4","completed",5,"F1","F1","attractiveness_achievement",7
