"MTurkCode","goal","terminate_time","Value","Clarity","External","Consensus"
"A2AZYU1CT24O0K","4","F2",4.9,4.42857142857143,2.6,4
"A2AZYU1CT24O0K","5","F2",3.3,4.14285714285714,2.8,2.5
"A2F5QCUTZU7KF7","2","F2",6.4,5.85714285714286,4.6,3.25
"A2H6Q22X1V1FTX","1","F2",3.9,5.42857142857143,1.8,1
"A2H6Q22X1V1FTX","2","F2",3.4,5.28571428571429,4.6,3.25
"A2H6Q22X1V1FTX","3","F2",2.3,5.71428571428571,3.8,2.75
"A2LU3430Q972IN","1","F2",4.7,4.57142857142857,2.8,4
"A2LU3430Q972IN","2","F2",6.1,6.28571428571429,4.8,2
"A2O2Q0LVWOWJ1G","2","F2",5.7,3.14285714285714,3,4
"A2O2Q0LVWOWJ1G","4","F2",4.3,4.42857142857143,4.4,4
"A2R9OK4M877ZCC","1","F2",5.8,6.14285714285714,4,3.5
"A2WJMGV0HKQG3Z","1","F2",6.7,6.42857142857143,6,3.5
"A2X3FSFHV5GHJU","1","F2",5.1,5.14285714285714,2.2,1
"A2ZGAH6NOSU2PO","2","F2",5.4,6.14285714285714,NA,3
"A302KOFOYLD89A","1","F2",4.4,4.85714285714286,4,4.25
"A34VLM2UC0JY11","1","F2",5.8,6.42857142857143,5.8,4.25
"A350SLJRMBIFM4","2","F2",3.9,2.57142857142857,2.8,2.25
"A350SLJRMBIFM4","4","F2",5,5.57142857142857,6.2,2.75
"A3AJJHOAV7WIUQ","3","F2",5.4,3.42857142857143,3.8,3.25
"A3CAF7LTD3ORSG","2","F2",5.7,6,4.8,2.25
"A3GI28OVLDI9ST","3","F2",4.2,3.57142857142857,4,2.75
"A3GI28OVLDI9ST","4","F2",5.6,3.57142857142857,4,3.25
"A3OLRWACCCCUTU","5","F2",5.2,5.85714285714286,3.2,2.5
"A3UUH3632AI3ZX","1","F2",6.4,6.42857142857143,5.2,3.25
"A3VYBAO7UQQHGC","1","F2",6.2,6.14285714285714,3,3.25
"A49CVVOWN4D6Y","4","F2",5.9,3.28571428571429,3,4.75
"A5A14MTB35J23","3","F2",3,6.28571428571429,2.2,0.25
"A7P3R1AIA4TVV","3","F2",4,5.57142857142857,3.2,2.75
"ABOEYY9Y0PFRI","2","F2",4.2,4.57142857142857,1.4,3.25
"AH00EJ6PK1H3A","1","F2",5,6.28571428571429,1.2,3.25
"AIA7RZSAONU5M","2","F2",4.8,3.71428571428571,4,4.5
"AKX5RHHO8BIUX","1","F2",6.2,6,5,3.75
"AKX5RHHO8BIUX","5","F2",4.7,6,5.4,2.5
"ANZNAAS2K0DSY","2","F2",5.4,5.57142857142857,6.2,4.5
"ANZNAAS2K0DSY","3","F2",2.5,6.42857142857143,1,0.5
"AQMLJYUQCSG22","2","F2",3.3,3.71428571428571,3.8,2
"AS6FM754MF2B2","4","F2",4.6,3.14285714285714,2.2,2.25
"AT6LDQNLKTUSE","1","F2",6.2,5.14285714285714,4.6,4
"AT6LDQNLKTUSE","2","F2",5,3.57142857142857,2.6,4
"AWVLT2L5AP873","1","F2",3.2,5,3.2,3.5
"A10LHWALI4BZPC","1","F3",5.1,5.85714285714286,3.2,3.25
"A10LHWALI4BZPC","3","F3",3.7,3.57142857142857,5,3
"A10LHWALI4BZPC","4","F3",5.4,6.42857142857143,2.8,0.75
"A110BZSDZN7E16","2","F3",6,6.28571428571429,4.4,4.25
"A110BZSDZN7E16","3","F3",6.4,6.42857142857143,3.6,4.5
"A11F3MA5FWH6SJ","1","F3",6.4,5.28571428571429,2.8,3.5
"A11F3MA5FWH6SJ","2","F3",6.4,6.14285714285714,2.8,3.5
"A11ILN5YSUDVG8","1","F3",5.9,5.28571428571429,3,3.75
"A11ILN5YSUDVG8","2","F3",6.1,5.71428571428571,4,3.25
"A11ILN5YSUDVG8","3","F3",6.7,4,6.2,3.5
"A121T4P5NKCHCS","2","F3",5.6,6.28571428571429,3.4,2.75
"A121T4P5NKCHCS","3","F3",5,4,5.2,3.75
"A132GRVDGXPJGY","1","F3",5.3,5.42857142857143,4,3.25
"A132GRVDGXPJGY","2","F3",6,3.42857142857143,5.6,4.25
"A132GRVDGXPJGY","3","F3",6.8,2.71428571428571,3.6,1.75
"A13FUEPWBCLBUY","1","F3",5.8,6.28571428571429,4,3.75
"A13O22EMG5ZVN0","1","F3",4.2,3.42857142857143,4,2.25
"A13O22EMG5ZVN0","2","F3",4.7,3.57142857142857,3.8,2
"A13O22EMG5ZVN0","3","F3",3.9,3.57142857142857,4,1.75
"A13WTEQ06V3B6D","1","F3",6.3,5.57142857142857,3,4.25
"A13WTEQ06V3B6D","2","F3",6.2,4.42857142857143,6.4,4.75
"A13WTEQ06V3B6D","3","F3",4.6,5.85714285714286,1,1.5
"A1561P9VVA3C1C","1","F3",4.7,4,2,4
"A1561P9VVA3C1C","3","F3",5.4,4.28571428571429,3.6,4.5
"A15VI0QFR2YO50","1","F3",5.9,6.42857142857143,5.4,2.25
"A169WH54HMYS5Z","1","F3",6.4,5.85714285714286,6.4,4.25
"A169WH54HMYS5Z","3","F3",5.9,5.42857142857143,3.8,4
"A16Z9FSSF1X74O","4","F3",4.1,6,1.4,1.25
"A16Z9FSSF1X74O","5","F3",4.9,3.85714285714286,4.2,2.75
"A1720HSKGQ41VJ","2","F3",4.9,4.14285714285714,3.2,4
"A1720HSKGQ41VJ","4","F3",5.5,5.28571428571429,4.2,2.75
"A17KN7NAP48L4B","2","F3",5.6,5.71428571428571,2,3.5
"A18JNQE5GZQIX5","1","F3",6.2,5.42857142857143,5.8,3.5
"A18JNQE5GZQIX5","2","F3",5.9,5.71428571428571,5.6,3.25
"A18JNQE5GZQIX5","3","F3",3.8,4.85714285714286,2,1.5
"A18SXC3JEN1O0U","1","F3",4.7,6,3,4.75
"A18SXC3JEN1O0U","2","F3",4.7,2.28571428571429,1.8,5
"A196O7GQLD3S2J","1","F3",5.3,4.28571428571429,3,4.25
"A196O7GQLD3S2J","2","F3",3.6,4.71428571428571,1,1.25
"A196O7GQLD3S2J","3","F3",4.8,4.42857142857143,3.2,2.25
"A198MSVO1VTAT5","3","F3",3.9,6.42857142857143,3,4.5
"A198MSVO1VTAT5","4","F3",4.3,6.42857142857143,4.6,3.5
"A19YQU3ZZ8USPO","1","F3",4.2,5,3.4,3.75
"A19YQU3ZZ8USPO","3","F3",5.5,5.14285714285714,2.4,0.25
"A1ABL45KAK12A5","1","F3",6.8,4.42857142857143,3.4,3.5
"A1ABL45KAK12A5","3","F3",5.8,3.42857142857143,NA,4.5
"A1ABL45KAK12A5","4","F3",6,4.57142857142857,4,5
"A1ABL45KAK12A5","5","F3",7,5.14285714285714,3.4,4.75
"A1ADAWW4IHPCQ7","1","F3",5.2,5.28571428571429,4.8,3
"A1ADAWW4IHPCQ7","2","F3",5.1,4,3.2,5
"A1ADAWW4IHPCQ7","3","F3",6.2,4.28571428571429,3.8,3.25
"A1AIMKA54UBYIQ","1","F3",4.7,4.71428571428571,2.4,2.25
"A1AIMKA54UBYIQ","2","F3",4.4,2.71428571428571,2.2,4
"A1AZLJ3R5FQ9B7","1","F3",5,5.42857142857143,3.8,3.5
"A1AZLJ3R5FQ9B7","2","F3",4,5.14285714285714,3.2,1.5
"A1AZLJ3R5FQ9B7","3","F3",5.3,6.14285714285714,3.8,2.75
"A1B5SSGMTAQ9B5","1","F3",3.7,2.42857142857143,3.8,1.75
"A1B5SSGMTAQ9B5","2","F3",3.9,3.14285714285714,4.4,2.5
"A1BG47GSHQ9WSU","1","F3",4.6,3.71428571428571,3.4,4.5
"A1BG47GSHQ9WSU","2","F3",4.4,5.14285714285714,2.6,4.25
"A1BIJGB7XA0GME","2","F3",6.4,6.28571428571429,4.6,5
"A1BIJGB7XA0GME","3","F3",4.5,4.28571428571429,2.2,3
"A1BSVEBYDZ0AAU","1","F3",5.1,5.71428571428571,2,4.25
"A1BSVEBYDZ0AAU","2","F3",5.5,5.57142857142857,2,3.75
"A1BWS5AD2T4NIR","1","F3",5.5,4.85714285714286,4.2,3.25
"A1BWS5AD2T4NIR","2","F3",5,5.57142857142857,5.2,4.5
"A1BWS5AD2T4NIR","3","F3",5.6,5,5.8,3.25
"A1BWS5AD2T4NIR","4","F3",5,5.14285714285714,3.2,3.75
"A1BWS5AD2T4NIR","5","F3",5.2,5.85714285714286,2.8,-0.25
"A1CI5U3BLQ2DDS","1","F3",5.2,6,3.4,4.75
"A1CI5U3BLQ2DDS","2","F3",5.3,4.14285714285714,5,5
"A1CI5U3BLQ2DDS","3","F3",4.6,3.85714285714286,3.4,4.25
"A1CI5U3BLQ2DDS","4","F3",4.5,4.28571428571429,5.2,4.25
"A1CI5U3BLQ2DDS","5","F3",5.1,5.14285714285714,4.4,5
"A1CTUG0RUGCY48","1","F3",5.5,6.28571428571429,3.4,2.75
"A1D2ZSPIHOI23K","3","F3",4.3,2.85714285714286,5,2.5
"A1D7IULWFI8PB1","1","F3",5.9,4.14285714285714,3.8,3.75
"A1D7IULWFI8PB1","2","F3",5.7,5.14285714285714,2.2,4.25
"A1D7IULWFI8PB1","3","F3",3.4,5.42857142857143,4,3.25
"A1DD23J1WBGQUU","1","F3",5.4,4.57142857142857,1.6,3.25
"A1DD23J1WBGQUU","2","F3",5.4,4,2.8,3.25
"A1DD23J1WBGQUU","3","F3",5.1,5.57142857142857,1.8,3.5
"A1EH9BPKYXFBS5","1","F3",6.1,5.28571428571429,2,4.75
"A1EH9BPKYXFBS5","2","F3",5.6,5.71428571428571,NA,3.25
"A1EH9BPKYXFBS5","3","F3",5.6,5.28571428571429,2,2.75
"A1EH9BPKYXFBS5","4","F3",5.2,5.28571428571429,2.2,2.25
"A1EH9BPKYXFBS5","5","F3",5,5.28571428571429,3.6,2.5
"A1F1TBDHPYAAXT","1","F3",6,6.14285714285714,4.2,2.5
"A1F1TBDHPYAAXT","2","F3",6.4,6,4.4,3
"A1F1TBDHPYAAXT","3","F3",4.9,6.28571428571429,3.6,2.25
"A1G5EPLJEGL381","1","F3",6,6,4,3.75
"A1G5EPLJEGL381","2","F3",5.7,5.14285714285714,4.8,3.5
"A1H5Q9HRH4RPZU","1","F3",3.6,3.28571428571429,2.8,3.25
"A1H5Q9HRH4RPZU","2","F3",5.2,5.42857142857143,4,3.25
"A1IBLFQ2E6VA2J","3","F3",5.7,NA,1.8,2.25
"A1IBLFQ2E6VA2J","4","F3",6.2,6.42857142857143,3.2,3.75
"A1IJ56N5Z4TT46","1","F3",4.4,4.28571428571429,4.2,3.5
"A1IJ56N5Z4TT46","2","F3",4.6,3.85714285714286,4,3
"A1IJ56N5Z4TT46","3","F3",4.8,4,4.2,0.5
"A1IJ56N5Z4TT46","4","F3",4.1,4,4.6,1
"A1IJ56N5Z4TT46","5","F3",5.4,4.14285714285714,4.8,2.75
"A1IL81UMEC9OJI","1","F3",5.1,5.42857142857143,5.2,3.5
"A1IL81UMEC9OJI","2","F3",4.4,5.14285714285714,4.6,3.5
"A1IL81UMEC9OJI","3","F3",5.2,5.71428571428571,3,2.75
"A1IL81UMEC9OJI","4","F3",4.7,5,3,4
"A1IL81UMEC9OJI","5","F3",5,4.85714285714286,4.6,3.25
"A1K8VUKRL53OX","2","F3",7,6.42857142857143,5.8,2
"A1K8VUKRL53OX","3","F3",6.5,5.85714285714286,5,3.25
"A1K8VUKRL53OX","4","F3",6.7,5.71428571428571,5.8,2
"A1K8VUKRL53OX","5","F3",6.5,6,5.6,3.5
"A1KC342L9WAQ2","3","F3",4.7,5.57142857142857,5.2,3
"A1LS7GARU7CD08","1","F3",4.2,NA,3.2,2.75
"A1LS7GARU7CD08","2","F3",4.6,4.42857142857143,2.8,4.25
"A1LS7GARU7CD08","3","F3",4,3.28571428571429,1.8,3.25
"A1M8BYIP0KZJZX","1","F3",5.7,3.57142857142857,3.8,4.75
"A1M8BYIP0KZJZX","2","F3",NA,3.71428571428571,3,3.25
"A1M8BYIP0KZJZX","3","F3",4.7,3.57142857142857,1.4,4.5
"A1M8BYIP0KZJZX","4","F3",5.1,6,3.8,4.75
"A1M8BYIP0KZJZX","5","F3",3.7,5.85714285714286,4.8,4
"A1MJWY7UO3CDSM","2","F3",3.9,3.28571428571429,2.8,1.75
"A1NVF1YLDLF563","1","F3",5.2,5.42857142857143,4.4,2.5
"A1NVF1YLDLF563","2","F3",5.2,6,4,3.25
"A1NVF1YLDLF563","3","F3",5,4.71428571428571,3.2,4
"A1O9PAK6THJ9Y7","1","F3",4.4,4.42857142857143,3,4
"A1O9PAK6THJ9Y7","2","F3",4.5,4.14285714285714,3.2,3.25
"A1OR82RF1ZFWP","3","F3",4.6,5.28571428571429,1.6,3.75
"A1P3I7YCWXF9YG","1","F3",7,6.42857142857143,7,4
"A1P3I7YCWXF9YG","2","F3",6.3,6.42857142857143,7,3.5
"A1QT7BQZVOBSY0","1","F3",4.8,5.71428571428571,2.6,3.25
"A1QT7BQZVOBSY0","4","F3",5.9,6.28571428571429,2.4,1.75
"A1R5W4RQZTROD8","1","F3",4.8,4.14285714285714,4.8,1.75
"A1R5W4RQZTROD8","3","F3",3.8,5.42857142857143,1.8,4.25
"A1R5W4RQZTROD8","4","F3",3.6,5.42857142857143,2.8,4.25
"A1ROEDVMTO9Y3X","1","F3",5.8,5.57142857142857,4.4,2.75
"A1ROEDVMTO9Y3X","2","F3",5.5,5.14285714285714,3.6,3.5
"A1RQUOVV8PCXBM","1","F3",6.1,3.71428571428571,5,3
"A1RQUOVV8PCXBM","2","F3",5.7,3.71428571428571,5.2,3.75
"A1RQUOVV8PCXBM","3","F3",6.3,5.14285714285714,5.6,3.75
"A1RQUOVV8PCXBM","4","F3",5.8,3.85714285714286,4.2,3.5
"A1RQUOVV8PCXBM","5","F3",6.6,4,5.6,3.25
"A1SISJL5ST2PWH","1","F3",3.9,5.14285714285714,2.4,2.75
"A1SISJL5ST2PWH","2","F3",3.6,3.57142857142857,2.2,2.75
"A1SISJL5ST2PWH","3","F3",3.8,3.71428571428571,2.2,2
"A1SL72YBUW8Q8K","1","F3",6.3,5.71428571428571,3.8,4
"A1SL72YBUW8Q8K","2","F3",6.1,6.42857142857143,4.2,4.25
"A1SL72YBUW8Q8K","3","F3",5,6.28571428571429,5.4,2
"A1T83SZBP2DN65","1","F3",6,5.42857142857143,5,4
"A1T83SZBP2DN65","2","F3",5.6,5.85714285714286,3.2,1
"A1TPGXT718D68E","1","F3",5.1,2.42857142857143,5.8,NA
"A1U8LTCX5XYJ45","1","F3",6.7,5.57142857142857,7,3.5
"A1U8LTCX5XYJ45","2","F3",6.4,5.57142857142857,5.2,3.5
"A1U8LTCX5XYJ45","3","F3",6.7,5.57142857142857,7,3.5
"A1VFRCYMWGWWCZ","1","F3",5.7,4.28571428571429,5.2,2
"A1VFRCYMWGWWCZ","2","F3",6.2,3.28571428571429,5.6,3
"A1VFRCYMWGWWCZ","3","F3",5.7,5,5.4,3
"A1VFRCYMWGWWCZ","4","F3",5.2,NA,5.4,3.25
"A1VFRCYMWGWWCZ","5","F3",4.5,3.85714285714286,3.6,1.75
"A1VRG5HKZC0H0C","4","F3",5,4.85714285714286,3,3
"A1VRG5HKZC0H0C","5","F3",4.2,3.42857142857143,2.6,3.5
"A1W7I6FN183I8F","1","F3",5.8,3.42857142857143,4.2,4.5
"A1W7I6FN183I8F","2","F3",5.1,5.71428571428571,3.8,4.75
"A1W7I6FN183I8F","3","F3",3.4,4.14285714285714,4.6,3.75
"A1W7I6FN183I8F","4","F3",5.6,3.42857142857143,3.8,2
"A1W7I6FN183I8F","5","F3",3.9,4,2,1.75
"A1W850QN9RK019","1","F3",4.7,4.14285714285714,4.8,2.25
"A1W850QN9RK019","2","F3",4.2,4.14285714285714,3.8,2.5
"A1W850QN9RK019","3","F3",4.7,2.85714285714286,4,2.25
"A1W850QN9RK019","4","F3",4.4,3.42857142857143,4.2,1.75
"A1W850QN9RK019","5","F3",4.4,4.14285714285714,3.4,2.25
"A1WJYF201K77BI","3","F3",4.9,3.85714285714286,3.2,2.25
"A1WQACYPLESVGL","1","F3",5.9,3.85714285714286,3.6,4.75
"A1WQACYPLESVGL","3","F3",5.6,4.28571428571429,1.6,4.5
"A1WQACYPLESVGL","5","F3",4.7,4.28571428571429,1.2,3
"A1WS9UHL45VZ0X","1","F3",6.1,4,5.6,3
"A1WS9UHL45VZ0X","2","F3",4.2,5.42857142857143,3,3.5
"A1WS9UHL45VZ0X","3","F3",4.3,3.14285714285714,3.2,4.25
"A1WZY0K6IE3ASG","1","F3",5.7,5.71428571428571,4.4,4
"A1WZY0K6IE3ASG","2","F3",5.2,5.57142857142857,2.4,3.25
"A1WZY0K6IE3ASG","3","F3",4.2,5.42857142857143,3,2
"A1WZY0K6IE3ASG","4","F3",4.8,4.57142857142857,2.6,3.5
"A1WZY0K6IE3ASG","5","F3",5.6,6.14285714285714,3.2,4.25
"A1X388C6SDCDEY","1","F3",6.7,4.57142857142857,1.8,4.25
"A1X388C6SDCDEY","2","F3",5.2,4.71428571428571,1.8,2
"A1X388C6SDCDEY","3","F3",NA,3.85714285714286,2.2,3.75
"A1X388C6SDCDEY","4","F3",6.4,4.71428571428571,2.4,4.25
"A1XRWOK00HK1J4","1","F3",4.7,3.14285714285714,1.8,4.5
"A1XRWOK00HK1J4","2","F3",5.8,4.14285714285714,2,1.5
"A1XRWOK00HK1J4","3","F3",3.5,6.14285714285714,1,3
"A1XRWOK00HK1J4","4","F3",6.2,5.71428571428571,2.2,3.5
"A1XUZFDVKP95VC","1","F3",5.5,4.85714285714286,3.4,2.25
"A1YPOIURXB6ESR","1","F3",5.5,4.42857142857143,5.4,4.5
"A1YPOIURXB6ESR","2","F3",5,6.42857142857143,5.4,5
"A1YPOIURXB6ESR","3","F3",5.3,4.28571428571429,5.6,4.75
"A1YPOIURXB6ESR","4","F3",4.9,4.14285714285714,2.8,4.5
"A1Z2ZGPJRGG0G3","1","F3",5.7,5.42857142857143,2.4,2.75
"A1Z2ZGPJRGG0G3","2","F3",4.3,4.57142857142857,1.2,2.25
"A1ZT0TLZZTT47M","1","F3",5.4,3.71428571428571,3.4,3.5
"A1ZT0TLZZTT47M","2","F3",5.9,3.85714285714286,2.8,1.25
"A1ZT0TLZZTT47M","3","F3",5.9,5.14285714285714,3.8,1
"A1ZT0TLZZTT47M","4","F3",4.3,4.57142857142857,2.6,1
"A1ZT0TLZZTT47M","5","F3",5.1,5.42857142857143,3.2,4
"A1ZT30BGR3266K","1","F3",5.2,5,3.8,3
"A1ZT30BGR3266K","2","F3",4.8,5,3.6,3.25
"A207IHY6GERCFO","1","F3",5.9,5.14285714285714,5.2,4
"A207IHY6GERCFO","2","F3",5.5,2,5,3.5
"A207IHY6GERCFO","3","F3",4.4,3.14285714285714,4.6,3
"A2196WCNDZULFS","1","F3",6.6,4.57142857142857,3.6,4
"A2196WCNDZULFS","2","F3",6.2,4.85714285714286,3.2,4.25
"A2196WCNDZULFS","3","F3",6.3,5.42857142857143,4.2,4.75
"A21ZYTE6WOKUA","4","F3",7,6.42857142857143,6.4,2.75
"A225BMTMXUR5F4","2","F3",6.3,3.71428571428571,3.2,2.75
"A225BMTMXUR5F4","3","F3",5.5,1.71428571428571,6.6,4.25
"A225BMTMXUR5F4","4","F3",3.7,5.14285714285714,3.6,1.5
"A225BMTMXUR5F4","5","F3",5.7,5,3.6,1.25
"A22SZHZTF72TRM","2","F3",4.7,4.85714285714286,3.8,4.5
"A22SZHZTF72TRM","3","F3",4.9,5.85714285714286,2.4,3.75
