"MTurkCode","listNum","goal","endTime","goalType","progress_base","satisfaction_base","total_goal","commitment","effort","failure","implementation_intention","initial_time","other_resources","procrastination","regret","self_resources","urgency","AR_F1","commitment_F1","effort_F1","plan_F1","progress_F1","resources_other_F1","resources_self_F1","satisfaction_F1","status_F1","urgency_F1","AR_F2","commitment_F2","effort_F2","plan_F2","progress_F2","resources_other_F2","resources_self_F2","satisfaction_F2","status_F2","urgency_F2","AR_F3","commitment_F3","effort_F3","plan_F3","progress_F3","resources_other_F3","resources_self_F3","satisfaction_F3","status_F3","urgency_F3","terminate_time","ACRISS_F1","ACRISS_F2","ACRISS_F3","final_time","miss_final","all_progress","progress_final","satisfaction_final","status_final"
"A13WTEQ06V3B6D",3,3,"three_month","short-term",2,5,3,7,6,3,7,3,4,2,5,7,4,4,7,6,5,4,1,7,7,"continued",4,3,6,7,7,11,1,7,7,"continued",6,1,7,7,7,7,1,7,6,"continued",4,NA,1.83333333333333,1.83333333333333,1.5,"F3",FALSE,TRUE,7,6,"continued"
"A1561P9VVA3C1C",3,1,NA,"recurrance",0,1,3,4,2,1,3,6,6,6,7,5,7,4,4,4,3,4,5,3,3,"continued",5,5,4,4,5,4,1,3,2,"continued",4,7,2,2,3,1,1,3,1,"continued",3,NA,2,2.83333333333333,3.66666666666667,"F3",FALSE,TRUE,1,1,"continued"
"A1561P9VVA3C1C",3,2,"three_month","short-term",0,1,3,4,1,2,5,2,5,7,7,3,6,1,7,6,7,11,5,7,7,"completed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",2.33333333333333,NA,NA,"F1",FALSE,NA,11,7,"completed"
"A1561P9VVA3C1C",3,3,NA,"long-term",0,1,3,4,3,3,2,1,7,7,7,5,7,5,3,2,3,0,2,5,1,"continued",3,4,4,4,6,7,2,6,5,"continued",5,5,3,2,2,1,1,5,2,"continued",4,NA,2.33333333333333,2.16666666666667,2.66666666666667,"F3",FALSE,TRUE,1,2,"continued"
"A15VI0QFR2YO50",2,1,"three_month","short-term",0,1,2,7,7,1,7,3,7,1,7,7,7,1,7,6,7,4,7,7,5,"continued",6,1,7,6,7,8,6,6,6,"continued",6,1,7,7,7,11,6,7,7,"completed",7,"F3",2.16666666666667,2.33333333333333,2.33333333333333,"F3",FALSE,TRUE,11,7,"completed"
"A15VI0QFR2YO50",2,2,"three_month","short-term",1,1,2,7,6,1,7,4,4,4,4,7,4,1,7,6,7,6,6,6,6,"continued",5,1,7,7,7,11,5,7,7,"completed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",2.16666666666667,2.33333333333333,NA,"F2",FALSE,NA,11,7,"completed"
"A160L76BFKQQ1Q",3,1,NA,"recurrance",2,3,3,7,6,1,6,4,4,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"A160L76BFKQQ1Q",3,2,"two_month","short-term",9,7,3,5,4,2,7,4,1,4,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"A160L76BFKQQ1Q",3,3,NA,"recurrance",2,1,3,4,7,3,7,1,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"A169WH54HMYS5Z",3,1,NA,"recurrance",2,2,3,7,5,3,7,3,4,4,7,7,7,3,6,6,6,6,1,6,4,"continued",6,4,4,4,4,5,2,7,3,"continued",4,8,4,4,6,4,3,6,2,"adjusted",5,NA,2.16666666666667,2.33333333333333,2.66666666666667,"F3",FALSE,TRUE,4,2,"adjusted"
"A169WH54HMYS5Z",3,2,NA,"recurrance",1,1,3,5,3,2,7,1,3,4,5,7,5,8,2,2,3,0,1,5,1,"continued",2,8,2,2,3,1,2,4,2,"completed",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",3,2.83333333333333,NA,"F2",FALSE,NA,1,2,"completed"
"A169WH54HMYS5Z",3,3,NA,"recurrance",4,4,3,7,6,3,7,3,6,3,7,5,7,3,7,4,6,8,1,5,5,"continued",5,4,7,6,7,9,6,7,7,"continued",6,2,6,5,6,8,1,6,5,"continued",6,NA,1.83333333333333,2,2.33333333333333,"F3",FALSE,TRUE,8,5,"continued"
"A16Z9FSSF1X74O",5,1,NA,"recurrance",5,3,5,7,4,3,7,1,5,7,7,7,7,6,3,3,3,3,5,3,2,"continued",3,6,3,3,3,3,1,3,1,"abandoned",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",4,4,NA,"F2",FALSE,NA,3,1,"abandoned"
"A16Z9FSSF1X74O",5,2,NA,"long-term",1,5,5,4,4,3,5,1,2,7,4,5,1,4,5,4,5,5,1,6,5,"continued",4,6,2,2,6,3,1,1,2,"abandoned",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",2.16666666666667,3.83333333333333,NA,"F2",FALSE,NA,3,2,"abandoned"
"A16Z9FSSF1X74O",5,3,"three_month","short-term",1,3,5,4,3,2,5,1,1,6,2,6,1,4,1,1,3,1,1,2,4,"abandoned",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",3.33333333333333,NA,NA,"F1",FALSE,NA,1,4,"abandoned"
"A16Z9FSSF1X74O",5,4,NA,"recurrance",3,6,5,6,1,1,5,3,5,2,3,7,3,4,6,4,6,9,1,5,6,"continued",3,2,7,4,7,11,1,6,7,"continued",2,1,7,7,7,11,1,7,7,"completed",1,"F3",2.5,2,1.66666666666667,"F3",FALSE,TRUE,11,7,"completed"
"A1720HSKGQ41VJ",4,1,"three_month","short-term",1,4,4,6,4,1,6,4,5,4,6,4,7,3,7,7,7,11,6,5,7,"completed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",1.83333333333333,NA,NA,"F1",FALSE,NA,11,7,"completed"
"A1720HSKGQ41VJ",4,2,"three_month","short-term",8,5,4,5,4,3,5,3,5,4,6,5,3,5,4,4,5,4,5,5,5,"continued",4,5,4,4,5,7,2,5,2,"continued",4,5,3,4,3,5,3,3,1,"continued",3,NA,2.5,3,3.16666666666667,"F3",FALSE,TRUE,5,1,"continued"
"A1720HSKGQ41VJ",4,3,NA,"long-term",3,2,4,4,2,3,6,2,5,6,3,5,2,5,2,2,3,0,1,6,2,"continued",2,5,1,1,2,1,2,5,3,"abandoned",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",3.33333333333333,3.5,NA,"F2",FALSE,NA,1,3,"abandoned"
"A1720HSKGQ41VJ",4,4,NA,"recurrance",2,1,4,6,2,3,5,2,5,6,4,7,4,5,2,2,2,2,4,7,1,"continued",2,6,2,1,2,0,5,7,1,"continued",2,8,2,2,5,2,3,6,1,"continued",1,NA,2.5,2.5,2.83333333333333,"F3",FALSE,TRUE,2,1,"continued"
"A17KN7NAP48L4B",3,1,"three_month","short-term",9,6,3,7,7,3,7,3,7,1,7,7,4,1,7,7,6,10,5,6,7,"continued",6,1,7,7,7,11,4,7,7,"completed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",1.5,2,NA,"F2",FALSE,NA,11,7,"completed"
"A17KN7NAP48L4B",3,2,NA,"recurrance",0,1,3,6,3,3,5,5,3,3,4,7,4,4,7,4,7,9,4,7,7,"continued",4,1,4,4,4,8,3,5,2,"continued",4,5,4,3,4,7,1,5,3,"continued",4,NA,1.66666666666667,2.33333333333333,2,"F3",FALSE,TRUE,7,3,"continued"
"A17KN7NAP48L4B",3,3,NA,"recurrance",2,3,3,6,7,3,7,3,5,4,6,7,4,2,4,4,4,5,4,5,4,"adjusted",4,5,2,2,3,2,3,4,1,"abandoned",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",2.33333333333333,3.33333333333333,NA,"F2",FALSE,NA,2,1,"abandoned"
"A18JNQE5GZQIX5",3,2,NA,"recurrance",8,5,3,6,5,3,5,3,6,4,4,6,5,1,7,7,6,10,6,6,7,"continued",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,6,8,6,6,6,"continued",6,NA,1.66666666666667,NA,2.5,"F3",FALSE,NA,8,6,"continued"
"A18JNQE5GZQIX5",3,3,NA,"long-term",6,5,3,6,7,1,6,4,5,3,3,6,5,1,7,7,7,9,7,7,7,"continued",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,7,3,7,7,7,"adjusted",2,NA,1.5,NA,3.33333333333333,"F3",FALSE,NA,3,7,"adjusted"
"A18SXC3JEN1O0U",2,1,NA,"recurrance",2,2,2,7,3,3,7,1,4,5,4,7,3,4,7,3,7,7,1,7,6,"continued",3,4,7,4,7,6,1,7,6,"continued",4,1,6,5,7,8,1,7,6,"continued",3,NA,2.33333333333333,2.33333333333333,2,"F3",FALSE,TRUE,8,6,"continued"
"A18SXC3JEN1O0U",2,2,NA,"recurrance",1,1,2,5,2,3,5,1,2,4,5,5,3,8,6,5,5,2,1,1,1,"continued",4,8,7,2,6,3,1,1,1,"continued",3,8,3,2,1,2,1,1,2,"continued",3,NA,2.33333333333333,2.33333333333333,2.33333333333333,"F3",FALSE,TRUE,2,2,"continued"
"A196O7GQLD3S2J",3,1,"three_month","short-term",3,4,3,7,4,1,6,2,4,2,6,4,7,4,6,5,5,8,4,5,4,"continued",6,NA,4,2,4,4,1,5,2,"continued",3,7,3,2,4,5,1,5,4,"continued",4,NA,2.33333333333333,3,2.83333333333333,"F3",FALSE,TRUE,5,4,"continued"
"A196O7GQLD3S2J",3,2,NA,"recurrance",6,5,3,6,5,1,4,4,1,2,4,6,7,4,4,4,6,4,1,5,3,"continued",4,7,1,2,5,3,1,6,1,"continued",2,5,1,2,5,2,1,6,1,"continued",2,NA,2.5,2.83333333333333,2.83333333333333,"F3",FALSE,TRUE,2,1,"continued"
"A196O7GQLD3S2J",3,3,NA,"recurrance",6,4,3,3,3,3,4,1,3,4,3,6,6,4,5,4,4,6,3,5,4,"continued",5,1,6,6,5,8,1,6,6,"continued",6,4,5,5,4,8,1,6,5,"continued",5,NA,2.16666666666667,1.83333333333333,2.5,"F3",FALSE,TRUE,8,5,"continued"
"A198MSVO1VTAT5",4,1,"in_days","short-term",5,4,4,7,4,1,7,3,7,5,7,7,7,3,7,4,7,11,4,7,7,"completed",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",1.66666666666667,NA,NA,"F1",FALSE,NA,11,7,"completed"
"A198MSVO1VTAT5",4,2,"in_weeks","short-term",1,4,4,7,4,1,7,3,7,5,7,7,4,2,7,4,7,11,1,7,7,"completed",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",1.66666666666667,NA,NA,"F1",FALSE,NA,11,7,"completed"
"A198MSVO1VTAT5",4,3,"three_month","short-term",1,4,4,7,2,1,7,5,7,2,7,7,2,2,4,2,5,1,1,4,4,"continued",1,2,7,2,7,11,1,7,7,"continued",1,1,7,1,7,10,1,7,7,"completed",4,"F3",1.66666666666667,1.66666666666667,1.66666666666667,"F3",FALSE,TRUE,10,7,"completed"
"A198MSVO1VTAT5",4,4,"in_weeks","short-term",1,4,4,7,4,1,7,1,7,7,4,7,1,4,7,2,7,2,1,5,7,"continued",1,4,7,2,7,1,1,7,3,"continued",1,4,7,1,7,1,1,7,4,"continued",1,NA,2.33333333333333,2.33333333333333,2.5,"F3",FALSE,TRUE,1,4,"continued"
"A19YQU3ZZ8USPO",3,1,NA,"recurrance",7,6,3,6,5,1,4,6,3,2,6,6,5,2,4,4,5,6,1,5,5,"adjusted",3,8,3,3,6,4,5,5,2,"adjusted",4,3,NA,4,4,8,5,6,6,"continued",4,NA,2,2.5,2.33333333333333,"F3",FALSE,TRUE,8,6,"continued"
"A19YQU3ZZ8USPO",3,2,"two_month","short-term",3,5,3,6,4,1,5,5,2,3,5,7,4,4,5,5,5,11,1,6,6,"completed",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",2,NA,NA,"F1",FALSE,NA,11,6,"completed"
"A19YQU3ZZ8USPO",3,3,NA,"recurrance",4,4,3,7,4,3,6,1,5,3,7,7,6,1,6,6,6,9,1,6,6,"continued",6,2,6,5,3,8,2,7,6,"continued",5,1,6,5,5,9,2,7,5,"continued",4,NA,1,2.16666666666667,2.16666666666667,"F3",FALSE,TRUE,9,5,"continued"
"A1ABL45KAK12A5",5,1,NA,"recurrance",6,3,4,7,7,1,7,2,7,2,7,5,6,2,7,7,7,6,7,5,5,"continued",7,2,7,7,7,4,3,7,3,"continued",7,3,7,6,6,7,7,5,5,"continued",7,NA,2.33333333333333,1.66666666666667,2.33333333333333,"F3",FALSE,TRUE,7,5,"continued"
"A1ABL45KAK12A5",5,2,NA,"recurrance",1,2,4,7,7,1,7,4,7,1,7,7,6,4,2,3,3,6,6,7,3,"continued",2,4,1,1,3,1,4,1,4,"abandoned",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",2.5,4,NA,"F2",FALSE,NA,1,4,"abandoned"
"A1ABL45KAK12A5",5,3,NA,"recurrance",1,1,4,7,5,2,6,3,7,3,7,6,5,8,1,1,2,0,5,5,1,"continued",1,3,5,4,7,6,6,7,2,"adjusted",6,8,2,2,3,0,5,7,1,"continued",2,NA,3,1.83333333333333,2.83333333333333,"F3",FALSE,TRUE,0,1,"continued"
"A1ABL45KAK12A5",5,4,NA,"long-term",1,1,4,7,7,1,7,3,7,3,7,7,6,3,4,5,6,8,7,7,5,"continued",7,2,7,7,5,8,7,6,3,"continued",7,4,7,7,7,8,1,3,4,"continued",7,NA,3,2.16666666666667,3.16666666666667,"F3",FALSE,TRUE,8,4,"continued"
"A1ABL45KAK12A5",5,5,NA,"recurrance",2,2,4,7,5,1,7,3,7,5,7,7,7,5,5,6,5,2,7,6,3,"continued",5,2,7,6,7,8,7,7,6,"continued",7,1,7,7,7,9,7,7,6,"continued",7,NA,3.16666666666667,1.16666666666667,2,"F3",FALSE,TRUE,9,6,"continued"
"A1ADAWW4IHPCQ7",3,1,NA,"long-term",0,4,3,7,7,1,7,1,6,3,7,7,4,4,4,3,5,2,5,6,3,"continued",4,2,7,7,7,6,6,6,5,"continued",6,1,7,7,6,5,7,6,5,"continued",7,NA,2.33333333333333,1.66666666666667,1.83333333333333,"F3",FALSE,TRUE,5,5,"continued"
"A1ADAWW4IHPCQ7",3,2,NA,"recurrance",4,4,3,6,4,2,7,3,7,5,7,6,5,2,6,6,6,9,6,7,6,"continued",5,7,4,3,4,5,5,4,3,"continued",4,5,2,2,4,4,4,6,2,"adjusted",3,NA,1.83333333333333,2.16666666666667,3,"F3",FALSE,TRUE,4,2,"adjusted"
"A1ADAWW4IHPCQ7",3,3,NA,"long-term",3,4,3,6,4,1,2,1,5,4,6,6,3,3,5,6,6,5,5,6,4,"continued",5,2,5,6,6,6,5,6,5,"continued",5,2,7,7,4,6,6,6,4,"continued",7,NA,2,2.33333333333333,1.83333333333333,"F3",FALSE,TRUE,6,4,"continued"
"A1AIMKA54UBYIQ",2,1,NA,"recurrance",9,5,2,5,3,1,2,3,1,3,5,6,3,4,6,4,3,10,1,6,5,"continued",4,4,6,3,2,11,1,7,5,"continued",3,4,7,3,1,11,1,6,5,"continued",1,NA,2.66666666666667,2,1.83333333333333,"F3",FALSE,TRUE,11,5,"continued"
"A1AIMKA54UBYIQ",2,2,NA,"recurrance",6,3,2,4,5,3,4,2,3,4,6,6,4,4,6,5,4,6,1,6,3,"continued",2,4,5,4,3,10,1,6,4,"continued",2,8,2,3,1,3,1,3,2,"abandoned",2,"F3",2.66666666666667,3,3.66666666666667,"F3",FALSE,TRUE,3,2,"abandoned"
"A1AZLJ3R5FQ9B7",3,1,NA,"long-term",1,4,3,7,6,3,7,3,7,4,6,6,6,2,7,6,7,9,7,7,6,"continued",6,8,4,3,5,2,5,7,3,"continued",4,5,6,5,7,1,7,5,4,"adjusted",4,NA,1.5,3.83333333333333,3.83333333333333,"F3",FALSE,TRUE,1,4,"adjusted"
"A1AZLJ3R5FQ9B7",3,2,NA,"recurrance",0,1,3,7,6,1,6,5,6,4,5,5,3,5,3,2,6,1,7,7,1,"adjusted",2,8,3,2,6,3,4,7,2,"continued",3,7,2,1,5,1,4,7,1,"abandoned",1,"F3",4,3.5,4,"F3",FALSE,TRUE,1,1,"abandoned"
"A1AZLJ3R5FQ9B7",3,3,NA,"recurrance",3,1,3,7,5,2,6,3,7,5,6,5,7,3,7,7,7,11,7,7,7,"continued",7,4,7,7,7,10,7,7,7,"continued",7,4,7,6,7,9,7,7,7,"continued",5,NA,2.16666666666667,1.66666666666667,1.66666666666667,"F3",FALSE,TRUE,9,7,"continued"
"A1B5SSGMTAQ9B5",2,1,"three_month","short-term",0,3,2,5,4,3,5,2,3,6,4,3,6,8,3,5,4,3,3,4,3,"continued",3,8,4,4,4,2,4,4,5,"continued",4,5,3,4,4,3,3,3,3,"adjusted",3,NA,2.33333333333333,2.66666666666667,3,"F3",FALSE,TRUE,3,3,"adjusted"
