"MTurkCode","listNum","total_goal","goal","affordance","approach_avoidance_R","attainability","attainment_maintenance_R","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commitment","commonality","conflict","connectedness","construal_level","control","difficulty","effort","end_state_specificity_R","external_importance","external_motivation","failure","frequency_R","ideal_motivation","identified_motivation","implementation_intention","importance","initial_time_R","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","other_resources","ought_motivation","procrastination","regret","self_resources","social_desirability","specificity","temporal_duration","urgency","visibility"
13286,4,3,3,3,7,7,7,7,6,5,6,5,5,5,5,4,4,6,4,1,NA,3,2,1,5,7,7,7,6,7,2,3,4,7,2,4,5,7,6,7,6,4,4,2
13286,4,3,4,3,7,6,7,5,6,5,6,5,7,5,2,1,4,4,3,1,NA,1,1,2,5,4,5,4,4,4,7,3,4,7,7,2,5,6,5,6,6,3,5,4
14537,3,3,1,6,6,9,6,6,7,7,6,6,6,2,5,3,7,6,4,3,5,2,3,1,7,7,6,6,4,6,6,6,5,7,5,4,6,6,6,5,6,3,6,6
14537,3,3,2,6,7,9,7,6,6,6,6,7,4,2,6,4,6,4,4,3,6,4,1,1,6,6,6,7,5,6,7,3,6,7,6,2,3,4,6,6,6,3,6,6
14537,3,3,3,5,7,7,6,6,6,7,5,7,4,1,6,4,6,6,4,3,NA,3,3,1,7,7,5,7,6,6,6,5,7,4,6,4,4,7,6,6,6,3,5,5
14807,5,4,1,6,7,6,6,5,4,6,5,5,6,2,2,2,7,4,3,3,4,5,3,2,6,6,4,6,6,4,2,5,5,6,3,4,5,6,6,6,7,3,4,3
14807,5,4,2,5,1,7,3,4,4,6,5,5,6,1,5,4,7,5,2,1,3,3,3,1,6,5,5,4,8,4,2,4,3,4,3,3,4,4,5,4,2,4,4,2
14807,5,4,3,5,7,5,4,6,5,5,5,4,4,2,2,4,7,5,2,1,NA,6,3,1,6,5,5,5,8,3,2,6,3,3,3,6,6,6,4,7,2,4,5,2
14807,5,4,4,6,2,8,5,5,5,6,6,6,4,1,4,3,6,4,4,1,NA,4,1,1,5,5,6,4,6,4,2,5,4,5,3,3,3,5,5,5,3,4,5,4
14807,5,4,5,3,6,9,3,4,5,5,7,5,5,3,2,2,7,3,2,1,NA,6,3,1,5,5,6,4,6,4,2,6,3,4,5,6,5,6,7,6,2,4,4,4
14917,3,3,1,7,7,11,1,6,6,6,7,7,5,2,3,3,7,3,7,3,5,2,1,1,7,7,5,6,8,6,7,2,7,3,7,2,1,7,7,7,5,4,4,6
14917,3,3,2,5,7,9,7,7,7,7,5,7,5,4,5,2,6,6,7,3,5,5,2,2,6,7,5,7,7,5,3,3,5,5,4,5,1,6,6,7,6,3,4,5
14917,3,3,3,7,7,10,1,7,7,6,6,7,3,2,4,4,5,3,4,1,NA,2,1,1,7,6,5,7,8,5,6,2,6,2,6,2,2,6,7,7,5,4,2,6
15045,3,4,1,4,7,8,7,7,7,5,7,7,4,1,1,4,7,7,7,3,7,1,2,2,7,4,7,7,8,7,7,1,5,7,5,1,1,7,7,7,7,3,6,7
15045,3,4,2,7,7,6,7,6,6,6,6,7,6,1,1,4,7,6,6,3,4,3,1,2,7,6,6,7,6,4,5,5,3,7,6,1,1,7,6,6,7,3,5,5
15045,3,4,3,6,7,9,6,7,6,5,7,7,7,3,4,3,7,7,7,3,NA,1,1,2,7,7,7,7,6,7,1,2,5,7,1,1,1,7,7,7,7,3,6,1
15085,5,6,1,7,7,9,7,6,6,2,7,7,1,2,7,2,5,4,7,2,7,1,1,2,5,7,7,7,6,6,2,1,4,7,7,1,2,7,7,5,7,3,6,7
15085,5,6,2,4,7,7,7,5,4,1,6,4,3,3,1,1,7,4,4,1,1,1,1,2,4,5,5,4,4,1,5,1,1,7,6,1,3,4,7,6,7,3,1,5
15085,5,6,3,5,7,9,7,5,5,7,7,6,5,4,5,2,6,5,7,3,NA,1,2,1,5,7,6,7,7,4,4,2,2,7,7,1,3,6,7,7,7,4,4,5
15085,5,6,4,5,7,5,3,6,6,7,6,6,6,4,6,2,7,7,6,3,NA,1,3,1,4,7,5,7,8,5,1,3,4,7,4,1,3,7,7,7,7,4,6,3
15085,5,6,5,6,7,10,7,7,7,5,7,7,2,3,7,3,7,3,5,3,NA,1,1,2,6,7,7,7,6,6,6,1,1,7,7,1,1,7,7,7,7,2,7,7
16625,5,3,1,6,6,10,3,5,4,6,6,6,3,3,4,7,7,3,6,2,6,2,1,1,6,6,6,6,6,6,7,5,6,6,4,5,2,6,6,4,6,3,5,4
16625,5,3,2,4,7,9,2,5,5,6,6,7,6,3,4,7,7,5,6,3,6,6,2,1,6,6,6,6,7,6,5,6,6,6,6,6,3,6,6,6,6,3,6,6
16625,5,3,3,5,6,10,1,5,5,6,6,6,5,2,6,5,6,2,4,1,NA,5,3,1,6,6,5,6,7,5,4,2,6,5,5,6,2,4,5,6,3,4,6,3
16625,5,3,4,5,7,8,2,6,4,6,6,7,2,3,5,6,7,4,6,3,NA,3,2,1,6,6,6,7,6,5,5,5,6,5,6,5,3,6,6,5,6,4,6,4
16625,5,3,5,4,7,6,6,6,6,5,6,6,6,4,6,6,5,4,7,3,NA,6,3,2,6,6,6,6,8,6,7,6,7,6,6,6,2,5,6,7,6,3,5,6
16952,3,3,1,7,7,8,7,7,7,7,7,7,5,4,6,3,7,7,6,1,5,1,1,1,7,7,6,7,5,7,7,1,7,6,4,1,7,3,7,7,6,3,7,1
16952,3,3,2,4,7,7,1,5,5,4,7,5,6,2,3,4,7,4,4,1,1,1,2,1,4,4,7,5,5,3,7,1,4,7,1,1,4,4,7,4,5,3,4,4
16952,3,3,3,7,1,6,7,7,7,7,6,4,7,6,6,7,7,7,7,1,NA,7,3,1,7,7,7,7,8,7,7,7,7,6,7,1,7,7,7,7,7,3,7,6
18568,3,3,1,7,7,7,5,6,5,4,5,7,2,3,4,7,5,6,6,3,4,1,1,1,6,6,5,7,8,6,6,1,6,7,4,2,2,6,5,6,7,3,7,5
18568,3,3,2,6,7,9,3,7,7,7,7,7,5,3,6,3,7,5,6,2,7,1,1,1,7,7,6,7,7,6,7,5,6,7,7,1,3,5,7,7,5,4,6,2
18568,3,3,3,6,7,7,5,5,6,4,4,5,3,1,2,4,5,6,4,1,NA,1,1,1,6,4,4,5,8,3,5,1,4,4,6,1,4,4,7,4,7,4,6,3
19125,5,4,1,7,7,3,7,7,7,7,6,7,1,1,7,6,5,7,7,1,7,1,1,1,7,7,7,7,7,7,5,1,3,7,7,1,2,7,5,7,5,4,6,2
19125,5,4,2,7,7,9,7,7,7,7,7,7,1,1,6,6,6,6,7,3,7,1,1,1,7,7,7,7,5,7,2,1,4,7,7,1,1,7,7,5,7,4,6,7
19125,5,4,3,5,7,8,7,7,7,7,7,7,7,1,2,4,7,7,5,2,NA,1,2,1,7,7,6,7,6,7,3,1,1,5,7,1,3,7,6,7,7,4,5,4
19125,5,4,4,3,7,10,7,7,7,7,7,7,7,7,7,6,7,7,7,3,NA,1,1,NA,7,7,7,7,6,7,1,6,1,7,7,1,3,7,7,7,7,3,6,7
19125,5,4,5,7,7,10,7,7,7,7,7,7,7,1,7,5,7,6,5,2,NA,1,1,1,7,7,7,7,6,7,7,1,7,7,7,1,5,7,7,7,7,4,7,7
19490,3,6,1,4,7,9,1,7,7,7,5,7,1,1,1,NA,7,5,7,NA,3,1,3,1,7,7,5,7,7,5,1,7,4,7,7,1,1,7,7,7,7,3,7,3
19490,3,6,2,7,7,8,3,7,7,7,7,7,7,1,7,4,7,4,7,2,3,1,3,1,7,7,7,7,7,7,1,4,3,4,7,1,5,7,7,7,7,3,7,7
19490,3,6,3,7,7,8,4,7,7,7,7,7,7,1,7,3,7,7,7,NA,NA,1,3,1,7,7,7,7,8,7,1,7,4,7,7,5,4,7,5,7,1,3,3,7
20317,2,2,1,6,4,6,3,5,5,1,5,4,5,2,2,5,6,5,4,NA,5,4,3,NA,6,5,5,5,6,3,2,6,6,5,2,2,5,4,6,6,4,NA,3,2
20317,2,2,2,6,2,6,3,5,5,5,3,4,6,2,1,6,6,7,4,NA,3,3,3,NA,6,5,3,4,8,5,2,2,5,3,5,3,5,5,4,6,5,NA,3,4
20570,3,3,1,5,7,10,1,6,5,3,7,7,4,1,4,4,6,3,6,3,3,2,1,1,5,6,6,6,7,5,4,2,5,7,4,2,2,5,7,6,7,3,5,4
20570,3,3,2,5,7,9,2,6,6,5,5,6,6,2,3,3,6,5,5,1,3,2,3,1,6,6,5,5,6,2,5,4,5,6,6,3,4,4,6,6,5,3,5,5
20570,3,3,3,6,7,8,6,7,5,4,7,6,3,2,5,6,7,4,7,3,NA,3,1,1,4,7,6,6,5,5,5,2,4,7,5,2,3,3,6,4,7,3,5,4
21212,4,4,1,7,NA,7,NA,7,7,2,4,6,6,3,4,7,7,7,2,1,2,1,3,1,7,7,3,7,8,7,2,1,7,5,4,1,7,6,7,7,6,4,3,2
21212,4,4,2,3,NA,4,6,7,7,1,4,4,4,6,2,3,7,7,2,1,2,1,3,1,7,5,2,5,8,2,5,1,4,4,2,1,6,5,5,5,5,4,3,2
21212,4,4,3,7,7,7,1,7,7,5,3,6,6,2,5,7,7,7,4,1,NA,7,3,1,7,7,3,7,8,6,4,1,7,3,2,1,5,7,7,5,5,4,6,1
21212,4,4,4,5,NA,3,1,7,7,7,3,7,7,1,7,7,7,7,1,1,NA,7,3,1,7,7,1,7,8,7,1,1,7,5,2,1,7,7,7,7,5,4,7,1
21317,5,15,1,7,6,11,6,7,7,7,7,7,7,2,3,5,7,5,7,3,4,5,3,2,7,7,7,7,8,7,4,7,6,7,7,2,3,7,7,7,7,3,6,7
21317,5,15,2,7,7,11,7,7,7,3,7,7,3,4,6,7,7,4,5,3,3,7,2,2,7,7,7,7,7,7,5,7,7,7,7,1,4,7,7,5,7,2,7,7
21317,5,15,3,4,7,7,7,7,7,7,6,7,6,1,7,6,7,7,7,2,NA,4,3,1,7,7,7,7,8,7,4,7,6,7,7,3,2,7,6,7,7,3,7,7
21317,5,15,4,6,7,9,7,7,7,6,5,7,4,3,7,5,6,3,4,1,NA,3,1,1,7,7,7,7,7,7,2,7,7,7,5,1,2,7,5,7,6,3,5,6
21317,5,15,5,7,7,10,1,7,7,7,7,7,7,2,6,4,6,4,7,3,NA,6,3,1,7,7,7,7,7,7,4,7,7,7,4,2,3,7,7,7,7,4,6,3
21447,5,5,1,7,5,9,6,6,5,7,7,7,7,1,4,4,7,3,2,2,7,4,3,1,7,7,7,7,4,4,1,1,3,7,5,5,7,6,7,7,6,2,4,4
21447,5,5,2,6,7,10,1,7,7,7,7,7,7,2,5,3,4,6,3,3,3,7,3,1,7,7,7,7,6,2,2,1,7,7,5,3,7,7,6,7,7,3,5,4
21447,5,5,3,6,7,11,4,7,7,7,7,7,4,2,4,7,7,1,7,1,NA,6,3,1,7,7,7,7,5,7,7,4,7,7,7,6,2,7,7,7,7,4,6,6
21447,5,5,4,7,7,10,4,5,5,7,7,7,7,1,4,2,7,6,2,3,NA,2,3,2,7,7,7,5,4,5,1,1,3,7,4,1,7,6,7,7,7,3,2,4
21447,5,5,5,5,4,8,6,7,7,7,7,7,7,1,4,7,5,7,4,1,NA,7,3,1,7,7,7,7,6,7,1,6,7,7,7,2,6,7,6,7,7,4,6,4
21924,3,3,1,3,7,11,7,6,6,7,6,7,1,2,7,1,7,6,6,3,4,7,2,2,2,7,4,7,7,5,1,3,5,7,5,1,2,7,7,6,7,3,6,6
21924,3,3,2,3,7,7,6,7,7,7,5,5,5,1,2,7,5,7,5,1,6,2,3,1,6,7,5,7,8,7,1,7,4,7,2,1,4,7,6,5,4,3,7,5
21924,3,3,3,2,7,10,7,7,7,7,7,7,1,1,5,5,7,4,7,2,NA,1,3,2,7,7,4,7,8,7,7,7,7,7,7,1,5,7,7,7,7,3,7,4
22137,2,3,1,6,7,10,7,6,5,1,7,6,2,1,2,5,7,5,4,3,2,1,1,2,3,3,7,4,6,1,7,1,1,7,3,1,3,4,7,2,7,2,4,5
22137,2,3,2,4,7,6,5,6,6,7,4,6,7,1,3,6,6,4,3,3,7,6,3,1,6,7,3,6,8,2,1,6,3,7,7,4,5,6,6,7,7,3,6,7
22795,5,6,1,7,1,10,1,5,5,7,7,7,7,1,7,1,7,4,4,2,4,1,3,1,7,4,7,7,6,7,1,5,4,7,7,1,4,NA,7,7,7,NA,4,7
22795,5,6,2,7,7,7,6,7,7,6,7,7,7,1,7,7,7,7,7,3,7,1,3,2,7,7,7,7,6,7,1,1,7,7,7,1,4,7,7,7,7,3,4,4
22795,5,6,3,7,7,7,1,6,6,7,7,7,7,1,7,1,7,4,4,2,NA,1,3,1,7,7,7,7,4,7,7,1,7,4,7,1,4,7,7,7,7,3,4,7
22795,5,6,4,7,7,10,7,6,6,7,7,7,7,1,5,5,7,4,7,3,NA,1,1,2,7,7,7,7,5,7,5,5,7,7,7,1,1,7,7,7,7,3,4,7
22795,5,6,5,7,7,10,1,5,5,7,7,7,7,1,7,1,7,4,4,2,NA,1,3,1,7,7,7,7,3,7,1,1,7,7,7,1,4,4,7,7,7,NA,4,1
22906,4,4,1,6,7,8,7,7,6,7,5,6,4,1,4,4,6,6,4,3,6,4,2,2,6,6,3,7,1,7,2,5,6,7,5,1,2,4,7,7,7,3,7,4
22906,4,4,2,6,1,8,1,6,6,7,6,6,2,1,4,1,7,6,5,3,4,6,2,1,5,7,7,6,1,7,1,2,6,7,6,2,4,4,6,6,7,3,6,3
22906,4,4,3,7,7,9,7,7,7,4,7,7,1,1,1,6,5,7,7,3,NA,1,1,2,6,7,7,6,1,7,6,1,5,7,1,1,2,6,7,4,7,3,7,1
22906,4,4,4,5,7,8,7,7,6,7,6,5,4,1,4,3,7,7,5,3,NA,1,3,1,7,6,4,5,1,5,4,1,6,7,2,1,4,5,7,2,7,3,5,1
23348,3,3,1,7,7,7,3,6,6,7,5,7,7,1,5,4,7,4,4,3,5,1,2,1,5,7,5,6,6,4,3,1,4,7,7,1,3,4,7,7,6,3,5,6
23348,3,3,2,4,7,6,5,6,5,1,2,6,1,1,1,1,5,7,4,1,1,1,1,1,1,3,2,4,5,1,5,1,1,3,2,1,4,4,4,3,4,3,1,4
23348,3,3,3,3,1,6,1,6,6,7,3,4,7,1,6,1,6,6,4,1,NA,1,3,1,1,7,3,7,5,3,1,1,3,1,4,1,4,5,5,7,1,3,4,5
24230,5,4,1,7,7,9,4,7,6,6,7,7,4,3,3,7,7,5,7,2,7,1,2,1,6,7,6,7,6,7,1,1,4,7,1,2,2,7,7,6,7,3,4,5
24230,5,4,2,4,7,4,4,5,5,5,4,4,4,7,5,5,7,7,5,1,7,4,3,1,5,7,5,7,6,4,4,1,4,4,4,4,4,7,4,5,3,3,6,3
24230,5,4,3,4,7,5,4,5,7,3,6,4,1,4,4,5,7,7,6,2,NA,6,3,NA,7,7,4,7,8,7,4,1,4,6,1,1,6,7,4,3,5,4,4,2
24230,5,4,4,4,7,9,2,6,6,4,5,5,7,1,1,3,7,7,4,1,NA,6,3,NA,6,4,6,4,4,2,4,6,3,4,7,7,6,6,5,6,3,3,4,4
24230,5,4,5,4,7,7,7,7,5,6,6,6,5,4,1,1,7,5,5,3,NA,6,1,2,4,4,6,4,6,2,7,1,4,2,5,1,1,3,4,4,7,2,4,4
24238,3,2,1,7,4,4,7,7,7,7,6,7,6,2,6,7,7,6,6,3,6,4,1,2,7,6,5,7,8,7,6,5,7,5,6,4,3,5,5,7,6,4,4,7
24238,3,2,2,7,7,10,1,6,6,7,7,6,5,3,7,4,7,2,6,1,6,6,3,1,7,6,7,7,7,7,7,6,7,7,7,5,2,6,7,7,6,4,7,7
24238,3,2,3,6,7,5,3,6,6,7,6,4,6,1,2,2,7,7,7,1,NA,2,3,1,7,6,6,6,6,4,4,3,3,6,5,3,7,5,7,6,6,3,4,2
24350,4,3,1,7,7,10,1,7,7,7,7,7,5,1,7,6,7,7,4,3,7,6,1,2,7,7,7,7,6,7,1,3,5,7,7,4,3,7,6,6,7,3,7,7
24350,4,3,2,7,7,10,5,6,6,5,7,7,6,1,5,5,7,4,4,3,1,1,1,1,6,5,7,7,6,6,6,1,7,7,6,1,1,6,7,6,7,3,6,7
24350,4,3,3,7,7,11,7,7,6,7,7,7,4,1,3,5,7,3,3,3,NA,1,1,2,6,7,7,7,6,4,7,1,6,7,7,1,1,5,7,7,7,3,4,7
24350,4,3,4,5,7,9,1,7,7,7,6,7,7,2,7,2,7,7,2,3,NA,7,3,1,6,7,6,7,7,7,1,5,4,7,7,4,6,7,7,7,6,3,7,7
24355,4,4,1,6,7,9,7,5,6,1,5,4,1,1,1,1,4,3,4,3,1,1,1,2,4,5,5,2,4,1,5,1,6,6,2,1,2,3,6,2,7,3,1,7
24355,4,4,2,6,7,8,6,6,6,5,6,6,5,1,4,3,7,3,4,3,3,5,3,NA,5,6,5,5,8,4,5,2,4,6,3,1,6,5,6,5,6,3,5,1
24355,4,4,3,6,7,10,6,6,6,7,6,7,7,1,3,3,6,4,6,3,NA,2,3,2,7,7,6,7,6,5,6,2,6,7,2,2,5,6,7,6,7,3,5,2
24355,4,4,4,4,5,9,5,4,4,7,6,7,1,6,2,3,6,4,6,2,NA,7,3,1,4,7,5,7,5,1,1,6,5,7,5,6,2,6,6,3,7,3,6,3
24832,5,7,1,6,7,9,2,6,7,5,7,7,6,2,4,4,5,7,7,2,2,2,2,1,7,6,5,6,6,6,2,6,6,6,5,1,2,6,6,7,3,4,4,6
24832,5,7,2,4,7,10,3,6,5,5,6,6,5,2,3,2,3,4,5,3,5,1,1,1,3,6,7,7,7,6,1,2,4,7,7,3,2,7,6,7,7,4,2,7
24832,5,7,3,5,6,8,7,7,6,3,6,6,4,3,2,1,5,4,5,3,NA,5,1,2,1,7,6,5,6,4,2,5,3,7,5,5,4,6,6,6,6,3,5,6
24832,5,7,4,3,7,10,3,4,7,4,4,6,7,5,2,4,5,4,6,2,NA,3,3,1,5,7,5,7,8,4,7,5,7,4,7,3,5,7,7,7,2,4,5,4
24832,5,7,5,5,6,7,3,6,6,2,5,4,4,1,1,3,7,2,3,3,NA,1,1,1,6,3,4,4,6,4,7,1,5,5,5,1,5,4,7,5,3,3,1,3
25224,3,3,1,4,7,9,7,6,6,7,7,7,4,1,4,3,7,4,5,2,1,1,1,1,7,7,7,7,7,7,7,1,7,5,3,1,3,7,5,6,7,3,7,7
25224,3,3,2,4,7,7,7,4,4,5,5,6,4,3,4,7,7,6,7,1,1,1,1,1,5,7,5,7,8,7,5,1,5,4,4,1,4,7,5,5,3,4,4,4
25224,3,3,3,5,7,3,7,7,7,4,5,4,7,2,4,4,7,7,4,1,NA,1,3,1,7,7,4,7,8,4,4,5,4,3,1,1,6,6,5,7,4,3,4,4
25482,3,3,1,3,7,6,1,6,6,6,3,5,7,2,6,1,6,7,2,3,4,5,3,1,5,5,2,5,8,6,2,3,3,4,6,3,6,5,4,7,3,1,4,5
25482,3,3,2,3,7,2,1,6,6,6,3,4,7,1,6,1,7,7,6,3,6,5,3,1,5,5,2,6,8,6,2,4,4,7,5,3,7,6,3,7,6,2,4,5
25482,3,3,3,2,7,3,1,7,6,7,7,7,2,1,6,1,7,7,4,3,NA,4,3,1,6,7,7,7,7,7,2,5,4,7,6,5,6,7,4,6,7,1,7,7
