MTurkCode,goal_order,goals,content,content-other,healthy,weight control,body composition/shape,diet,specific diet type,exercise,specific exercise type,specific weight lost,specific time /frequency,other health 
A2LT6KC1X51FVW,1,I want to complete sets of various exercises five days a week.,physical health,,,,,,,1,,,,
A2LT6KC1X51FVW,2,"I want to cook at home, instead of grabbing takeout, Monday through Friday of every week.",physical health,,,,,1,,,,,,
AWVLT2L5AP873,1,My goal is that I want to keep eating oatmeal every single day,physical health,,,,,1,,,,,,
AWVLT2L5AP873,2,My goal is that I want to earn at least 50 dollars a day on MTurk,finance,,,,,,,,,,,
AWVLT2L5AP873,3,My goal is that I want to walk at least 30 minutes straight every day,physical health,,,,,,,1,,,,
A3U4SSUB9ZZ9T0,1,My goal is to pay down debt.,finance,,,,,,,,,,,
A3U4SSUB9ZZ9T0,2,My goal is to exercise at least three times a week.,physical health,,,,,,,1,,,,
A3U4SSUB9ZZ9T0,3,My goal is to save more for retirement and increase savings.,finance,,,,,,,,,,,
A2R9OK4M877ZCC,1,Schedule and take a vacation,leisure,,,,,,,,,,,
A2R9OK4M877ZCC,2,pay off credit cards,finance,,,,,,,,,,,
A2R9OK4M877ZCC,3,work toward promotion,work/career development,,,,,,,,,,,
A1O9PAK6THJ9Y7,1,Lose 50 pounds within the next 8 months,physical health,,,1,,,,,,1,,
A1O9PAK6THJ9Y7,2,"Pay off all debts, except car and house, within 8 months",finance,,,,,,,,,,,
A2AT6TSPPCR106,1,My goal is to lose 20 pounds in 3 months,physical health,,,1,,,,,,1,,
A2AT6TSPPCR106,2,My goal is to exercise 3 times per week for 3 months,physical health,,,,,,,1,,,,
A2AT6TSPPCR106,3,My goal is to save $2000 in 3 months,finance,,,,,,,,,,,
A2AT6TSPPCR106,4,My goal is to spend more quality time with my children.,family,,,,,,,,,,,
A28J7H4TH29DC3,1,My goal is to lose 5 pounds in three months.,physical health,,,1,,,,,,1,,
A28J7H4TH29DC3,2,My goal is to shop less and only buy things I truly need every month.,finance,,,,,,,,,,,
A28J7H4TH29DC3,3,My goal is to quit smoking by the end of the year.,physical health,,,,,,,,,,,1
A1VRG5HKZC0H0C,1,My goal is to attend Wrestlemania on April 10th and 11th.,leisure,,,,,,,,,,,
A1VRG5HKZC0H0C,2,My goal is to get the COVID vaccine within the next 3 months.,physical health,,,,,,,,,,,1
A1VRG5HKZC0H0C,3,My goal is meet all deadlines for work in the upcoming quarter-end.,work/career development,,,,,,,,,,,
A1VRG5HKZC0H0C,4,"My goal is to average 4,000 steps a day which is up from my current average of 3,000.",physical health,,,,,,,1,,,,
A1VRG5HKZC0H0C,5,My goal is to do arm curls at least every 3 days to build up some muscle.,physical health,,,,,,,1,,,,
A351LMMMFYPM7U,1,My goal is to save at least $200 each month,finance,,,,,,,,,,,
A351LMMMFYPM7U,2,My goal is to get my lower back surgery finished in the next 3 months,physical health,,,,,,,,,,,1
A351LMMMFYPM7U,3,My goal is to sell my house in the next year,finance,,,,,,,,,,,
A351LMMMFYPM7U,4,My goal is to lose 10 pounds in the next 6 months,physical health,,,1,,,,,,1,,
A351LMMMFYPM7U,5,My goal is to get closer to my two grown children in the next year,family,,,,,,,,,,,
A2NHFSO7GMM8QR,1,my goal is to save 200 dollars monthly.,finance,,,,,,,,,,,
A2NHFSO7GMM8QR,2,my goal is to eat more vegetable per serving everyday.,physical health,,,,,1,,,,,,
A2VNSNAN1LZBAM,1,My goal is to quit smoking for good in the next 2 months,physical health,,,,,,,,,,,1
A2VNSNAN1LZBAM,2,My goal is to lose at least 30 lbs. in the next 6 months,physical health,,,1,,,,1,,,,
A2VNSNAN1LZBAM,3,My goal is to move to Texas within the next 3 months,other,moving,,,,,,,,,,
A3KIZLHCD945UK,1,My goal is to lose 10 pounds in 2 months,physical health,,,1,,,,,,1,,
A3KIZLHCD945UK,2,"My goal is to walk 10,000 steps everyday.",physical health,,,,,,,1,,,,
A3KIZLHCD945UK,3,My goal is to quit smoking in the next 3 months.,physical health,,,,,,,,,,,1
A1720HSKGQ41VJ,1,My goal is to buy a house in the next 3 months.,finance,,,,,,,,,,,
A1720HSKGQ41VJ,2,I would like my weight to go below 200 pounds within 3 months.,physical health,,,1,,,,,,1,,
A1720HSKGQ41VJ,3,I would like to spend at least 30 minutes a week looking for a part time job.,work/career development,,,,,,,,,,,
A1720HSKGQ41VJ,4,My goal is to pray and read scriptures everyday.,religion,,,,,,,,,,,
A26NGLGGFTATVN,1,I want to improve my body composition by losing fat and building muscle,physical health,,,1,,,,,,,,
A26NGLGGFTATVN,2,I want to increase my monthly income with smart investing.,finance,,,,,,,,,,,
A30HUZHJBOX1LK,1,"I intend to lose 30 lbs in the next 3 months, 10 lbs each month",physical health,,,1,,,,,,1,,
A30HUZHJBOX1LK,2,I intend to walk on the treadmill 6 hours each week,physical health,,,,,,,1,,,,
A4BDXOXC4D8FX,1,My goal is to buy a car.,finance,,,,,,,,,,,
A4BDXOXC4D8FX,2,My goal is to become a successful livestreamer.,work/career development,,,,,,,,,,,
A4BDXOXC4D8FX,3,My goal is to eat healthier.,physical health,,1,,,1,,,,,,
A3AJJHOAV7WIUQ,1,My goal is to catch up on my bills in the next three months.,finance,,,,,,,,,,,
A3AJJHOAV7WIUQ,2,My goal is to quit smoking in 2021.,physical health,,,,,,,,,,,1
A3AJJHOAV7WIUQ,3,My goal is to walk for at least 45 minutes every day for the next two weeks.,physical health,,,,,,,1,,,,
AS2MFSWNC5CQI,1,Save more money towards early retirement by the time I'm 40,finance,,,,,,,,,,,
AS2MFSWNC5CQI,2,Save more money and buy a small but nice house out right.,finance,,,,,,,,,,,
AS2MFSWNC5CQI,3,Have the money put together to go on a nice family vacation and stay in a cabin in the mountains.,finance,,,,,,,,,,,
AS2MFSWNC5CQI,4,Keep exercising and working to loose 30 pounds.,physical health,,,1,,,,1,,1,,
A3VYBAO7UQQHGC,1,My goal is lose five pounds by the end of April.,physical health,,,1,,,,,,1,,
A3VYBAO7UQQHGC,2,My goal is to contribute $5000 to my retirement fund by the end of May.,finance,,,,,,,,,,,
A3VYBAO7UQQHGC,3,My goal is to publish my first short story by June.,leisure,,,,,,,,,,,
A1G5EPLJEGL381,1,"My goal is by the end of the year, have $3K in my savings account and $3k in my checking account.",finance,,,,,,,,,,,
A1G5EPLJEGL381,2,By the end of the year I want to be earning $400/mo through my part time job. ,work/career development,,,,,,,,,,,
A1CTUG0RUGCY48,1,My primary goal is to complete renovations on our new home and move into the home before winter. ,house work,,,,,,,,,,,
A6R5AQ4D638BH,1,Learn new programming techniques for a new mobile game idea,skill development,,,,,,,,,,,
A6R5AQ4D638BH,2,Learn more advanced cooking techniques,skill development,,,,,,,,,,,
A6R5AQ4D638BH,3,Exercise more regularly to lose weight,physical health,,,1,,,,1,,,,
A2KOR4003SVNC5,1,My goal is to study hard for the MCAT and get a score above 520 within the next three months.,academic/school,,,,,,,,,,,
A2KOR4003SVNC5,2,My goal is to gain muscle mass in body for the remainder for this year.,physical health,,,,,,,1,,,,
A2KOR4003SVNC5,3,My goal is to loss as much fat as possible for the next month.,physical health,,,,,,,1,,,,
A1OJV3R8BH73BD,1,"My goal is to find a higher paying, more satisfying job in my industry in the next three months.",work/career development,,,,,,,,,,,
A1OJV3R8BH73BD,2,"My goal is to save over $1,000 in total over the next three months ",finance,,,,,,,,,,,
A1OJV3R8BH73BD,3,My goal is to stop eating candy and junk food for three months straight to improve my diet.,physical health,,,,,1,,,,,,
A3OUNEJO97MM8E,1,My goal is to finish painting my guest bedroom.,house work,,,,,,,,,,,
A3OUNEJO97MM8E,2,My goal is for my wife and I to get pregnant,family,,,,,,,,,,,
A3OUNEJO97MM8E,3,My goal is to get a new car in three months,finance,,,,,,,,,,,
A7P3R1AIA4TVV,1,My goal is to take my lunch to work at least three times a week instead of eating out everyday.,physical health,,,,,1,,,,,,
A7P3R1AIA4TVV,2,My goal is to lose 20 pounds.,physical health,,,1,,,,,,1,,
A7P3R1AIA4TVV,3,My goal is to finish the current semester with a 3.5 GPA or higher.,academic/school,,,,,,,,,,,
A121T4P5NKCHCS,1,My goal is to be rid of my hard cast on my left foot/leg and finish physical rehab within 3 months.,physical health,,,,,,,,,,,
A121T4P5NKCHCS,2,My goal is to make at least $4000 between my prolific and MTurk accounts over the next 3 months. ,finance,,,,,,,,,,,
A121T4P5NKCHCS,3,My goal is to eliminate milk products from my diet fully over the next three months. ,physical health,,,,,1,,,,,,
A3NLSGHK6RFXA8,1,My goal is to lose 20 pounds in six months,physical health,,,1,,,,,,1,,
A3NLSGHK6RFXA8,2,My goal is to drink no more than one sugary drink/cola a day until July 1st,physical health,,,,,,,,,,,1
A3NLSGHK6RFXA8,3,My goal is to save to have bought half a bitcoin by July 1st,finance,,,,,,,,,,,
A3NLSGHK6RFXA8,4,"My goal is use mindfulness once a day for 90 days, starting April 1st",mental health,,,,,,,,,,,1
AOS2PVHT2HYTL,1,I have a goal to lose 20 pounds in the next three months.,physical health,,,1,,,,,,1,,
AOS2PVHT2HYTL,2,Another goal is to move from Washington to Texas within the next three months.,other,moving,,,,,,,,,,
AOS2PVHT2HYTL,3,I want to be debt free in the next few months.,finance,,,,,,,,,,,
A1TPGXT718D68E,1,My goal is to replace the privacy fence and front fence in my yard within the next three months. ,house work,,,,,,,,,,,
A1TPGXT718D68E,2,My goal is to make and save enough money for a new pair of glasses in the next month.,finance,,,,,,,,,,,
A1TPGXT718D68E,3,My goal is to help my neighbor find a new job in the next month.,social/relationship,,,,,,,,,,,
AKX5RHHO8BIUX,1,My goal is to pay off the credit card by June 15th.,finance,,,,,,,,,,,
AKX5RHHO8BIUX,2,My goal is to keep my disabled wife alive and as healthy as possible.,family,,,,,,,,,,,
AKX5RHHO8BIUX,3,My goal is to get the gutters fixed and add Leaf Guard to them by June 1,house work,,,,,,,,,,,
AKX5RHHO8BIUX,4,My goal is to get the upstairs completely decluttered by August 1.,house work,,,,,,,,,,,
AKX5RHHO8BIUX,5,My goal is to get the yard cleaned up by April 15. ,house work,,,,,,,,,,,
A26UAJWMMNN351,1,I want to remodel my condo.,house work,,,,,,,,,,,
A26UAJWMMNN351,2,I would like to find a boyfriend.,social/relationship,,,,,,,,,,,
A26UAJWMMNN351,3,I would like to pay off a lot of my credit card bills.,finance,,,,,,,,,,,
AM0QVBV8L6QCJ,1,I currently  weigh 225 lbs. My goal weight is 195,physical health,,,1,,,,,,1,,
AM0QVBV8L6QCJ,2,I currently  work 50 to 60 hours per week. My goal is to retire and work remotely  as a consultant  less hours,work/career development,,,,,,,,,,,
A2X3FSFHV5GHJU,1,To establish a bee hive colony in the backyard supported by flowering plants in my yard,leisure,,,,,,,,,,,
A2X3FSFHV5GHJU,2,Get more exercise by walking the dog at least 3 days a week for at least 30 minutes,physical health,,,,,,,1,,,,
A2X3FSFHV5GHJU,3,Get rid of excess household possessions and donate useable goods to charity,other,cherity,,,,,,,,,,
A1F1TBDHPYAAXT,1,"Increase number of steps per day to 10,000 in 3 months",physical health,,,,,,,1,,,,
A1F1TBDHPYAAXT,2,Lose 20 pounds in 3 months by getting my weight below 220,physical health,,,1,,,,,,1,,
A1F1TBDHPYAAXT,3,Buy $500 of silver either physical or ETF's per month,finance,,,,,,,,,,,
AFMAFX0P2YRRV,1,My goal is to replace the struts on my jeep with in the end of next month,house work,,,,,,,,,,,
A38BO0BRCQX6OV,1,To lose about 20 pounds ,physical health,,,1,,,,,,1,,
A38BO0BRCQX6OV,2,To save up an additional 10k ,finance,,,,,,,,,,,
A38BO0BRCQX6OV,3,To get more organized & orderly at work and at home,house work,,,,,,,,,,,
AIA7RZSAONU5M,1,"I want to eat healthier at least once a day, every day.",physical health,,1,,,1,,,,,,
AIA7RZSAONU5M,2,"I want to exercise at least twice a week, every week.",physical health,,,,,,,1,,,,
AIA7RZSAONU5M,3,I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day. ,physical health,,,,,,,,,,,1
A2615YW1YERQBO,1,I have a goal to have my shoulder problem healed in 3 months,physical health,,,,,,,,,,,
A2615YW1YERQBO,2,My goal is to get my roof repaired in 2 years.,house work,,,,,,,,,,,
A2615YW1YERQBO,3,Another goal is to be financially independent in 5 years.,finance,,,,,,,,,,,
A3OPRR8AXT6OSJ,1,Jog three miles per day for five days during the week for a total of 15 miles per week.,physical health,,,,,,,1,,,,
A3OPRR8AXT6OSJ,2,"Limit my caloric intake to 2,500 calories per day.",physical health,,,,,1,,,,,,
A3OPRR8AXT6OSJ,3,Walk three miles per day seven days a week for a total of 21 miles per week,physical health,,,,,,,1,,,,
A1AIMKA54UBYIQ,1,I want to eat fruits and vegetables at least once a day.,physical health,,,,,1,,,,,,
A1AIMKA54UBYIQ,2,I want to take a walk once a week.,physical health,,,,,,,1,,,,
A286W816CMIZL9,1,My goal is to lose 30 lbs in the next 6 months.,physical health,,,1,,,,,,1,,
A286W816CMIZL9,2,"My goal is to walk 10,000 steps per day",physical health,,,,,,,1,,,,
A286W816CMIZL9,3,My goal is to workout in the gym at least twice a week,physical health,,,,,,,1,,,,
A3HXM7BGH18FOW,1,My goal is to exercise every day.,physical health,,,,,,,1,,,,
A3HXM7BGH18FOW,2,My goal is to learn how to use my Cricut crafting machine in the next three months.,skill development,,,,,,,,,,,
A3HXM7BGH18FOW,3,My goal is to eat less sugary foods.,physical health,,,,,1,,,,,,
A770OB1ZAGJ4G,1,Paying down my credit cards until they are done.,finance,,,,,,,,,,,
A770OB1ZAGJ4G,2,Eating healthy from now on.,physical health,,1,,,1,,,,,,
A770OB1ZAGJ4G,3,Losing weight until I reach my goal weight.,physical health,,,1,,,,,,,,
A770OB1ZAGJ4G,4,Exercising and walking more to strengthen my lungs.,physical health,,1,,,,,1,,,,
A17KN7NAP48L4B,1,My goal is to reach my goal weight of 170 in the next three months.,physical health,,,1,,,,,,1,,
A17KN7NAP48L4B,2,My goal is to drink three bottles of water or six cups of water every day.,physical health,,,,,,,,,,,1
A17KN7NAP48L4B,3,My goal is to exercise every other day.,physical health,,,,,,,1,,,,
A110BZSDZN7E16,1,"To move to Gulf Shores, Alabama by the beginning of Summer 2021",other,moving,,,,,,,,,,
A110BZSDZN7E16,2,To lose 20 pounds before the beginning of Summer 2021,physical health,,,1,,,,,,1,,
A110BZSDZN7E16,3,To try and pay off all of my credit cards before the beginning of Summer 2021,finance,,,,,,,,,,,
A1X388C6SDCDEY,1,I want to spend much more time reading my Bible and praying tp God.,religion,,,,,,,,,,,
A1X388C6SDCDEY,2,I have been trying to learn to play piano. ,skill development,,,,,,,,,,,
A1X388C6SDCDEY,3,I am striving to be a much better wife.,family,,,,,,,,,,,
A1X388C6SDCDEY,4,I want to manage my time better.,other,time management,,,,,,,,,,
A1BSVEBYDZ0AAU,1,My goal is to start doing cardio consistently at least 3 times per week.,physical health,,,,,,,1,,,,
A1BSVEBYDZ0AAU,2,My goal is to complete my scheduled weight training every day it's scheduled.,other,time management,,,,,,1,,,,
A1BSVEBYDZ0AAU,3,My goal is to tidy up my room on a weekly basis.,house work,,,,,,,,,,,
A1D2ZSPIHOI23K,1,My goal is to make deans list in final semester.,academic/school,,,,,,,,,,,
A1D2ZSPIHOI23K,2,My goal is to gain 15 pounds within 2 months.,physical health,,,1,,,,,,,,1
A1D2ZSPIHOI23K,3,My goal is to start dating and going out more.,social/relationship,,,,,,,,,,,
A2VGFS03KCCR1Q,1,I have a goal of achieving my ideal body shape over the next 3 months,physical health,,,1,,,,,,,,
A2VGFS03KCCR1Q,2,I have a goal of saving 50 dollars a month over the next 3 months,finance,,,,,,,,,,,
AYA1LRB27KSR1,1,To get settled into a new house,house work,,,,,,,,,,,
AYA1LRB27KSR1,2,To sell at least 15 cars a month,work/career development,,,,,,,,,,,
AYA1LRB27KSR1,3,To lose 20 more pounds ,physical health,,,1,,,,,,1,,
AYA1LRB27KSR1,4,To build up a savings,finance,,,,,,,,,,,
AYA1LRB27KSR1,5,To earn an extra $500 income from my regular income,finance,,,,,,,,,,,
A132GRVDGXPJGY,1,My goal is to finish installing deer fencing around my property within the next 3 months.,house work,,,,,,,,,,,
A132GRVDGXPJGY,2,My goal is to lower my A1C test results (diabetes) in by June.,physical health,,,,,,,,,,,1
A132GRVDGXPJGY,3,My goal is to build my greenhouse within the next 3 months.,house work,,,,,,,,,,,
A39H9RIYRB5ZYV,1,after rehab continue to strenghten my shoulders,physical health,,,,,,,,,,,1
A39H9RIYRB5ZYV,2,walk more to increase back stamina,physical health,,1,,,,,1,,,,
A39H9RIYRB5ZYV,3,eat more leafy vegetables,physical health,,,,,1,,,,,,
A39H9RIYRB5ZYV,4,get my child out of the house more,family,,,,,,,,,,,
A39H9RIYRB5ZYV,5,complete my garden ,house work,,,,,,,,,,,
A19YQU3ZZ8USPO,1,My goal is to create new content for Tiktok every other day.,leisure,,,,,,,,,,,
A19YQU3ZZ8USPO,2,"My goal is to create emotes, sub badges, and banners for Twitch weekly.",leisure,,,,,,,,,,,
A19YQU3ZZ8USPO,3,My goal is to stream at least once a week.,leisure,,,,,,,,,,,
A2EK1HDV4I4GSK,1,My goal is to lose 20 pounds in the next 90 days.,physical health,,,1,,,,,,1,,
A2EK1HDV4I4GSK,2,My goal is to save enough money to take my family to the beach this summer.,finance,,,,,,,,,,,
A11F3MA5FWH6SJ,1,My goal is to exercise twice a week at minimum. ,physical health,,,,,,,1,,,,
A11F3MA5FWH6SJ,2,My goal is to eat fruit or vegetables daily.,physical health,,,,,1,,,,,,
A11F3MA5FWH6SJ,3,My goal is to purchase a new air conditioner within the next three months.,finance,,,,,,,,,,,
AHKRGPN5D3I2G,1,To keep learing new skill on Premier Pro. I want to learn how to do better transitions.,skill development,,,,,,,,,,,
AHKRGPN5D3I2G,2,Finish writing my third book. By June.,work/career development,,,,,,,,,,,
AHKRGPN5D3I2G,3,Find a good place for my wedding. At least 2 possible locations within a month.,other,wedding,,,,,,,,,,
AHKRGPN5D3I2G,4,Improving my music sight reading skills. Continuously during the 3 months.,skill development,,,,,,,,,,,
AHKRGPN5D3I2G,5,Learn how to use Adobe Photoshop. The basics within 2 months.,skill development,,,,,,,,,,,
A1CI5U3BLQ2DDS,1,I plan to reduce my A1C by 2 points in 3 months.,physical health,,,,,,,,,,,1
A1CI5U3BLQ2DDS,2,I plan to stop eating sugar as much as possible for 3 months.,physical health,,,,,3,,,,,,
A1CI5U3BLQ2DDS,3,I plan to save $200 per month,finance,,,,,,,,,,,
A1CI5U3BLQ2DDS,4,I plan to reduce credit card bill by $150 per month.,finance,,,,,,,,,,,
A1CI5U3BLQ2DDS,5,I plan to do therapy exercises twice a week.,physical health,,,,,,,3,,,,
A302KOFOYLD89A,1,To successfully get both shots of the coronavirus vaccine within the next six months.,physical health,,,,,,,,,,,3
A302KOFOYLD89A,2,To earn one thousand dollars a month of income doing side work on sites like Mturk.,finance,,,,,,,,,,,
A302KOFOYLD89A,3,"To completely avoid eating any gluten in my diet, or at least under 20 PPM of gluten for every meal for the next six month",physical health,,,,,1,,,,,,
A3GI28OVLDI9ST,1,Finish and sell my van conversion in two months,finance,,,,,,,,,,,
A3GI28OVLDI9ST,2,lose 15 pounds in three months,physical health,,,1,,,,,,1,,
A3GI28OVLDI9ST,3,Make improvements to my home and get read to rent it out in five months,house work,,,,,,,,,,,
A3GI28OVLDI9ST,4,buy another home in six months,finance,,,,,,,,,,,
A3GI28OVLDI9ST,5,find a new girlfriend within three months,social/relationship,,,,,,,,,,,
A3PSV85ZUXP9VF,1,"My goal, over the next year, is to naturally bring down my sugar and cholesterol through diet and exercise alone.",,,,,,1,,1,,,,
A3PSV85ZUXP9VF,2,I want to purchase a new vehicle for my family within the next couple of months.,finance,,,,,,,,,,,
A3PSV85ZUXP9VF,3,I want to pay off all credit card debt before the Christmas season begins.,finance,,,,,,,,,,,
A2ZGAH6NOSU2PO,1,My goal is to get up to walking 5 miles each week in 3 months,physical health,,,,,,,1,,,,
A2ZGAH6NOSU2PO,2,My goal is save 500 dollars in my account in 3 months.,finance,,,,,,,,,,,
A2ZGAH6NOSU2PO,3,My goal is to increase my drinking of water from none to 64 ounces in 3 month.,physical health,,,,,,,,,,,1
A2ZGAH6NOSU2PO,4,My goal is to read half of the bible in 3 months.,religion,,,,,,,,,,,
A2ZGAH6NOSU2PO,5,My goal is to have my gardening spots in my yard complete in 3 months.,house work,,,,,,,,,,,
A30FIPRPFQRBO6,1,My goal is to lose 30 pounds in the next 3 months,physical health,,,1,,,,,,1,,
A30FIPRPFQRBO6,2,My goal is to exercise 3x /week,physical health,,,,,,,1,,,,
A30FIPRPFQRBO6,3,My goal is to increase my credit score,finance,,,,,,,,,,,
AKMOBFEEKW378,1,Drink 64 oz water every day,physical health,,,,,,,,,,,1
AKMOBFEEKW378,2,Exercise 5 times a week ,physical health,,,,,,,1,,,,
AKMOBFEEKW378,3,Write at least 5 hours a week ,leisure,,,,,,,,,,,
AKMOBFEEKW378,4,Pay off credit card ,finance,,,,,,,,,,,
AKMOBFEEKW378,5,Save money for new kitchen and living room floor ,finance,,,,,,,,,,,
A18SXC3JEN1O0U,1,I want to get more exercise.,physical health,,,,,,,1,,,,
A18SXC3JEN1O0U,2,I want to eat healthier.,physical health,,1,,,1,,,,,,
A198MSVO1VTAT5,1,finish painting my office,house work,,,,,,,,,,,
A198MSVO1VTAT5,2,finish painting the white trim on the exterior of my house,house work,,,,,,,,,,,
A198MSVO1VTAT5,3,pay off $1000 of debt in 3 months,finance,,,,,,,,,,,
A198MSVO1VTAT5,4,hang drywall and paint in laundry room ceiling,house work,,,,,,,,,,,
A1MJWY7UO3CDSM,1,My goal is to buy a house in the next 6 months.,finance,,,,,,,,,,,
A1MJWY7UO3CDSM,2,My goal is to lose 20 pounds in the next two months.,physical health,,,1,,,,1,,,,
A2CP6MLJVJYBO7,1,My goal is to earn at least $15 every day on MTurk.,finance,,,,,,,,,,,
A2CP6MLJVJYBO7,2,My goal is to save at least $20 every month. ,finance,,,,,,,,,,,
AQMLJYUQCSG22,1,My goal is to lose 15 pounds. I think it'll take about 2 months,physical health,,,1,,,,1,,,,
AQMLJYUQCSG22,2,My goal is to take a trip outside the U.S. I think it'll take 3 months. ,leisure,,,,,,,,,,,
AQMLJYUQCSG22,3,My goal is to buy a new computer. I think it'll take a month. ,finance,,,,,,,,,,,
A6JUD4NCQCDWG,1,My goal is to save enough by the end of the year to pay off all of my bills,finance,,,,,,,,,,,
A6JUD4NCQCDWG,2,My goal is to take a vacation in the summer.,leisure,,,,,,,,,,,
A2HQMB1GSEADL,1,Find a fence contractor and complete the fencing at rental house before end of May..,house work,,,,,,,,,,,
A2HQMB1GSEADL,2,Earn an average of $20/week at Mechanical Turk.,finance,,,,,,,,,,,
A2HQMB1GSEADL,3,Bring my weight down to 125 pounds by end of May.,physical health,,,1,,,,1,,,,
A2HQMB1GSEADL,4,"In May, return to watercolor class and practice an additional day each week.",skill development,,,,,,,,,,,
A2HQMB1GSEADL,5,"Read at least 3 books in April, May and June. ",leisure,,,,,,,,,,,
A1WS9UHL45VZ0X,1,To get nothing lower than an A- for spring quarter which ends in three months. ,academic/school,,,,,,,,,,,
A1WS9UHL45VZ0X,2,To eat a serving of fruits and vegetables every day.,physical health,,,,,1,,,,,,
A1WS9UHL45VZ0X,3,To get 60 minutes of exercise every day.,physical health,,,,,,,1,,,,
AADRZTXSE7211,1,I want to make at least an extra $75 a week to help address loss of income due to COVID.,finance,,,,,,,,,,,
AADRZTXSE7211,2,I want to lose 10 pounds in the next three months.,physical health,,,1,,,,,,1,,
