"MTurkCode","listNum","goal","goalType","variable","rating"
"A18JNQE5GZQIX5",3,"3","long-term","endTime",NA
"A18SXC3JEN1O0U",2,"1","recurrance","endTime",NA
"A18SXC3JEN1O0U",2,"2","recurrance","endTime",NA
"A196O7GQLD3S2J",3,"1","short-term","endTime","three_month"
"A196O7GQLD3S2J",3,"2","recurrance","endTime",NA
"A196O7GQLD3S2J",3,"3","recurrance","endTime",NA
"A198MSVO1VTAT5",4,"1","short-term","endTime","in_days"
"A198MSVO1VTAT5",4,"2","short-term","endTime","in_weeks"
"A198MSVO1VTAT5",4,"3","short-term","endTime","three_month"
"A198MSVO1VTAT5",4,"4","short-term","endTime","in_weeks"
"A19YQU3ZZ8USPO",3,"1","recurrance","endTime",NA
"A19YQU3ZZ8USPO",3,"2","short-term","endTime","two_month"
"A19YQU3ZZ8USPO",3,"3","recurrance","endTime",NA
"A1ABL45KAK12A5",5,"1","recurrance","endTime",NA
"A1ABL45KAK12A5",5,"2","recurrance","endTime",NA
"A1ABL45KAK12A5",5,"3","recurrance","endTime",NA
"A1ABL45KAK12A5",5,"4","long-term","endTime",NA
"A1ABL45KAK12A5",5,"5","recurrance","endTime",NA
"A1ADAWW4IHPCQ7",3,"1","long-term","endTime",NA
"A1ADAWW4IHPCQ7",3,"2","recurrance","endTime",NA
"A1ADAWW4IHPCQ7",3,"3","long-term","endTime",NA
"A1AIMKA54UBYIQ",2,"1","recurrance","endTime",NA
"A1AIMKA54UBYIQ",2,"2","recurrance","endTime",NA
"A1AZLJ3R5FQ9B7",3,"1","long-term","endTime",NA
"A1AZLJ3R5FQ9B7",3,"2","recurrance","endTime",NA
"A1AZLJ3R5FQ9B7",3,"3","recurrance","endTime",NA
"A1B5SSGMTAQ9B5",2,"1","short-term","endTime","three_month"
"A1B5SSGMTAQ9B5",2,"2","short-term","endTime","three_month"
"A1BG47GSHQ9WSU",2,"1","short-term","endTime","three_month"
"A1BG47GSHQ9WSU",2,"2","recurrance","endTime",NA
"A1BIJGB7XA0GME",3,"1","short-term","endTime","next_month"
"A1BIJGB7XA0GME",3,"2","short-term","endTime","three_month"
"A1BIJGB7XA0GME",3,"3","long-term","endTime",NA
"A1BSVEBYDZ0AAU",3,"1","recurrance","endTime",NA
"A1BSVEBYDZ0AAU",3,"2","recurrance","endTime",NA
"A1BSVEBYDZ0AAU",3,"3","recurrance","endTime",NA
"A1BWS5AD2T4NIR",5,"1","short-term","endTime","three_month"
"A1BWS5AD2T4NIR",5,"2","recurrance","endTime",NA
"A1BWS5AD2T4NIR",5,"3","recurrance","endTime",NA
"A1BWS5AD2T4NIR",5,"4","recurrance","endTime",NA
"A1BWS5AD2T4NIR",5,"5","long-term","endTime",NA
"A1CI5U3BLQ2DDS",5,"1","short-term","endTime","three_month"
"A1CI5U3BLQ2DDS",5,"2","long-term","endTime",NA
"A1CI5U3BLQ2DDS",5,"3","recurrance","endTime",NA
"A1CI5U3BLQ2DDS",5,"4","recurrance","endTime",NA
"A1CI5U3BLQ2DDS",5,"5","recurrance","endTime",NA
"A1CTUG0RUGCY48",1,"1","long-term","endTime",NA
"A1D2ZSPIHOI23K",3,"1","short-term","endTime","in_weeks"
"A1D2ZSPIHOI23K",3,"2","recurrance","endTime",NA
"A1D2ZSPIHOI23K",3,"3","short-term","endTime","next_month"
"A1D7IULWFI8PB1",3,"1","long-term","endTime",NA
"A1D7IULWFI8PB1",3,"2","short-term","endTime","three_month"
"A1D7IULWFI8PB1",3,"3","short-term","endTime","three_month"
"A1DD23J1WBGQUU",3,"1","recurrance","endTime",NA
"A1DD23J1WBGQUU",3,"2","recurrance","endTime",NA
"A1DD23J1WBGQUU",3,"3","long-term","endTime",NA
"A1EH9BPKYXFBS5",5,"1","short-term","endTime","three_month"
"A1EH9BPKYXFBS5",5,"2","recurrance","endTime",NA
"A1EH9BPKYXFBS5",5,"3","long-term","endTime",NA
"A1EH9BPKYXFBS5",5,"4","recurrance","endTime",NA
"A1EH9BPKYXFBS5",5,"5","long-term","endTime",NA
"A1F1TBDHPYAAXT",3,"1","short-term","endTime","three_month"
"A1F1TBDHPYAAXT",3,"2","short-term","endTime","three_month"
"A1F1TBDHPYAAXT",3,"3","recurrance","endTime",NA
"A1G187YBG0DVMQ",3,"1","short-term","endTime","in_weeks"
"A1G187YBG0DVMQ",3,"2","long-term","endTime",NA
"A1G187YBG0DVMQ",3,"3","recurrance","endTime",NA
"A1G5EPLJEGL381",2,"1","long-term","endTime",NA
"A1G5EPLJEGL381",2,"2","long-term","endTime",NA
"A1H5Q9HRH4RPZU",3,"1","recurrance","endTime",NA
"A1H5Q9HRH4RPZU",3,"2","long-term","endTime",NA
"A1H5Q9HRH4RPZU",3,"3","short-term","endTime","two_month"
"A1IBLFQ2E6VA2J",5,"1","short-term","endTime","three_month"
"A1IBLFQ2E6VA2J",5,"2","recurrance","endTime",NA
"A1IBLFQ2E6VA2J",5,"3","short-term","endTime","next_month"
"A1IBLFQ2E6VA2J",5,"4","recurrance","endTime",NA
"A1IBLFQ2E6VA2J",5,"5","long-term","endTime",NA
"A1IJ56N5Z4TT46",5,"1","recurrance","endTime",NA
"A1IJ56N5Z4TT46",5,"2","recurrance","endTime",NA
"A1IJ56N5Z4TT46",5,"3","short-term","endTime","three_month"
"A1IJ56N5Z4TT46",5,"4","short-term","endTime","three_month"
"A1IJ56N5Z4TT46",5,"5","recurrance","endTime",NA
"A1IL81UMEC9OJI",5,"1","long-term","endTime",NA
"A1IL81UMEC9OJI",5,"2","short-term","endTime","in_days"
"A1IL81UMEC9OJI",5,"3","short-term","endTime","two_month"
"A1IL81UMEC9OJI",5,"4","long-term","endTime",NA
"A1IL81UMEC9OJI",5,"5","long-term","endTime",NA
"A1J8TVICSRC70W",5,"1","short-term","endTime","three_month"
"A1J8TVICSRC70W",5,"2","recurrance","endTime",NA
"A1J8TVICSRC70W",5,"3","short-term","endTime","next_month"
"A1J8TVICSRC70W",5,"4","short-term","endTime","three_month"
"A1J8TVICSRC70W",5,"5","recurrance","endTime",NA
"A1J9Z2VOHTT1UZ",3,"1","recurrance","endTime",NA
"A1J9Z2VOHTT1UZ",3,"2","recurrance","endTime",NA
"A1J9Z2VOHTT1UZ",3,"3","recurrance","endTime",NA
"A1K8VUKRL53OX",5,"1","short-term","endTime","three_month"
"A1K8VUKRL53OX",5,"2","short-term","endTime","two_month"
"A1K8VUKRL53OX",5,"3","recurrance","endTime",NA
"A1K8VUKRL53OX",5,"4","long-term","endTime",NA
"A1K8VUKRL53OX",5,"5","short-term","endTime","three_month"
"A1KC342L9WAQ2",3,"1","short-term","endTime","two_month"
"A1KC342L9WAQ2",3,"2","short-term","endTime","next_month"
"A1KC342L9WAQ2",3,"3","recurrance","endTime",NA
"A1LJNQX4KBUXNP",3,"1","recurrance","endTime",NA
"A1LJNQX4KBUXNP",3,"2","recurrance","endTime",NA
"A1LJNQX4KBUXNP",3,"3","short-term","endTime","three_month"
"A1LS7GARU7CD08",3,"1","recurrance","endTime",NA
"A1LS7GARU7CD08",3,"2","recurrance","endTime",NA
"A1LS7GARU7CD08",3,"3","long-term","endTime",NA
"A1M8BYIP0KZJZX",5,"1","short-term","endTime","three_month"
"A1M8BYIP0KZJZX",5,"2","long-term","endTime",NA
"A1M8BYIP0KZJZX",5,"3","short-term","endTime","two_month"
"A1M8BYIP0KZJZX",5,"4","short-term","endTime","three_month"
"A1M8BYIP0KZJZX",5,"5","long-term","endTime",NA
"A1MJWY7UO3CDSM",2,"1","short-term","endTime","three_month"
"A1MJWY7UO3CDSM",2,"2","short-term","endTime","two_month"
"A1NVF1YLDLF563",3,"1","recurrance","endTime",NA
"A1NVF1YLDLF563",3,"2","recurrance","endTime",NA
"A1NVF1YLDLF563",3,"3","recurrance","endTime",NA
"A1O9PAK6THJ9Y7",2,"1","long-term","endTime",NA
"A1O9PAK6THJ9Y7",2,"2","long-term","endTime",NA
"A1OJV3R8BH73BD",3,"1","short-term","endTime","three_month"
"A1OJV3R8BH73BD",3,"2","short-term","endTime","three_month"
"A1OJV3R8BH73BD",3,"3","short-term","endTime","three_month"
"A1OR82RF1ZFWP",3,"1","recurrance","endTime",NA
"A1OR82RF1ZFWP",3,"2","short-term","endTime","three_month"
"A1OR82RF1ZFWP",3,"3","recurrance","endTime",NA
"A1P3I7YCWXF9YG",2,"1","long-term","endTime",NA
"A1P3I7YCWXF9YG",2,"2","recurrance","endTime",NA
"A1QT7BQZVOBSY0",4,"1","recurrance","endTime",NA
"A1QT7BQZVOBSY0",4,"2","short-term","endTime","two_month"
"A1QT7BQZVOBSY0",4,"3","recurrance","endTime",NA
"A1QT7BQZVOBSY0",4,"4","recurrance","endTime",NA
"A1R5W4RQZTROD8",4,"1","long-term","endTime",NA
"A1R5W4RQZTROD8",4,"2","recurrance","endTime",NA
"A1R5W4RQZTROD8",4,"3","recurrance","endTime",NA
"A1R5W4RQZTROD8",4,"4","recurrance","endTime",NA
"A1ROEDVMTO9Y3X",2,"1","short-term","endTime","three_month"
"A1ROEDVMTO9Y3X",2,"2","short-term","endTime","in_weeks"
"A1RQUOVV8PCXBM",5,"1","long-term","endTime",NA
"A1RQUOVV8PCXBM",5,"2","recurrance","endTime",NA
"A1RQUOVV8PCXBM",5,"3","short-term","endTime","three_month"
"A1RQUOVV8PCXBM",5,"4","recurrance","endTime",NA
"A1RQUOVV8PCXBM",5,"5","recurrance","endTime",NA
"A1RWNYJA5X25YH",5,"1","recurrance","endTime",NA
"A1RWNYJA5X25YH",5,"2","long-term","endTime",NA
"A1RWNYJA5X25YH",5,"3","recurrance","endTime",NA
"A1RWNYJA5X25YH",5,"4","short-term","endTime","three_month"
"A1RWNYJA5X25YH",5,"5","recurrance","endTime",NA
"A1SISJL5ST2PWH",3,"1","recurrance","endTime",NA
"A1SISJL5ST2PWH",3,"2","short-term","endTime","three_month"
"A1SISJL5ST2PWH",3,"3","short-term","endTime","three_month"
"A1SL72YBUW8Q8K",4,"1","recurrance","endTime",NA
"A1SL72YBUW8Q8K",4,"2","recurrance","endTime",NA
"A1SL72YBUW8Q8K",4,"3","short-term","endTime","three_month"
"A1SL72YBUW8Q8K",4,"4","recurrance","endTime",NA
"A1T83SZBP2DN65",2,"1","short-term","endTime","three_month"
"A1T83SZBP2DN65",2,"2","long-term","endTime",NA
"A1TPGXT718D68E",3,"1","short-term","endTime","three_month"
"A1TPGXT718D68E",3,"2","short-term","endTime","in_weeks"
"A1TPGXT718D68E",3,"3","short-term","endTime","next_month"
"A1U8LTCX5XYJ45",3,"1","long-term","endTime",NA
"A1U8LTCX5XYJ45",3,"2","long-term","endTime",NA
"A1U8LTCX5XYJ45",3,"3","long-term","endTime",NA
"A1VFRCYMWGWWCZ",5,"1","recurrance","endTime",NA
"A1VFRCYMWGWWCZ",5,"2","long-term","endTime",NA
"A1VFRCYMWGWWCZ",5,"3","recurrance","endTime",NA
"A1VFRCYMWGWWCZ",5,"4","recurrance","endTime",NA
"A1VFRCYMWGWWCZ",5,"5","long-term","endTime",NA
"A1VRG5HKZC0H0C",5,"1","short-term","endTime","in_weeks"
"A1VRG5HKZC0H0C",5,"2","short-term","endTime","three_month"
"A1VRG5HKZC0H0C",5,"3","short-term","endTime","two_month"
"A1VRG5HKZC0H0C",5,"4","recurrance","endTime",NA
"A1VRG5HKZC0H0C",5,"5","recurrance","endTime",NA
"A1W7I6FN183I8F",5,"1","recurrance","endTime",NA
"A1W7I6FN183I8F",5,"2","recurrance","endTime",NA
"A1W7I6FN183I8F",5,"3","short-term","endTime","three_month"
"A1W7I6FN183I8F",5,"4","recurrance","endTime",NA
"A1W7I6FN183I8F",5,"5","recurrance","endTime",NA
"A1W850QN9RK019",5,"1","long-term","endTime",NA
"A1W850QN9RK019",5,"2","short-term","endTime","two_month"
"A1W850QN9RK019",5,"3","long-term","endTime",NA
"A1W850QN9RK019",5,"4","short-term","endTime","two_month"
"A1W850QN9RK019",5,"5","recurrance","endTime",NA
"A1WJYF201K77BI",5,"1","recurrance","endTime",NA
"A1WJYF201K77BI",5,"2","recurrance","endTime",NA
"A1WJYF201K77BI",5,"3","recurrance","endTime",NA
"A1WJYF201K77BI",5,"4","recurrance","endTime",NA
"A1WJYF201K77BI",5,"5","recurrance","endTime",NA
"A1WQACYPLESVGL",5,"1","short-term","endTime","next_month"
"A1WQACYPLESVGL",5,"2","short-term","endTime","in_weeks"
"A1WQACYPLESVGL",5,"3","recurrance","endTime",NA
"A1WQACYPLESVGL",5,"4","recurrance","endTime",NA
"A1WQACYPLESVGL",5,"5","short-term","endTime","three_month"
"A1WS9UHL45VZ0X",3,"1","short-term","endTime","three_month"
"A1WS9UHL45VZ0X",3,"2","recurrance","endTime",NA
"A1WS9UHL45VZ0X",3,"3","recurrance","endTime",NA
"A1WZY0K6IE3ASG",5,"1","recurrance","endTime",NA
"A1WZY0K6IE3ASG",5,"2","recurrance","endTime",NA
"A1WZY0K6IE3ASG",5,"3","recurrance","endTime",NA
"A1WZY0K6IE3ASG",5,"4","recurrance","endTime",NA
"A1WZY0K6IE3ASG",5,"5","recurrance","endTime",NA
"A1X388C6SDCDEY",4,"1","recurrance","endTime",NA
"A1X388C6SDCDEY",4,"2","recurrance","endTime",NA
"A1X388C6SDCDEY",4,"3","recurrance","endTime",NA
"A1X388C6SDCDEY",4,"4","recurrance","endTime",NA
"A1XRWOK00HK1J4",4,"1","recurrance","endTime",NA
"A1XRWOK00HK1J4",4,"2","recurrance","endTime",NA
"A1XRWOK00HK1J4",4,"3","recurrance","endTime",NA
"A1XRWOK00HK1J4",4,"4","recurrance","endTime",NA
"A1XUZFDVKP95VC",2,"1","long-term","endTime",NA
"A1XUZFDVKP95VC",2,"2","short-term","endTime","in_weeks"
"A1YPOIURXB6ESR",4,"1","short-term","endTime","three_month"
"A1YPOIURXB6ESR",4,"2","recurrance","endTime",NA
"A1YPOIURXB6ESR",4,"3","short-term","endTime","three_month"
"A1YPOIURXB6ESR",4,"4","short-term","endTime","three_month"
"A1Z2ZGPJRGG0G3",3,"1","recurrance","endTime",NA
"A1Z2ZGPJRGG0G3",3,"2","recurrance","endTime",NA
"A1Z2ZGPJRGG0G3",3,"3","short-term","endTime","in_weeks"
"A1ZT0TLZZTT47M",5,"1","recurrance","endTime",NA
"A1ZT0TLZZTT47M",5,"2","recurrance","endTime",NA
"A1ZT0TLZZTT47M",5,"3","short-term","endTime","three_month"
"A1ZT0TLZZTT47M",5,"4","recurrance","endTime",NA
"A1ZT0TLZZTT47M",5,"5","recurrance","endTime",NA
"A1ZT30BGR3266K",2,"1","recurrance","endTime",NA
"A1ZT30BGR3266K",2,"2","recurrance","endTime",NA
"A207IHY6GERCFO",3,"1","recurrance","endTime",NA
"A207IHY6GERCFO",3,"2","short-term","endTime","three_month"
"A207IHY6GERCFO",3,"3","recurrance","endTime",NA
"A2196WCNDZULFS",3,"1","long-term","endTime",NA
"A2196WCNDZULFS",3,"2","long-term","endTime",NA
"A2196WCNDZULFS",3,"3","long-term","endTime",NA
"A21BXRUD15TQL8",3,"1","long-term","endTime",NA
"A21BXRUD15TQL8",3,"2","short-term","endTime","three_month"
"A21BXRUD15TQL8",3,"3","recurrance","endTime",NA
"A21ZYTE6WOKUA",4,"1","long-term","endTime",NA
"A21ZYTE6WOKUA",4,"2","long-term","endTime",NA
"A21ZYTE6WOKUA",4,"3","long-term","endTime",NA
"A21ZYTE6WOKUA",4,"4","short-term","endTime","three_month"
"A225BMTMXUR5F4",5,"1","short-term","endTime","two_month"
"A225BMTMXUR5F4",5,"2","recurrance","endTime",NA
"A225BMTMXUR5F4",5,"3","long-term","endTime",NA
"A225BMTMXUR5F4",5,"4","recurrance","endTime",NA
"A225BMTMXUR5F4",5,"5","recurrance","endTime",NA
"A22DDO8NILSX6O",4,"1","recurrance","endTime",NA
"A22DDO8NILSX6O",4,"2","recurrance","endTime",NA
"A22DDO8NILSX6O",4,"3","recurrance","endTime",NA
"A22DDO8NILSX6O",4,"4","recurrance","endTime",NA
"A22SZHZTF72TRM",4,"1","short-term","endTime","three_month"
"A22SZHZTF72TRM",4,"2","short-term","endTime","two_month"
"A22SZHZTF72TRM",4,"3","recurrance","endTime",NA
"A22SZHZTF72TRM",4,"4","recurrance","endTime",NA
"A248PLZABUKB62",5,"1","short-term","endTime","three_month"
"A248PLZABUKB62",5,"2","short-term","endTime","three_month"
"A248PLZABUKB62",5,"3","short-term","endTime","three_month"
"A248PLZABUKB62",5,"4","short-term","endTime","three_month"
"A248PLZABUKB62",5,"5","short-term","endTime","three_month"
"A255RBA8P0K0XV",5,"1","recurrance","endTime",NA
"A255RBA8P0K0XV",5,"2","long-term","endTime",NA
"A255RBA8P0K0XV",5,"3","recurrance","endTime",NA
"A255RBA8P0K0XV",5,"4","recurrance","endTime",NA
"A255RBA8P0K0XV",5,"5","long-term","endTime",NA
"A2615YW1YERQBO",3,"1","long-term","endTime",NA
"A2615YW1YERQBO",3,"2","long-term","endTime",NA
"A2615YW1YERQBO",3,"3","long-term","endTime",NA
"A26NGLGGFTATVN",2,"1","recurrance","endTime",NA
"A26NGLGGFTATVN",2,"2","recurrance","endTime",NA
"A26UAJWMMNN351",3,"1","short-term","endTime","in_weeks"
"A26UAJWMMNN351",3,"2","long-term","endTime",NA
"A26UAJWMMNN351",3,"3","short-term","endTime","three_month"
"A27INSDNTACWAM",4,"1","recurrance","endTime",NA
"A27INSDNTACWAM",4,"2","recurrance","endTime",NA
"A27INSDNTACWAM",4,"3","long-term","endTime",NA
"A27INSDNTACWAM",4,"4","long-term","endTime",NA
"A286W816CMIZL9",3,"1","long-term","endTime",NA
"A286W816CMIZL9",3,"2","recurrance","endTime",NA
"A286W816CMIZL9",3,"3","recurrance","endTime",NA
"A28J7H4TH29DC3",3,"1","short-term","endTime","three_month"
"A28J7H4TH29DC3",3,"2","recurrance","endTime",NA
"A28J7H4TH29DC3",3,"3","recurrance","endTime",NA
"A2ASTDMWBCFIP0",2,"1","short-term","endTime","three_month"
"A2ASTDMWBCFIP0",2,"2","short-term","endTime","three_month"
"A2AT6TSPPCR106",4,"1","recurrance","endTime",NA
"A2AT6TSPPCR106",4,"2","recurrance","endTime",NA
"A2AT6TSPPCR106",4,"3","long-term","endTime",NA
"A2AT6TSPPCR106",4,"4","recurrance","endTime",NA
"A2AZYU1CT24O0K",5,"1","short-term","endTime","three_month"
"A2AZYU1CT24O0K",5,"2","recurrance","endTime",NA
"A2AZYU1CT24O0K",5,"3","recurrance","endTime",NA
"A2AZYU1CT24O0K",5,"4","long-term","endTime",NA
"A2AZYU1CT24O0K",5,"5","recurrance","endTime",NA
"A2B0FLA55RH047",4,"1","long-term","endTime",NA
"A2B0FLA55RH047",4,"2","recurrance","endTime",NA
"A2B0FLA55RH047",4,"3","short-term","endTime","two_month"
"A2B0FLA55RH047",4,"4","recurrance","endTime",NA
"A2BEBDMQ7SI4IY",5,"1","short-term","endTime","next_month"
"A2BEBDMQ7SI4IY",5,"2","short-term","endTime","in_weeks"
"A2BEBDMQ7SI4IY",5,"3","recurrance","endTime",NA
"A2BEBDMQ7SI4IY",5,"4","long-term","endTime",NA
"A2BEBDMQ7SI4IY",5,"5","short-term","endTime","in_weeks"
"A2BJTPZLXIGO8D",3,"1","recurrance","endTime",NA
"A2BJTPZLXIGO8D",3,"2","recurrance","endTime",NA
"A2BJTPZLXIGO8D",3,"3","recurrance","endTime",NA
"A2CP6MLJVJYBO7",2,"1","recurrance","endTime",NA
"A2CP6MLJVJYBO7",2,"2","recurrance","endTime",NA
"A2CYMT8T33U6EE",5,"1","recurrance","endTime",NA
"A2CYMT8T33U6EE",5,"2","recurrance","endTime",NA
"A2CYMT8T33U6EE",5,"3","recurrance","endTime",NA
"A2CYMT8T33U6EE",5,"4","recurrance","endTime",NA
"A2CYMT8T33U6EE",5,"5","recurrance","endTime",NA
"A2DVV59R1CQU6T",3,"1","long-term","endTime",NA
"A2DVV59R1CQU6T",3,"2","recurrance","endTime",NA
"A2DVV59R1CQU6T",3,"3","recurrance","endTime",NA
"A2EK1HDV4I4GSK",2,"1","long-term","endTime",NA
"A2EK1HDV4I4GSK",2,"2","long-term","endTime",NA
"A2EMTSJS47K8SU",3,"1","long-term","endTime",NA
"A2EMTSJS47K8SU",3,"2","recurrance","endTime",NA
"A2EMTSJS47K8SU",3,"3","short-term","endTime","three_month"
"A2ESBX4C2Q6TQY",5,"1","short-term","endTime","in_weeks"
"A2ESBX4C2Q6TQY",5,"2","long-term","endTime",NA
"A2ESBX4C2Q6TQY",5,"3","long-term","endTime",NA
"A2ESBX4C2Q6TQY",5,"4","long-term","endTime",NA
"A2ESBX4C2Q6TQY",5,"5","recurrance","endTime",NA
"A2F5QCUTZU7KF7",3,"1","recurrance","endTime",NA
"A2F5QCUTZU7KF7",3,"2","long-term","endTime",NA
"A2F5QCUTZU7KF7",3,"3","recurrance","endTime",NA
"A2FP41BSPG0Y4A",5,"1","recurrance","endTime",NA
"A2FP41BSPG0Y4A",5,"2","recurrance","endTime",NA
"A2FP41BSPG0Y4A",5,"3","long-term","endTime",NA
"A2FP41BSPG0Y4A",5,"4","recurrance","endTime",NA
"A2FP41BSPG0Y4A",5,"5","short-term","endTime","next_month"
"A2GTBBZA2M82NR",4,"1","recurrance","endTime",NA
"A2GTBBZA2M82NR",4,"2","short-term","endTime","in_weeks"
"A2GTBBZA2M82NR",4,"3","recurrance","endTime",NA
"A2GTBBZA2M82NR",4,"4","recurrance","endTime",NA
"A2H0VR477QHYO7",4,"1","long-term","endTime",NA
"A2H0VR477QHYO7",4,"2","long-term","endTime",NA
"A2H0VR477QHYO7",4,"3","long-term","endTime",NA
"A2H0VR477QHYO7",4,"4","long-term","endTime",NA
"A2H6Q22X1V1FTX",3,"1","short-term","endTime","three_month"
"A2H6Q22X1V1FTX",3,"2","long-term","endTime",NA
"A2H6Q22X1V1FTX",3,"3","short-term","endTime","three_month"
"A2H92K2776A1IC",4,"1","short-term","endTime","three_month"
"A2H92K2776A1IC",4,"2","short-term","endTime","in_weeks"
"A2H92K2776A1IC",4,"3","short-term","endTime","two_month"
"A2H92K2776A1IC",4,"4","short-term","endTime","three_month"
"A2HJYX70UQW9XR",5,"1","short-term","endTime","three_month"
"A2HJYX70UQW9XR",5,"2","recurrance","endTime",NA
"A2HJYX70UQW9XR",5,"3","long-term","endTime",NA
"A2HJYX70UQW9XR",5,"4","recurrance","endTime",NA
"A2HJYX70UQW9XR",5,"5","recurrance","endTime",NA
"A2HQMB1GSEADL",5,"1","short-term","endTime","two_month"
"A2HQMB1GSEADL",5,"2","recurrance","endTime",NA
"A2HQMB1GSEADL",5,"3","short-term","endTime","two_month"
"A2HQMB1GSEADL",5,"4","recurrance","endTime",NA
"A2HQMB1GSEADL",5,"5","recurrance","endTime",NA
"A2IJEKMVEHQ90W",5,"1","recurrance","endTime",NA
"A2IJEKMVEHQ90W",5,"2","long-term","endTime",NA
"A2IJEKMVEHQ90W",5,"3","recurrance","endTime",NA
"A2IJEKMVEHQ90W",5,"4","recurrance","endTime",NA
"A2IJEKMVEHQ90W",5,"5","long-term","endTime",NA
"A2KOR4003SVNC5",3,"1","short-term","endTime","three_month"
"A2KOR4003SVNC5",3,"2","long-term","endTime",NA
"A2KOR4003SVNC5",3,"3","long-term","endTime",NA
"A2LT6KC1X51FVW",2,"1","recurrance","endTime",NA
"A2LT6KC1X51FVW",2,"2","recurrance","endTime",NA
"A2LU3430Q972IN",3,"1","short-term","endTime","two_month"
"A2LU3430Q972IN",3,"2","short-term","endTime","in_weeks"
"A2LU3430Q972IN",3,"3","short-term","endTime","two_month"
"A2NAKIXS3DVGAA",1,"1","recurrance","endTime",NA
"A2NHFSO7GMM8QR",2,"1","long-term","endTime",NA
"A2NHFSO7GMM8QR",2,"2","recurrance","endTime",NA
"A2O2Q0LVWOWJ1G",4,"1","long-term","endTime",NA
"A2O2Q0LVWOWJ1G",4,"2","short-term","endTime","three_month"
"A2O2Q0LVWOWJ1G",4,"3","short-term","endTime","in_weeks"
"A2O2Q0LVWOWJ1G",4,"4","short-term","endTime","in_weeks"
"A2PE32I58ANCDD",2,"1","recurrance","endTime",NA
"A2PE32I58ANCDD",2,"2","recurrance","endTime",NA
"A2R75YFKVALBXE",5,"1","long-term","endTime",NA
