"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"Earn an extra $500 every month to pay towards savings","Clarity",NA,NA,NA,NA,NA,4.83333333333333,4.83333333333333,NA
"Earn an extra $500 every month to pay towards savings","Consensus",NA,NA,NA,NA,NA,2.75,3.25,NA
"Earn an extra $500 every month to pay towards savings","External",NA,NA,NA,NA,NA,4.6,3.8,NA
"Earn an extra $500 every month to pay towards savings","Value",NA,NA,NA,NA,NA,4.77777777777778,4.55555555555556,NA
"Earn more money on the stock market","Clarity",4,NA,NA,NA,NA,NA,NA,3
"Earn more money on the stock market","Consensus",1.5,NA,NA,NA,NA,NA,NA,2.75
"Earn more money on the stock market","External",1,NA,NA,NA,NA,NA,NA,4.4
"Earn more money on the stock market","Value",3.44444444444444,NA,NA,NA,NA,NA,NA,4.5
"Eat at least 5 servings of fruits/vegetables 6 days a week.","Clarity",NA,NA,NA,NA,NA,5.33333333333333,5.83333333333333,NA
"Eat at least 5 servings of fruits/vegetables 6 days a week.","Consensus",NA,NA,NA,NA,NA,2.75,0.5,NA
"Eat at least 5 servings of fruits/vegetables 6 days a week.","External",NA,NA,NA,NA,NA,5,3,NA
"Eat at least 5 servings of fruits/vegetables 6 days a week.","Value",NA,NA,NA,NA,NA,4.44444444444444,4.44444444444444,NA
"Eat healthier meals.","Clarity",NA,NA,NA,4.66666666666667,NA,NA,NA,4.33333333333333
"Eat healthier meals.","Consensus",NA,NA,NA,2.75,NA,NA,NA,3
"Eat healthier meals.","External",NA,NA,NA,2.6,NA,NA,NA,4
"Eat healthier meals.","Value",NA,NA,NA,2.66666666666667,NA,NA,NA,4.25
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","Clarity",NA,NA,NA,NA,NA,6,NA,5.5
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","Consensus",NA,NA,NA,NA,NA,2.75,NA,3
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","External",NA,NA,NA,NA,NA,5.2,NA,3.8
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","Value",NA,NA,NA,NA,NA,4.66666666666667,NA,4.375
"eat more leafy vegetables","Clarity",NA,6.33333333333333,NA,NA,NA,5,NA,NA
"eat more leafy vegetables","Consensus",NA,2.5,NA,NA,NA,2.75,NA,NA
"eat more leafy vegetables","External",NA,3.2,NA,NA,NA,4.8,NA,NA
"eat more leafy vegetables","Value",NA,2.44444444444444,NA,NA,NA,4.22222222222222,NA,NA
"Eating healthy from now on.","Clarity",NA,NA,NA,NA,5.16666666666667,3.5,NA,NA
"Eating healthy from now on.","Consensus",NA,NA,NA,NA,4.5,3.5,NA,NA
"Eating healthy from now on.","External",NA,NA,NA,NA,4.6,5.6,NA,NA
"Eating healthy from now on.","Value",NA,NA,NA,NA,4.66666666666667,5.44444444444444,NA,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","Clarity",NA,NA,NA,NA,4.5,NA,5.16666666666667,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","Consensus",NA,NA,NA,NA,1.25,NA,2.75,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","External",NA,NA,NA,NA,6.2,NA,5.8,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","Value",NA,NA,NA,NA,4.88888888888889,NA,5.22222222222222,NA
"Every day I was to exercise more.","Clarity",NA,6.5,NA,NA,NA,NA,NA,NA
"Every day I was to exercise more.","Consensus",NA,2.5,NA,NA,NA,NA,NA,NA
"Every day I was to exercise more.","External",NA,3.2,NA,NA,NA,NA,NA,NA
"Every day I was to exercise more.","Value",NA,4,NA,NA,NA,NA,NA,NA
"every day weigh my food instead of estimating","Clarity",NA,NA,NA,5.5,NA,NA,6.16666666666667,NA
"every day weigh my food instead of estimating","Consensus",NA,NA,NA,2.25,NA,NA,0,NA
"every day weigh my food instead of estimating","External",NA,NA,NA,3,NA,NA,2.2,NA
"every day weigh my food instead of estimating","Value",NA,NA,NA,2,NA,NA,3,NA
"Every week I want to save money and grow my bank account.","Clarity",NA,6.5,NA,NA,NA,3.66666666666667,NA,NA
"Every week I want to save money and grow my bank account.","Consensus",NA,2,NA,NA,NA,3.5,NA,NA
"Every week I want to save money and grow my bank account.","External",NA,2,NA,NA,NA,4.4,NA,NA
"Every week I want to save money and grow my bank account.","Value",NA,4.44444444444444,NA,NA,NA,4.77777777777778,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","Clarity",NA,NA,NA,5.83333333333333,NA,5.66666666666667,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","Consensus",NA,NA,NA,3.25,NA,2,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","External",NA,NA,NA,3.2,NA,4,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","Value",NA,NA,NA,3.11111111111111,NA,3.11111111111111,NA,NA
"Exercise 30 mins daily","Clarity",5.33333333333333,NA,NA,5.16666666666667,NA,NA,NA,NA
"Exercise 30 mins daily","Consensus",3.25,NA,NA,3.25,NA,NA,NA,NA
"Exercise 30 mins daily","External",1.4,NA,NA,3,NA,NA,NA,NA
"Exercise 30 mins daily","Value",3,NA,NA,3.33333333333333,NA,NA,NA,NA
"Exercise 5 times a week","Clarity",5.5,NA,NA,NA,NA,NA,5.83333333333333,NA
"Exercise 5 times a week","Consensus",3.75,NA,NA,NA,NA,NA,1.5,NA
"Exercise 5 times a week","External",1.6,NA,NA,NA,NA,NA,2.4,NA
"Exercise 5 times a week","Value",3,NA,NA,NA,NA,NA,4.66666666666667,NA
"Exercise at least 4 times a week.","Clarity",6,NA,NA,NA,7.66666666666667,NA,NA,NA
"Exercise at least 4 times a week.","Consensus",2.25,NA,NA,NA,3,NA,NA,NA
"Exercise at least 4 times a week.","External",3,NA,NA,NA,4,NA,NA,NA
"Exercise at least 4 times a week.","Value",4.33333333333333,NA,NA,NA,4.22222222222222,NA,NA,NA
"Exercise for 60 minutes a day 5 times a week","Clarity",NA,6.66666666666667,NA,NA,NA,NA,5.83333333333333,NA
"Exercise for 60 minutes a day 5 times a week","Consensus",NA,-0.25,NA,NA,NA,NA,1.25,NA
"Exercise for 60 minutes a day 5 times a week","External",NA,4,NA,NA,NA,NA,3,NA
"Exercise for 60 minutes a day 5 times a week","Value",NA,4.66666666666667,NA,NA,NA,NA,4.33333333333333,NA
"Exercise more regularly to lose weight","Clarity",4.83333333333333,NA,NA,4.83333333333333,NA,NA,NA,NA
"Exercise more regularly to lose weight","Consensus",3.5,NA,NA,3.25,NA,NA,NA,NA
"Exercise more regularly to lose weight","External",1.2,NA,NA,3.2,NA,NA,NA,NA
"Exercise more regularly to lose weight","Value",2.77777777777778,NA,NA,3.33333333333333,NA,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","Clarity",5.66666666666667,NA,NA,NA,6.16666666666667,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","Consensus",3.25,NA,NA,NA,3.5,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","External",3.2,NA,NA,NA,5.4,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","Value",2.66666666666667,NA,NA,NA,4.66666666666667,NA,NA,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","Clarity",NA,NA,3.66666666666667,NA,NA,NA,5.33333333333333,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","Consensus",NA,NA,2,NA,NA,NA,0,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","External",NA,NA,3,NA,NA,NA,3.4,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","Value",NA,NA,4,NA,NA,NA,3,NA
"Find a good place for my wedding. At least 2 possible locations within a month.","Clarity",NA,NA,NA,NA,NA,NA,5,5.33333333333333
"Find a good place for my wedding. At least 2 possible locations within a month.","Consensus",NA,NA,NA,NA,NA,NA,1.75,0.75
"Find a good place for my wedding. At least 2 possible locations within a month.","External",NA,NA,NA,NA,NA,NA,4.2,4.6
"Find a good place for my wedding. At least 2 possible locations within a month.","Value",NA,NA,NA,NA,NA,NA,4.55555555555556,4.125
"Find a new full-time job","Clarity",4.83333333333333,NA,NA,NA,NA,3.33333333333333,NA,NA
"Find a new full-time job","Consensus",4.25,NA,NA,NA,NA,2.25,NA,NA
"Find a new full-time job","External",4.8,NA,NA,NA,NA,5.4,NA,NA
"Find a new full-time job","Value",3.55555555555556,NA,NA,NA,NA,4.66666666666667,NA,NA
"find a new girlfriend within three months","Clarity",NA,NA,NA,4.83333333333333,NA,NA,NA,4.33333333333333
"find a new girlfriend within three months","Consensus",NA,NA,NA,0,NA,NA,NA,0.5
"find a new girlfriend within three months","External",NA,NA,NA,2.8,NA,NA,NA,5.4
"find a new girlfriend within three months","Value",NA,NA,NA,3.75,NA,NA,NA,4
"find love","Clarity",2.66666666666667,NA,NA,NA,NA,NA,3.33333333333333,NA
"find love","Consensus",2,NA,NA,NA,NA,NA,3,NA
"find love","External",1.4,NA,NA,NA,NA,NA,3.8,NA
"find love","Value",4.55555555555556,NA,NA,NA,NA,NA,6,NA
"find more online contract income","Clarity",NA,5.66666666666667,NA,NA,NA,NA,NA,3.66666666666667
"find more online contract income","Consensus",NA,2,NA,NA,NA,NA,NA,2.25
"find more online contract income","External",NA,4,NA,NA,NA,NA,NA,3.2
"find more online contract income","Value",NA,4,NA,NA,NA,NA,NA,3.25
"Finish and sell my van conversion in two months","Clarity",NA,NA,NA,NA,4.66666666666667,NA,5,NA
"Finish and sell my van conversion in two months","Consensus",NA,NA,NA,NA,1.5,NA,0.25,NA
"Finish and sell my van conversion in two months","External",NA,NA,NA,NA,5,NA,3,NA
"Finish and sell my van conversion in two months","Value",NA,NA,NA,NA,5.11111111111111,NA,3.66666666666667,NA
"finish painting my office","Clarity",3.33333333333333,NA,NA,NA,6.5,NA,NA,NA
"finish painting my office","Consensus",-0.5,NA,NA,NA,-0.5,NA,NA,NA
"finish painting my office","External",4.4,NA,NA,NA,3.6,NA,NA,NA
"finish painting my office","Value",2,NA,NA,NA,3,NA,NA,NA
"finish painting the white trim on the exterior of my house","Clarity",NA,NA,5,NA,NA,5.83333333333333,NA,NA
"finish painting the white trim on the exterior of my house","Consensus",NA,NA,0,NA,NA,1.5,NA,NA
"finish painting the white trim on the exterior of my house","External",NA,NA,3.6,NA,NA,5,NA,NA
"finish painting the white trim on the exterior of my house","Value",NA,NA,2.33333333333333,NA,NA,3.66666666666667,NA,NA
"Finish Reading the Bible for my first time through","Clarity",NA,NA,NA,NA,NA,5.83333333333333,6.66666666666667,NA
"Finish Reading the Bible for my first time through","Consensus",NA,NA,NA,NA,NA,2.5,1,NA
"Finish Reading the Bible for my first time through","External",NA,NA,NA,NA,NA,5.8,4.75,NA
"Finish Reading the Bible for my first time through","Value",NA,NA,NA,NA,NA,3.22222222222222,3.11111111111111,NA
"finish reading the Legends of the Dragonrealm series","Clarity",NA,NA,NA,NA,NA,5.4,NA,5.5
"finish reading the Legends of the Dragonrealm series","Consensus",NA,NA,NA,NA,NA,2,NA,-0.75
"finish reading the Legends of the Dragonrealm series","External",NA,NA,NA,NA,NA,3,NA,1.4
"finish reading the Legends of the Dragonrealm series","Value",NA,NA,NA,NA,NA,3.875,NA,2.625
"Finish writing my third book. By June.","Clarity",NA,NA,NA,NA,6.16666666666667,5.33333333333333,NA,NA
"Finish writing my third book. By June.","Consensus",NA,NA,NA,NA,0.5,1.5,NA,NA
"Finish writing my third book. By June.","External",NA,NA,NA,NA,4.2,4.4,NA,NA
"Finish writing my third book. By June.","Value",NA,NA,NA,NA,4.77777777777778,4.33333333333333,NA,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","Clarity",NA,NA,NA,NA,7.66666666666667,NA,6.33333333333333,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","Consensus",NA,NA,NA,NA,1.25,NA,0.25,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","External",NA,NA,NA,NA,1.6,NA,2.6,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","Value",NA,NA,NA,NA,2.33333333333333,NA,3.55555555555556,NA
"fostering relationship with girlfriend","Clarity",NA,NA,NA,NA,4.4,NA,4.5,NA
"fostering relationship with girlfriend","Consensus",NA,NA,NA,NA,2.25,NA,2.25,NA
"fostering relationship with girlfriend","External",NA,NA,NA,NA,4,NA,4,NA
"fostering relationship with girlfriend","Value",NA,NA,NA,NA,4.55555555555556,NA,4.88888888888889,NA
"Gain a new skill","Clarity",NA,NA,NA,5.16666666666667,NA,NA,NA,3.33333333333333
"Gain a new skill","Consensus",NA,NA,NA,2,NA,NA,NA,1.75
"Gain a new skill","External",NA,NA,NA,1.8,NA,NA,NA,1.75
"Gain a new skill","Value",NA,NA,NA,2.88888888888889,NA,NA,NA,2.75
"Get a better paying job","Clarity",NA,NA,NA,4,NA,NA,NA,3.83333333333333
"Get a better paying job","Consensus",NA,NA,NA,3.5,NA,NA,NA,4
"Get a better paying job","External",NA,NA,NA,4.2,NA,NA,NA,5.2
"Get a better paying job","Value",NA,NA,NA,3.88888888888889,NA,NA,NA,5.125
"Get a job. I need a job to get more money.","Clarity",NA,NA,NA,NA,6.16666666666667,NA,NA,4.33333333333333
"Get a job. I need a job to get more money.","Consensus",NA,NA,NA,NA,4,NA,NA,4
"Get a job. I need a job to get more money.","External",NA,NA,NA,NA,5.6,NA,NA,6.2
"Get a job. I need a job to get more money.","Value",NA,NA,NA,NA,6,NA,NA,5.75
"get Covid 19 vaccine asap","Clarity",NA,NA,6.66666666666667,NA,NA,NA,NA,5.16666666666667
"get Covid 19 vaccine asap","Consensus",NA,NA,1.5,NA,NA,NA,NA,3.25
"get Covid 19 vaccine asap","External",NA,NA,5.8,NA,NA,NA,NA,5.2
"get Covid 19 vaccine asap","Value",NA,NA,5.22222222222222,NA,NA,NA,NA,3.75
"get in better shape overall","Clarity",NA,NA,NA,4.66666666666667,4.83333333333333,NA,NA,NA
