"MTurkCode","goal_order","content","goals","listNum","total_goal","goalType","affordance","approach_avoidance_R","attainability","attainment_maintenance_R","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commitment","commonality","conflict","connectedness","construal_level","control","difficulty","effort","end_state_specificity_R","external_importance","external_motivation","failure","frequency_R","ideal_motivation","identified_motivation","implementation_intention","importance","initial_time_R","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","other_resources","ought_motivation","procrastination","regret","self_resources","social_desirability","specificity","temporal_duration","urgency","visibility","total_fac","total_con","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","priority","progress_base","satisfaction_base","Extraversion_mean","Agreeableness_mean","Conscientiousness_mean","Neuroticism_mean","OpenMindedness_mean","BSCS_mean","GSE_mean","GS_mean","LET_mean","PS_mean","RSE_mean","SWL_mean","PSS_mean","K10_mean","BAS_drive","BAS_funSeeking","BAS_rewardResponse","BIS","GAT_disengagement","GAT_reengagement","age","gender","gender_4_TEXT","race","ethnicity","occupation","education","marital_status","income","subjectiveSES","three_month_goals","Value_4","Clarity_4","External_4","Consensus_4","Value_6","External_6","Attainability_6","Consensus_6","Measurability_6","Instrumentality_6","endTime","initial_time","AR_F1","commitment_F1","effort_F1","plan_F1","progress_F1","resources_other_F1","resources_self_F1","satisfaction_F1","status_F1","urgency_F1","AR_F2","commitment_F2","effort_F2","plan_F2","progress_F2","resources_other_F2","resources_self_F2","satisfaction_F2","status_F2","urgency_F2","AR_F3","commitment_F3","effort_F3","plan_F3","progress_F3","resources_other_F3","resources_self_F3","satisfaction_F3","status_F3","urgency_F3","terminate_time","ACRISS_F1","ACRISS_F2","ACRISS_F3","final_time","miss_final","all_progress","progress_final","satisfaction_final","status_final","status","time_point","affordance_post","approach_avoidance_post","attainability_post","attainment_maintenance_post","attractiveness_achievement_post","attractiveness_progress_post","basic_needs_post","clarity_post","commonality_post","conflict_post","connectedness_post","construal_level_post","control_post","difficulty_post","end_state_specificity_post","external_importance_post","external_motivation_post","frequency_post","ideal_motivation_post","identified_motivation_post","importance_post","instrumentality_post","intrinsic_motivation_post","introjected_motivation_post","meaningfulness_post","measurability_post","ought_motivation_post","social_desirability_post","specificity_post","temporal_duration_post","visibility_post","adjusted_goals_F1","adjusted_goals_F2","adjusted_goals_F3","adjust_num","post_timePoint","Value_4_post","Clarity_4_post","External_4_post","Consensus_4_post","Value_6_post","External_6_post","Attainability_6_post","Consensus_6_post","Measurability_6_post","Instrumentality_6_post"
"A1F1TBDHPYAAXT",2,"physical health","Lose 20 pounds in 3 months by getting my weight below 220",3,3,"short-term",7,7,6,7,7,7,7,7,7,6,1,7,6,7,7,7,3,7,7,3,1,7,7,7,7,6,7,2,4,7,7,7,5,6,5,7,7,7,3,7,7,3,1,4,4.24,1,0,4,4.24,1,0,3,3,1,0,4,3,4.66666666666667,5,1.33333333333333,3,4.53846153846154,3.8,4.875,4.5,3.65,2.8,5.4,0.3,1,3,1.5,3.4,1.71428571428571,3.25,4,71,1,NA,"5",2,"Retired - Production/Planning Manager",4,4,3,4,"",6.9,5.71428571428571,6,4.5,6.85714285714286,5.16666666666667,3.25,4.5,7,7,"three_month",3,1,7,6,6,4,6,7,7,"continued",6,8,5,4,5,4,6,5,3,"continued",3,4,6,5,6,6,3,7,5,"continued",6,NA,1.5,2.33333333333333,2,"F3",FALSE,TRUE,6,5,"continued","continued","F3",7,1,8,1,6,5,6,7,3,1,7,7,7,7,1,7,2,1,5,7,7,7,4,2,6,7,4,7,7,3,7,NA,NA,NA,0,"F3",6.4,6,4.4,3,6.14285714285714,3.83333333333333,3.75,3,7,7
"A1F1TBDHPYAAXT",3,"finance","Buy $500 of silver either physical or ETF's per month",3,3,"recurrance",6,7,10,7,7,7,7,7,6,2,1,1,4,7,4,4,3,3,4,1,1,5,7,7,6,5,6,6,1,6,7,6,1,1,6,7,4,7,4,4,4,3,1,1,0,1,0,1,0,1,0,0,0,3,NA,NA,3,4.66666666666667,5,1.33333333333333,3,4.53846153846154,3.8,4.875,4.5,3.65,2.8,5.4,0.3,1,3,1.5,3.4,1.71428571428571,3.25,4,71,1,NA,"5",2,"Retired - Production/Planning Manager",4,4,3,4,"",5.3,6.14285714285714,2.6,1.75,6,2.33333333333333,4.75,1.75,7,4.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"completed","F3",7,1,11,1,6,6,5,6,2,1,1,6,7,4,1,4,2,2,5,6,6,5,4,1,4,7,4,6,7,3,7,NA,NA,NA,0,"F3",4.9,6.28571428571429,3.6,2.25,5.57142857142857,3.16666666666667,5,2.25,7,4.33333333333333
"AFMAFX0P2YRRV",1,"house work","My goal is to replace the struts on my jeep with in the end of next month",1,1,"short-term",4,7,11,1,5,6,7,7,5,4,1,4,3,7,4,4,NA,4,7,1,2,1,7,7,5,6,4,1,4,4,7,4,1,4,7,7,4,7,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4.33333333333333,2.66666666666667,3,4.66666666666667,3.07692307692308,3.1,3.75,4.5,2.95,2.1,5,2.4,4,3.25,3.5,3.6,2.71428571428571,2,3,31,1,NA,"5",2,"Mturker",2,2,1,2,"",4.3,6,4.2,3.5,4.42857142857143,3.66666666666667,4.5,3.5,7,5,"in_weeks",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the goal is to still fix it just had other expenses come up that prevented me from fulfilling that goal",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A38BO0BRCQX6OV",1,"physical health","To lose about 20 pounds ",3,3,"long-term",7,6,6,1,6,6,7,5,6,7,2,4,6,6,7,5,2,4,1,2,1,7,6,5,6,6,6,5,5,4,6,5,3,5,5,6,6,7,3,5,5,3.83,1.67,2.5,2.12,1,0,3.5,0.71,1,0,1.5,2.5,2,0,1,3.33333333333333,3.33333333333333,3.66666666666667,2.33333333333333,4.33333333333333,3.46153846153846,3.4,4.375,4.5,3.75,2.5,6,1.4,1.2,4,3.25,4,2.71428571428571,2,3.83333333333333,46,2,NA,"3",2,"Optician",4,1,5,7,"In the next 3 months i plan to have lost at least 5-10 pounds about almost half of my overall goal",5.8,5,3.6,3.75,5.85714285714286,3.33333333333333,2.75,3.75,6.5,5.33333333333333,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A38BO0BRCQX6OV",2,"finance","To save up an additional 10k ",3,3,"long-term",6,4,8,7,6,6,3,6,5,5,1,6,7,7,6,6,3,6,2,1,1,6,5,6,6,6,7,7,2,4,7,5,1,4,4,7,7,7,3,5,5,3.83,1.67,5,1.41,1,0,4.5,0.71,3,2.83,4,1.5,3,1,5,3.33333333333333,3.33333333333333,3.66666666666667,2.33333333333333,4.33333333333333,3.46153846153846,3.4,4.375,4.5,3.75,2.5,6,1.4,1.2,4,3.25,4,2.71428571428571,2,3.83333333333333,46,2,NA,"3",2,"Optician",4,1,5,7,"In the next three months i plan to have saved at least $2500 ",5.9,5.71428571428571,3.2,2,5.71428571428571,2.83333333333333,3.5,2,7,6.66666666666667,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A38BO0BRCQX6OV",3,"house work","To get more organized & orderly at work and at home",3,3,"recurrance",6,4,6,1,7,7,7,5,7,6,1,6,5,7,7,7,1,NA,1,3,1,7,7,5,6,8,7,1,4,5,6,5,2,6,7,5,4,7,4,7,4,3.83,1.67,4,1.41,3,2.83,3.5,3.54,1,0,1,2.5,1,1,4,3.33333333333333,3.33333333333333,3.66666666666667,2.33333333333333,4.33333333333333,3.46153846153846,3.4,4.375,4.5,3.75,2.5,6,1.4,1.2,4,3.25,4,2.71428571428571,2,3.83333333333333,46,2,NA,"3",2,"Optician",4,1,5,7,"",6.4,5.14285714285714,NA,4,6.28571428571429,NA,2.5,4,6.5,6.66666666666667,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIA7RZSAONU5M",1,"physical health","I want to eat healthier at least once a day, every day.",3,3,"recurrance",3,7,6,1,6,6,6,3,5,7,2,6,1,6,7,2,3,4,5,3,1,5,5,2,5,8,6,2,3,3,4,6,3,6,5,4,7,3,1,4,5,5.5,2.5,4.5,0.71,2.5,0.71,6,1.41,3,1.41,2,3,2,2,2,1,2.66666666666667,2,5,4.33333333333333,1.76923076923077,2.2,1.875,2.33333333333333,2.3,1.1,2.8,3.5,3.6,1.75,1.75,3.4,4,4,2.83333333333333,36,2,NA,"5",2,"Food Server",4,2,3,3,"",5,3.28571428571429,4,4.5,4.42857142857143,3.66666666666667,1.25,4.5,3.5,6,NA,1,2,4,4,5,5,6,6,4,"continued",6,5,3,3,3,3,5,5,2,"continued",3,5,2,2,2,2,5,3,1,"continued",5,NA,3.5,4,4,"F3",FALSE,TRUE,2,1,"continued","continued","F3",2,1,2,6,6,6,7,3,7,1,6,2,6,7,1,4,4,2,6,5,5,5,2,4,3,4,2,7,5,2,4,NA,NA,NA,0,"F3",5.1,3,3.6,4.75,4.71428571428571,3.16666666666667,0,4.75,4.5,5.66666666666667
"AIA7RZSAONU5M",2,"physical health","I want to exercise at least twice a week, every week.",3,3,"recurrance",3,7,2,1,6,6,6,3,4,7,1,6,1,7,7,6,3,6,5,3,1,5,5,2,6,8,6,2,4,4,7,5,3,7,6,3,7,6,2,4,5,5.5,2.5,6,1.41,3,1.41,4.5,0.71,2.5,0.71,3,2,3,1,1,1,2.66666666666667,2,5,4.33333333333333,1.76923076923077,2.2,1.875,2.33333333333333,2.3,1.1,2.8,3.5,3.6,1.75,1.75,3.4,4,4,2.83333333333333,36,2,NA,"5",2,"Food Server",4,2,3,3,"",5.2,3.85714285714286,4.6,4.5,4.71428571428571,4,0.25,4.5,6.5,6.33333333333333,NA,1,5,3,3,4,2,6,5,2,"continued",4,5,1,1,1,0,4,4,1,"abandoned",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",4,4,NA,"F2",FALSE,NA,0,1,"abandoned","abandoned","F2",3,1,2,4,6,6,7,4,7,2,6,1,7,7,2,5,3,2,4,5,4,5,2,5,4,6,3,6,6,2,4,NA,NA,NA,0,"F2",4.8,3.71428571428571,4,4.5,4.28571428571429,3.66666666666667,0.5,4.5,6,6
"AIA7RZSAONU5M",3,"physical health","I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day. ",3,3,"recurrance",2,7,3,1,7,6,7,7,7,2,1,6,1,7,7,4,3,6,4,3,1,6,7,7,7,7,7,2,5,4,7,6,5,6,7,4,6,7,1,7,7,5.5,2.5,6,1.41,2,0,6,1.41,2,0,4,4,1,0,1,1,2.66666666666667,2,5,4.33333333333333,1.76923076923077,2.2,1.875,2.33333333333333,2.3,1.1,2.8,3.5,3.6,1.75,1.75,3.4,4,4,2.83333333333333,36,2,NA,"5",2,"Food Server",4,2,3,3,"",5.8,4.57142857142857,5.4,3.25,5.42857142857143,4.66666666666667,1.25,3.25,7,6.66666666666667,NA,2,4,5,4,5,7,6,6,5,"continued",6,2,4,4,5,7,6,5,5,"continued",4,6,3,4,5,4,5,4,3,"continued",5,NA,3,3,3.66666666666667,"F3",FALSE,TRUE,4,3,"continued","continued","F3",5,1,4,7,6,6,7,5,4,1,5,2,6,6,1,4,4,2,6,6,6,5,2,3,4,6,2,5,6,2,5,NA,NA,NA,0,"F3",5.2,4.42857142857143,3.6,3.5,5.14285714285714,3.16666666666667,2,3.5,6,5.33333333333333
"A2615YW1YERQBO",1,"physical health","I have a goal to have my shoulder problem healed in 3 months",3,3,"long-term",5,7,4,7,4,4,5,4,5,1,3,2,4,4,4,4,1,3,4,1,2,4,3,3,4,4,3,2,2,3,4,3,4,2,3,3,4,6,3,3,3,2.5,2.83,4,1.41,2,0,2,1.41,4,1.41,2,-2,3,3,5,3,3.66666666666667,4.66666666666667,2,4,3.61538461538462,2.9,3.25,3.83333333333333,3.225,2.1,4.4,1.1,1.1,1.5,2,2.6,2.28571428571429,3.25,3.16666666666667,55,1,NA,"5",2,"electrical technician",3,1,1,4,"I have a ""frozen shoulder"", which limits my range of motion in that joint. The milestone that I want to reach is the ""frozen"" part eliminated, even if there is still pain.",3.5,3.42857142857143,3.2,2,3.71428571428571,3.16666666666667,2.25,2,5,3,NA,5,2,6,5,6,6,5,4,5,"continued",5,2,7,4,6,9,6,6,6,"continued",5,4,5,5,4,6,5,5,5,"continued",3,NA,2.16666666666667,1.5,2.5,"F3",FALSE,TRUE,6,5,"continued","continued","F3",5,2,7,3,4,5,5,5,2,2,3,3,6,3,3,2,5,1,4,5,4,4,4,4,4,4,5,4,5,3,5,NA,NA,NA,0,"F3",3.9,4.28571428571429,4.2,1.75,4.14285714285714,3.83333333333333,3.5,1.75,4.5,4.33333333333333
"A2615YW1YERQBO",2,"house work","My goal is to get my roof repaired in 2 years.",3,3,"long-term",3,7,5,6,5,5,4,4,3,4,2,2,5,6,4,3,3,2,4,1,2,2,5,4,4,7,3,1,6,2,6,3,3,2,4,3,4,6,4,3,3,2.5,2.83,1.5,0.71,3.5,2.12,3,2.83,2.5,0.71,-2,0.5,2,1,3,3,3.66666666666667,4.66666666666667,2,4,3.61538461538462,2.9,3.25,3.83333333333333,3.225,2.1,4.4,1.1,1.1,1.5,2,2.6,2.28571428571429,3.25,3.16666666666667,55,1,NA,"5",2,"electrical technician",3,1,1,4,"I will save money, have inspections done, get appraisals and/or study on how to do this replacement myself.",3.7,4,3.6,2.75,4,3.33333333333333,2,2.75,6,3.66666666666667,NA,2,4,3,3,3,1,3,3,3,"continued",3,4,3,2,2,2,3,3,4,"continued",3,2,3,2,3,2,2,3,3,"continued",3,NA,2.5,2.33333333333333,2.66666666666667,"F3",FALSE,TRUE,2,3,"continued","continued","F3",4,2,4,2,5,5,3,4,4,3,3,3,5,4,3,3,4,1,3,5,4,2,2,5,3,6,3,5,6,4,3,NA,NA,NA,0,"F3",3.7,3.71428571428571,3.6,2.5,4,3.5,2,2.5,6,3.33333333333333
"A2615YW1YERQBO",3,"finance","Another goal is to be financially independent in 5 years.",3,3,"long-term",4,7,4,7,5,5,5,3,5,5,1,6,7,7,5,4,1,3,3,1,NA,5,5,4,5,7,7,3,5,4,4,2,2,2,4,4,6,4,4,4,4,2.5,2.83,2,1.41,3,0,2.5,0.71,2,0,-1,0.5,1,2,3,3,3.66666666666667,4.66666666666667,2,4,3.61538461538462,2.9,3.25,3.83333333333333,3.225,2.1,4.4,1.1,1.1,1.5,2,2.6,2.28571428571429,3.25,3.16666666666667,55,1,NA,"5",2,"electrical technician",3,1,1,4,"I will continue to live frugally and get a job that pays decently",5.4,3.57142857142857,3.4,3.25,5.14285714285714,3,1.5,3.25,4,6.66666666666667,NA,2,4,4,4,3,2,4,4,3,"continued",3,4,3,3,2,2,3,3,3,"continued",3,2,3,3,4,3,3,5,4,"continued",3,NA,2.5,2.5,2.5,"F3",FALSE,TRUE,3,4,"continued","continued","F3",4,2,4,2,6,6,5,3,4,3,3,6,6,6,3,3,4,1,5,5,6,5,3,4,4,4,2,6,4,4,3,NA,NA,NA,0,"F3",5.2,3.14285714285714,3.2,3,5.42857142857143,3.16666666666667,1.25,3,4,4.66666666666667
"A3OPRR8AXT6OSJ",1,"physical health","Jog three miles per day for five days during the week for a total of 15 miles per week.",3,3,"recurrance",6,7,10,5,6,6,6,6,7,4,3,6,4,7,7,5,3,3,1,1,1,6,7,5,7,6,7,5,3,6,7,4,1,2,6,6,4,7,2,6,4,6.83,1.17,6.5,0.71,1.5,0.71,7,0,1,0,5,6,2,3,3,3.66666666666667,2.66666666666667,4.66666666666667,2.33333333333333,4.66666666666667,4,3.2,4.25,4,3.325,2.2,5.8,0.9,1.1,2.75,2.5,3,2.71428571428571,4,4,52,1,NA,"5",2,"Accountant",4,1,7,8,"",6.2,5.71428571428571,2.4,2.25,6,2.5,3.75,2.25,7,6.66666666666667,NA,3,3,5,6,6,7,3,5,5,"continued",5,4,5,4,6,7,2,6,5,"continued",4,4,5,4,5,4,2,5,3,"adjusted",6,NA,2.5,2.16666666666667,3.66666666666667,"F3",FALSE,TRUE,4,3,"adjusted","adjusted","F3",6,1,4,1,7,7,6,5,3,1,6,6,7,7,1,4,1,2,6,7,6,7,5,3,7,7,1,5,7,3,5,NA,NA,"Jog 2 miles per day, 3 days per week.",1,"F3",6.6,5,2.8,2.25,6.57142857142857,2.5,2,2.25,7,6.66666666666667
"A3OPRR8AXT6OSJ",2,"physical health","Limit my caloric intake to 2,500 calories per day.",3,3,"recurrance",5,2,9,6,7,7,7,6,7,5,1,7,6,6,6,7,3,4,1,1,1,7,7,5,7,6,7,5,5,7,7,5,2,3,7,6,5,7,1,7,4,6.83,1.17,7,0,1,0,6.5,0.71,1.5,0.71,6,5,1,4,4,3.66666666666667,2.66666666666667,4.66666666666667,2.33333333333333,4.66666666666667,4,3.2,4.25,4,3.325,2.2,5.8,0.9,1.1,2.75,2.5,3,2.71428571428571,4,4,52,1,NA,"5",2,"Accountant",4,1,7,8,"",6.8,5.57142857142857,3.2,3,6.85714285714286,2.83333333333333,3.5,3,7,6.66666666666667,NA,3,2,6,6,1,8,3,6,6,"continued",6,2,7,7,7,9,3,7,6,"continued",6,1,7,6,6,9,2,6,6,"completed",6,"F3",2.33333333333333,1.83333333333333,2.16666666666667,"F3",FALSE,TRUE,9,6,"completed","completed","F3",6,6,11,7,7,7,6,6,6,1,7,6,7,5,1,7,1,2,6,6,7,7,3,5,6,7,1,6,7,3,6,NA,NA,NA,0,"F3",6.4,6.14285714285714,4,3.75,6.42857142857143,3.5,4.5,3.75,7,7
"A3OPRR8AXT6OSJ",3,"physical health","Walk three miles per day seven days a week for a total of 21 miles per week",3,3,"recurrance",6,7,11,7,6,6,7,7,7,5,1,7,4,7,4,7,3,7,1,1,1,7,7,7,7,4,7,5,4,7,7,5,1,1,6,7,5,7,1,6,4,6.83,1.17,7,0,1,0,7,0,1,0,6,6,3,5,5,3.66666666666667,2.66666666666667,4.66666666666667,2.33333333333333,4.66666666666667,4,3.2,4.25,4,3.325,2.2,5.8,0.9,1.1,2.75,2.5,3,2.71428571428571,4,4,52,1,NA,"5",2,"Accountant",4,1,7,8,"",6.2,6.28571428571429,3.4,3,6.28571428571429,3,5,3,7,7,NA,5,1,7,7,7,10,2,7,7,"completed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",1.83333333333333,NA,NA,"F1",FALSE,NA,10,7,"completed","completed","F1",6,1,11,7,6,6,7,7,3,2,4,4,7,5,1,3,1,2,6,6,6,5,5,1,4,7,1,3,7,2,3,NA,NA,NA,0,"F1",5.2,6.14285714285714,1.8,2,5.42857142857143,1.83333333333333,4.75,2,7,5.33333333333333
"A1AIMKA54UBYIQ",1,"physical health","I want to eat fruits and vegetables at least once a day.",2,2,"recurrance",4,7,9,2,5,5,5,6,5,5,3,4,4,6,3,3,2,1,2,1,1,5,7,2,6,6,2,1,6,2,7,1,1,3,5,6,7,5,NA,3,3,1,1,1,NA,1,NA,1,NA,1,NA,0,0,1,9,5,2,3,3.66666666666667,3.66666666666667,3,3.23076923076923,1.9,3.25,2.5,2.5,0.9,1.6,3.1,2.5,1.75,2.25,3,4,3.75,3,25,2,NA,"5",2,"Office assistant",4,1,3,2,"",4.3,4.85714285714286,2.6,4,4.85714285714286,2.66666666666667,4,4,6,4,NA,3,4,6,4,3,10,1,6,5,"continued",4,4,6,3,2,11,1,7,5,"continued",3,4,7,3,1,11,1,6,5,"continued",1,NA,2.66666666666667,2,1.83333333333333,"F3",FALSE,TRUE,11,5,"continued","continued","F3",4,1,10,7,6,5,5,4,4,2,5,1,6,3,2,1,1,2,5,7,6,3,1,6,6,7,1,1,4,5,3,NA,NA,NA,0,"F3",4.7,4.71428571428571,2.4,2.25,5.14285714285714,2.33333333333333,3.75,2.25,5.5,4.66666666666667
"A1AIMKA54UBYIQ",2,"physical health","I want to take a walk once a week.",2,2,"recurrance",5,7,8,5,5,6,7,5,4,4,3,3,3,6,5,5,3,2,1,3,1,7,6,4,6,7,2,1,5,2,6,3,1,4,6,6,7,6,4,4,2,1,1,1,NA,1,NA,1,NA,1,NA,0,0,2,6,3,2,3,3.66666666666667,3.66666666666667,3,3.23076923076923,1.9,3.25,2.5,2.5,0.9,1.6,3.1,2.5,1.75,2.25,3,4,3.75,3,25,2,NA,"5",2,"Office assistant",4,1,3,2,"",4.5,4.71428571428571,2.2,4.25,5,2.33333333333333,3.25,4.25,6,3.66666666666667,NA,2,4,6,5,4,6,1,6,3,"continued",2,4,5,4,3,10,1,6,4,"continued",2,8,2,3,1,3,1,3,2,"abandoned",2,"F3",2.66666666666667,3,3.66666666666667,"F3",FALSE,TRUE,3,2,"abandoned","abandoned","F3",2,1,3,8,5,5,7,3,4,3,4,1,1,7,1,1,1,2,6,5,4,2,1,6,5,6,1,6,7,5,2,NA,NA,NA,0,"F3",4.4,2.71428571428571,2.2,4,4.42857142857143,2.33333333333333,0.25,4,6.5,2.33333333333333
"A286W816CMIZL9",1,"physical health","My goal is to lose 30 lbs in the next 6 months.",3,2,"long-term",4,7,8,7,7,7,6,7,7,5,1,7,4,6,6,3,3,6,5,3,2,7,5,7,7,7,7,1,3,5,7,5,5,7,6,6,6,7,3,5,1,5.67,2.67,7,0,1,0,7,0,1,0,6,6,1,0,1,1.66666666666667,3.33333333333333,4,4,2,2.61538461538462,2.5,3.25,3.16666666666667,3.25,2,4.8,1.7,2.3,1.75,2.25,3.4,3.71428571428571,3.25,4,43,2,NA,"5",2,"Program Manager",5,2,6,8,"In the next three months I hope to have lost 15 lbs because that will be halfway to my deadline.",6.2,5.42857142857143,4,4,6,3.5,3.25,4,7,6.66666666666667,NA,2,4,6,5,7,2,4,6,2,"continued",5,5,5,5,6,4,3,6,1,"continued",5,4,6,6,6,5,5,5,3,"continued",5,NA,2.83333333333333,3,2.5,"F3",FALSE,TRUE,5,3,"continued","continued","F3",5,1,7,1,7,7,7,5,7,1,7,6,6,7,1,4,3,1,7,7,7,7,1,2,6,7,3,7,7,3,1,NA,NA,NA,0,"F3",6.8,5.14285714285714,2.6,5,6.71428571428571,2.33333333333333,2.5,5,7,6.66666666666667
"A286W816CMIZL9",2,"physical health","My goal is to walk 10,000 steps per day",3,2,"recurrance",5,7,6,6,5,5,5,7,6,7,1,7,1,7,5,5,3,2,1,3,1,4,4,7,5,6,7,3,1,5,7,3,1,4,5,7,5,7,3,4,1,5.67,2.67,5,2.83,3.5,3.54,5,2.83,3.5,3.54,1.5,1.5,2,8,3,1.66666666666667,3.33333333333333,4,4,2,2.61538461538462,2.5,3.25,3.16666666666667,3.25,2,4.8,1.7,2.3,1.75,2.25,3.4,3.71428571428571,3.25,4,43,2,NA,"5",2,"Program Manager",5,2,6,8,"",4.8,5.42857142857143,1.2,3.5,4.14285714285714,1.16666666666667,3.25,3.5,7,7,NA,3,3,6,6,7,8,6,6,6,"continued",3,4,6,6,6,10,1,7,7,"continued",6,8,2,2,2,5,1,6,2,"abandoned",1,"F3",2.66666666666667,2.5,3.5,"F3",FALSE,TRUE,5,2,"abandoned","abandoned","F3",5,1,8,7,5,4,5,6,6,1,7,1,6,5,1,3,2,2,5,7,4,6,4,2,NA,7,1,6,7,3,1,NA,NA,NA,0,"F3",NA,5.42857142857143,1.8,3.25,NA,1.66666666666667,3.5,3.25,7,6.33333333333333
"A286W816CMIZL9",3,"physical health","My goal is to workout in the gym at least twice a week",3,2,"recurrance",4,7,6,1,5,6,6,5,4,6,1,7,1,7,6,7,2,2,1,3,1,3,5,5,6,4,7,1,2,4,5,1,1,7,5,5,5,5,3,5,1,5.67,2.67,5,2.83,3.5,3.54,5,2.83,3.5,3.54,1.5,1.5,3,7,2,1.66666666666667,3.33333333333333,4,4,2,2.61538461538462,2.5,3.25,3.16666666666667,3.25,2,4.8,1.7,2.3,1.75,2.25,3.4,3.71428571428571,3.25,4,43,2,NA,"5",2,"Program Manager",5,2,6,8,"",5,4.42857142857143,1.4,4,4.28571428571429,1.33333333333333,2.25,4,5,7,NA,5,5,3,3,2,3,3,3,2,"adjusted",2,5,2,2,5,2,1,4,1,"abandoned",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",3.66666666666667,3.16666666666667,NA,"F2",FALSE,NA,2,1,"abandoned","abandoned","F2",3,1,6,7,6,4,5,5,7,1,7,1,6,5,1,3,1,2,5,6,4,6,1,5,3,7,1,5,7,3,1,"I will try to get to the gym at least once per week",NA,NA,1,"F2",4.7,4.71428571428571,2.2,4,4.14285714285714,2,2.25,4,7,6.33333333333333
